Date,Open,High,Low,Close,Volume
2020-03-18,9.6172,9.6172,9.6172,9.6172,9690
2020-03-19,10.2856,10.2856,10.2856,10.2856,12840
2020-03-20,10.9911,10.9911,10.9911,10.9911,10080
2020-03-23,11.7337,11.7338,11.7337,11.7338,8110
2020-03-24,12.5507,12.5507,12.5507,12.5507,210860
2020-03-25,13.4047,13.4047,13.4047,13.4047,124850
2020-03-26,14.333,14.333,14.2587,14.333,198820
2020-03-27,15.3356,15.3356,15.3356,15.3356,91940
2020-03-30,16.3753,16.3753,16.3753,16.3753,96540
2020-03-31,17.4893,17.4893,17.415,17.4893,211060
2020-04-01,18.6775,18.6775,18.6775,18.6775,99250
2020-04-03,19.9771,19.9771,19.9771,19.9771,108670
2020-04-06,21.351,21.351,21.351,21.351,98590
2020-04-07,22.8363,22.8363,22.8363,22.8363,67880
2020-04-08,24.433000000000003,24.433000000000003,24.433000000000003,24.433000000000003,89030
2020-04-09,26.1411,26.1411,26.1411,26.1411,65630
2020-04-10,27.9606,27.9606,24.3216,24.3216,311640
2020-04-13,22.7249,22.7249,22.6506,22.6506,23580
2020-04-14,21.0911,21.0911,21.0911,21.0911,2390
2020-04-15,19.6429,19.6429,19.6429,19.6429,2760
2020-04-16,18.269000000000002,18.269000000000002,18.269000000000002,18.269000000000002,1810
2020-04-17,18.269000000000002,18.269000000000002,17.0065,17.0066,5300
2020-04-20,15.8184,15.8184,15.8183,15.8183,2090
2020-04-21,14.7415,14.7415,14.7415,14.7415,480
2020-04-22,13.7389,13.7389,13.7389,13.7389,5910
2020-04-23,12.8106,12.8106,12.8106,12.8106,5730
2020-04-24,13.7018,13.7018,11.9194,13.7018,493220
2020-04-27,14.6301,14.6301,13.4419,14.2588,349260
2020-04-28,13.7389,14.1103,13.2933,13.2933,185300
2020-04-29,12.365,12.365,12.365,12.365,141340
2020-05-04,11.511,11.511,11.511,11.511,50130
2020-05-05,10.7312,11.8823,10.7312,11.0654,347130
2020-05-06,10.7312,11.808,10.7312,11.808,150420
2020-05-07,11.8823,11.8823,11.1396,11.3625,109900
2020-05-08,11.1397,11.3625,10.7684,11.3625,299560
2020-05-11,11.0654,11.511,10.7684,11.0654,230270
2020-05-12,11.3253,11.4739,11.1397,11.4739,158790
2020-05-13,11.2882,11.4739,10.9169,11.1397,169550
