Date,Open,High,Low,Close,Volume
2020-07-29,40.2817,40.2817,40.2817,40.2817,193780
2020-07-30,43.0832,43.0832,43.0832,43.0832,370550
2020-07-31,45.9605,46.0362,42.0232,45.6576,328950
2020-08-03,42.4775,46.1119,42.4775,43.1589,290720
2020-08-04,42.7803,46.1119,42.4017,46.1119,434910
2020-08-05,46.1119,49.2163,45.9605,49.2163,520410
2020-08-06,49.2163,51.4878,48.0805,51.4121,525700
2020-08-07,51.3364,52.0936,50.9578,51.8664,504240
2020-08-10,51.8664,51.8664,48.4591,48.8377,413640
2020-08-11,48.4591,49.5949,47.5505,49.292,403850
2020-08-12,49.292,50.7306,49.292,50.4278,423970
2020-08-13,50.5792,52.245,50.5792,52.0179,524120
2020-08-14,52.1693,53.7594,52.1693,53.5322,536830
2020-08-17,51.4878,53.7594,51.4878,51.4878,315400
2020-08-18,51.4878,53.0022,51.2606,53.0022,415720
2020-08-19,53.0022,56.0309,52.9265,54.8951,530760
2020-08-20,55.1223,55.9551,54.8951,54.8951,434060
2020-08-21,55.1223,56.788000000000004,54.8951,56.4852,481230
2020-08-24,56.6366,57.1667,56.4852,56.5609,358550
2020-08-25,56.5609,56.7881,55.198,56.4095,323070
2020-08-26,56.4095,56.7881,55.4252,55.728,402650
2020-08-27,54.8951,56.4095,54.668,56.0309,393330
2020-08-28,56.2581,56.6366,55.5766,55.728,337940
2020-08-31,55.5766,56.4095,55.3494,55.5009,314520
2020-09-01,55.5009,56.2581,55.5009,55.8795,335240
2020-09-03,56.0309,56.56100000000001,55.8795,56.0309,252350
2020-09-04,56.0309,56.1823,55.1223,55.5766,214910
2020-09-07,55.5766,55.9552,55.5009,55.728,242810
2020-09-08,55.728,56.0309,55.5008,55.8037,238060
2020-09-09,55.8037,55.8037,55.1222,55.2737,208670
2020-09-10,55.2737,55.2737,54.5165,55.2737,212090
2020-09-11,54.8951,56.788000000000004,54.8951,56.1066,284190
2020-09-14,56.258,57.1666,56.258,57.0909,317130
2020-09-15,57.0909,57.3938,56.5609,56.8638,204520
2020-09-16,56.8638,57.1667,56.5609,56.7881,212890
2020-09-17,56.6367,56.7881,55.8795,56.7881,232380
2020-09-18,56.7881,56.7881,56.4095,56.6366,204480
2020-09-21,56.788000000000004,57.1666,56.7123,56.7123,215940
2020-09-22,56.7123,56.8637,56.4851,56.7881,244710
2020-09-23,56.7881,57.5453,56.7881,56.9395,288610
2020-09-24,56.9395,57.3181,56.7123,56.7881,316050
2020-09-25,56.7881,56.9395,56.4095,56.4852,246560
2020-09-28,56.4852,56.9395,56.4095,56.7123,266240
2020-09-29,56.7123,56.8637,56.0308,56.1823,340880
2020-09-30,56.0309,56.7123,56.0309,56.3338,293790
2020-10-01,56.3338,56.7881,56.2581,56.5609,264660
2020-10-02,56.5609,56.7123,56.0309,56.1066,227290
2020-10-05,56.1066,56.3338,55.9552,56.1823,358150
2020-10-06,56.1823,56.3337,55.9551,56.258,292970
2020-10-07,56.258,56.258,55.8037,56.0309,242560
2020-10-08,56.0309,56.2581,55.728,55.8795,322770
2020-10-09,55.8795,56.2581,55.198,55.6523,266880
