Date,Open,High,Low,Close,Volume
2018-02-21,28.5835,28.5835,24.1415,24.1415,81200
2018-02-22,25.1072,25.1072,24.1415,24.1415,28900
2018-02-23,24.3346,24.3346,21.6308,22.2101,37800
2018-02-26,21.2444,23.4655,19.3131,22.1136,21100
2018-02-27,23.9484,23.9484,19.3132,23.1758,34700
2018-02-28,19.6994,21.2445,19.6994,21.2445,2300
2018-03-01,21.2445,21.4376,20.2788,21.4376,21100
2018-03-02,21.1479,21.1479,19.796,20.8582,24900
2018-03-05,20.4719,20.7616,20.2788,20.5685,35500
2018-03-06,21.7273,21.7273,19.796,20.9548,4200
2018-03-07,19.796,19.796,19.3132,19.5063,3000
2018-03-08,20.2788,20.2788,20.2788,20.2788,2100
2018-03-09,20.2788,20.2788,17.3818,20.1823,36700
2018-03-12,19.3132,20.1823,18.8304,19.796,7000
2018-03-13,19.3132,19.3132,18.5406,19.12,15100
2018-03-14,18.444000000000003,19.0234,18.1543,18.1544,11700
2018-03-15,17.6716,18.8304,17.3819,18.6372,29700
2018-03-16,20.1823,20.7616,18.8303,19.3132,33500
2018-03-19,19.5063,20.472,19.5063,20.472,14000
2018-03-20,19.3132,20.1823,18.4441,19.3132,101100
2018-03-21,19.796,19.796,18.4441,19.12,63600
2018-03-22,19.3131,21.6307,19.12,21.6307,135400
2018-03-23,21.5341,22.9826,21.2444,22.693,97700
2018-03-26,23.4655,23.5621,21.9205,23.1758,198500
2018-03-27,23.1758,25.8796,20.0857,23.1758,362200
2018-03-28,22.7895,25.3002,21.7273,23.0792,433200
2018-03-29,22.9826,24.4311,22.6929,22.9827,272700
2018-03-30,23.2724,24.1415,23.2724,24.0449,46000
2018-04-02,24.1415,24.8174,24.1415,24.8174,47800
2018-04-03,25.0105,26.0728,24.6243,25.3968,49300
2018-04-04,25.3968,25.3968,24.7208,25.1071,60400
2018-04-05,25.1071,25.3968,24.7208,25.3002,206800
2018-04-06,25.1071,25.3002,24.6242,24.914,70500
2018-04-09,24.5277,25.8797,24.4312,25.5899,71600
2018-04-10,24.4311,25.3002,24.4311,25.1071,63800
2018-04-11,25.1071,25.1071,24.1414,24.914,77400
2018-04-12,24.8174,24.914,24.1415,24.8174,100200
2018-04-13,24.914,25.1071,24.3346,24.914,36600
2018-04-16,24.7209,24.8174,24.7209,24.8174,55000
2018-04-17,24.8174,24.8174,24.1414,24.8174,58000
2018-04-18,24.7208,24.8174,24.7208,24.8174,10500
2018-04-19,24.1414,24.7208,23.9483,24.7208,30000
2018-04-20,24.6242,24.8174,24.6242,24.8174,20200
2018-04-23,24.6243,24.7208,24.1414,24.1415,31600
2018-04-24,24.6243,24.6243,24.1415,24.1415,21100
2018-04-26,24.1415,24.1415,24.0449,24.0449,28200
2018-04-27,24.1415,24.1415,24.1415,24.1415,33200
2018-05-02,24.1415,24.7209,24.1415,24.7208,13900
2018-05-03,24.8174,24.8174,24.5277,24.6243,1300
2018-05-04,24.8174,24.8174,24.8174,24.8174,4700
2018-05-07,23.1758,23.1758,21.340999999999998,22.2101,11900
2018-05-08,24.0448,24.1414,20.2788,24.0449,101600
2018-05-09,23.5621,23.5621,21.4376,21.4376,300
2018-05-10,21.6307,24.0449,21.6307,22.2101,1400
2018-05-11,23.0792,23.0792,23.0792,23.0792,100
2018-05-14,23.0792,23.0792,23.0792,23.0792,0
2018-05-15,22.6929,22.693,22.6929,22.693,100
2018-05-16,23.0793,23.0793,21.2445,22.9827,10500
2018-05-17,24.1415,24.1415,24.1415,24.1415,100
2018-05-18,21.5342,21.5342,21.4376,21.4376,1100
2018-05-21,24.6243,24.6243,21.2445,21.2445,7100
2018-05-22,22.693,22.693,21.2445,21.2445,600
2018-05-23,24.6243,24.6243,24.6243,24.6243,100
2018-05-24,24.6243,24.6243,24.6243,24.6243,0
2018-05-25,24.6243,24.6243,24.6243,24.6243,0
2018-05-28,21.0514,22.693,21.0514,22.693,4300
2018-05-29,21.2445,23.1758,21.2445,23.1758,8900
2018-05-30,22.693,22.693,22.693,22.693,0
2018-05-31,22.693,22.693,22.693,22.693,0
2018-06-01,22.693,22.693,21.2445,21.7273,800
