Date,Open,High,Low,Close,Volume
2020-10-13,28.1718,28.1718,28.1718,28.1718,128000
2020-10-14,30.9299,30.9299,27.5808,27.5808,202600
2020-10-15,26.1033,26.1033,25.1182,25.6107,130727
2020-10-16,25.5122,25.6107,23.9362,24.4287,99900
2020-10-19,24.4287,24.5272,23.4437,23.4437,90800
2020-10-20,23.4437,23.4437,22.7542,23.2467,145900
2020-10-21,23.2467,23.7392,23.1482,23.5422,132800
2020-10-22,23.5422,23.8377,23.3452,23.5422,97500
2020-10-23,23.5422,23.9362,23.4437,23.8377,129920
2020-10-26,23.8377,24.1332,23.8377,24.1332,99930
2020-10-27,24.1332,24.4287,23.8377,24.3302,123600
2020-10-28,24.1332,24.2317,23.6407,23.6407,119900
2020-10-29,23.6407,23.6407,23.0497,23.2467,99900
2020-10-30,23.1482,23.3452,22.9512,23.2467,89900
2020-11-02,23.3452,23.5422,23.0497,23.1481,98800
2020-11-03,23.1481,23.4436,22.6556,23.3452,145100
2020-11-04,23.2467,24.6257,22.7542,24.6257,204801
2020-11-05,24.8227,26.0047,24.5272,25.9062,249900
2020-11-06,26.0047,27.4822,26.0047,27.2853,270631
2020-11-09,27.5808,27.5808,26.8913,27.1868,210115
2020-11-10,27.5808,28.5658,27.1868,28.5658,190100
2020-11-11,28.8613,28.8613,28.1718,28.2703,161130
2020-11-12,28.4673,28.5658,27.9748,28.2703,204600
2020-11-13,28.4673,29.2553,28.1718,29.1568,228800
2020-11-16,29.2553,30.1418,29.0583,29.9448,252400
2020-11-17,30.3388,30.9298,29.9448,30.8314,199900
2020-11-18,31.0284,31.4224,30.7329,31.1269,207723
2020-11-19,31.1269,31.2254,30.8314,30.8314,168800
2020-11-20,30.9299,31.0284,30.6344,30.9299,235000
2020-11-23,31.0284,31.1269,30.5359,30.6344,222335
2020-11-24,30.5359,30.8314,30.2404,30.3388,166600
2020-11-25,30.1418,30.5358,30.1418,30.4374,143800
2020-11-26,30.1419,30.5359,29.8464,29.9448,119900
2020-11-27,29.9448,30.9298,29.6493,30.8314,266300
2020-11-30,30.9299,31.3239,30.8314,31.2254,240900
2020-12-01,31.2254,31.7179,30.9299,31.7179,211279
2020-12-02,31.7179,31.9149,31.7179,31.9149,184700
2020-12-03,31.9149,32.5059,31.0284,32.5059,228500
2020-12-04,32.5059,32.7029,32.3089,32.3089,231700
2020-12-07,32.3089,32.9984,32.1119,32.8999,258915
2020-12-08,32.8999,32.9984,32.6044,32.6044,90310
2020-12-09,32.6044,32.8999,32.4074,32.8014,100800
2020-12-10,32.8,32.9,32.6,32.8,107700
2020-12-11,32.8,35.6,32.8,33.5,333315
2020-12-14,33.5,33.6,33.4,33.5,66634
2020-12-15,33.5,33.7,33.4,33.4,69900
2020-12-16,33.3,33.5,33.2,33.5,51500
2020-12-17,33.5,33.7,33.4,33.6,79000
2020-12-18,33.6,34.2,33.6,34.2,107205
2020-12-21,34.2,34.4,33.8,34.4,132700
2020-12-22,34.4,34.5,33.6,33.6,200000
2020-12-23,33.6,33.9,33.6,33.8,107220
2020-12-24,33.7,33.8,33.5,33.6,104000
2020-12-25,33.6,33.9,33.6,33.9,59200
2020-12-28,33.9,33.9,33.7,33.8,31105
2020-12-29,33.8,34.0,33.8,33.8,51000
2020-12-30,33.8,33.9,33.5,33.7,58500
2020-12-31,33.7,34.1,33.7,34.0,103300
2021-01-04,34.2,34.5,34.0,34.5,68800
2021-01-05,34.5,35.3,34.5,35.2,123000
2021-01-06,34.9,35.8,34.8,35.4,245825
2021-01-07,35.4,35.5,35.0,35.1,223800
2021-01-08,35.2,35.8,35.1,35.6,124600
2021-01-11,35.6,35.9,35.5,35.7,118800
2021-01-12,35.7,35.7,34.9,35.1,103600
2021-01-13,35.0,35.2,34.0,34.2,92500
2021-01-14,34.2,34.4,33.4,33.5,63300
2021-01-15,33.5,33.7,33.3,33.5,52400
2021-01-18,33.5,33.6,32.7,32.7,54800
2021-01-19,32.5,32.5,29.5,30.0,49600
2021-01-20,27.7,27.7,27.3,27.3,116610
2021-01-21,26.0,26.5,25.5,25.5,74830
2021-01-22,26.5,26.6,25.3,26.0,96600
2021-01-25,26.0,26.0,24.2,24.2,50610
2021-01-26,24.0,25.3,22.5,25.3,66200
2021-01-27,24.2,25.0,24.0,24.1,39500
2021-01-28,24.1,24.1,21.7,21.7,46300
2021-01-29,21.0,23.6,19.6,23.0,253400
2021-02-01,23.0,23.1,22.0,22.9,149600
2021-02-02,22.5,23.2,21.4,22.6,99000
2021-02-03,22.4,24.8,22.3,24.8,207000
2021-02-04,25.4,27.2,25.4,27.2,136100
2021-02-05,27.5,29.9,27.5,29.9,287500
2021-02-08,30.5,31.0,28.0,29.3,158600
2021-02-09,29.3,32.2,28.5,32.2,177300
2021-02-17,32.2,34.0,31.5,32.6,104500
2021-02-18,32.9,33.2,31.3,32.4,232900
2021-02-19,32.4,32.5,31.8,32.4,154600
2021-02-22,31.8,32.4,31.7,31.9,232500
2021-02-23,31.9,35.0,30.5,35.0,490210
2021-02-24,35.2,38.5,35.2,38.5,276100
2021-02-25,39.5,40.3,37.8,38.5,640900
2021-02-26,38.0,38.3,35.8,37.5,294610
2021-03-01,36.0,37.9,36.0,37.5,326900
2021-03-02,36.3,39.9,36.0,39.8,358200
2021-03-03,40.0,41.5,39.2,41.4,172200
2021-03-04,41.6,41.8,39.0,40.0,179100
2021-03-05,38.7,42.5,38.5,42.0,349700
2021-03-08,42.0,45.8,42.0,43.8,199600
2021-03-09,42.8,45.8,41.1,43.0,413150
2021-03-10,43.0,44.0,41.1,42.5,319300
2021-03-11,0.0,0.0,0.0,0.0,0
