Date,Open,High,Low,Close,Volume
2009-11-25,7.7253,12.8755,6.2538,7.3574,60100
2009-11-26,7.9092,7.9092,6.9159,6.9159,54400
2009-11-27,8.0931,8.0931,7.4309,7.431,22700
2009-11-30,7.5781,7.5781,7.5781,7.5781,4000
2009-12-01,7.1734,7.1734,7.0631,7.0631,14500
2009-12-02,6.5849,6.9527,6.5849,6.5849,18100
2009-12-03,6.2538,6.2538,6.1434,6.1434,3600
2009-12-04,6.2538,6.5849,6.2538,6.5849,3500
2009-12-07,6.2538,6.2538,6.0698,6.0698,3400
2009-12-08,5.8859,5.8859,5.7755,5.8859,700
2009-12-09,5.4077,5.4077,5.4077,5.4077,400
2009-12-10,5.0398,5.0398,5.0398,5.0398,1700
2009-12-11,4.7455,4.7455,4.7087,4.7087,5200
2009-12-14,4.488,5.003,4.488,5.003,3000
2009-12-15,5.1869,5.187,5.1869,5.187,2100
2009-12-16,5.4445,5.4445,4.8559,5.4445,10800
2009-12-17,5.1502,5.1502,5.1502,5.1502,3400
2009-12-18,5.4445,5.4813,5.4445,5.4813,1600
2009-12-21,5.8124,5.8124,5.8123,5.8123,2300
2009-12-22,6.1802,6.2170000000000005,6.1802,6.2170000000000005,2500
2009-12-23,6.5481,6.6217,6.4745,6.6216,4400
2009-12-24,6.8791,6.8791,6.547999999999999,6.5481,5500
2009-12-25,6.8424,6.8424,6.8424,6.8424,0
2009-12-28,7.3206,7.3206,6.9895,7.1367,6200
2009-12-29,7.1367,7.2838,6.8056,6.8056,7400
2009-12-30,6.5113,6.9895,6.5113,6.5113,1100
2009-12-31,6.9895,6.9895,6.5481,6.9159,12200
2010-01-04,6.9527,7.4309,6.9527,7.3574,12600
2010-01-05,7.7988,7.8724,7.7253,7.8724,23000
2010-01-06,7.7988,8.1667,7.7988,8.0195,24300
2010-01-07,8.1299,8.2771,8.1299,8.2771,4400
2010-01-08,7.8357,7.8357,7.6885,7.6885,2200
2010-01-11,7.7621,7.7621,7.3574,7.3574,4000
2010-01-12,7.3574,7.3574,7.3574,7.3574,2000
2010-01-13,7.0263,7.3574,6.8424,7.3574,3600
2010-01-14,6.9895,6.9895,6.9895,6.9895,500
2010-01-15,7.3574,7.3574,6.9895,6.9895,300
2010-01-18,6.6216,6.8056,6.6216,6.8056,800
2010-01-19,6.732,7.1735,6.732,7.1734,33700
2010-01-20,6.9895,6.9895,6.9895,6.9895,1500
2010-01-21,6.9895,6.9895,6.9895,6.9895,0
2010-01-22,7.4677,7.4677,7.4677,7.4677,100
2010-01-25,6.9895,7.0263,6.9895,7.0263,2000
2010-01-26,7.3574,7.3574,6.5481,6.5481,1500
2010-01-27,7.0999,7.0999,6.9895,7.0999,5400
2010-01-28,6.5849,6.5849,6.5849,6.5849,200
2010-01-29,6.8056,6.8056,6.8056,6.8056,3000
2010-02-01,6.8056,6.8056,6.8056,6.8056,2000
2010-02-02,6.3642,6.3642,6.3641,6.3641,1000
2010-02-03,5.9227,5.9227,5.9227,5.9227,500
2010-02-04,5.9227,5.9227,5.9227,5.9227,0
2010-02-05,5.9227,5.9227,5.9227,5.9227,0
2010-02-08,5.5916,5.5916,5.5916,5.5916,100
2010-02-09,5.5916,5.5916,5.5916,5.5916,0
2010-02-10,5.3709,5.3709,5.3709,5.3709,100
2010-02-11,5.7388,5.7388,5.7388,5.7388,200
2010-02-12,5.7388,5.7388,5.7388,5.7388,0
2010-02-22,5.7388,5.7388,5.7388,5.7388,0
2010-02-23,6.1067,6.1067,6.1066,6.1066,2000
2010-02-24,6.5113,6.5113,6.5113,6.5113,100
