Date,Open,High,Low,Close,Volume
2010-08-09,32.8095,35.2702,32.3994,34.2859,528870
2010-08-10,34.4499,35.6803,33.3016,34.2859,151030
2010-08-11,34.4499,34.532,33.6297,34.0399,87300
2010-08-12,34.0399,34.0399,32.3994,32.8095,139700
2010-08-13,32.7275,32.7275,31.169,32.7275,178810
2010-08-16,32.4814,34.1219,32.4814,34.0399,132690
2010-08-17,34.1219,34.1219,32.3994,34.1219,125650
2010-08-18,32.8095,33.5477,32.5634,33.4657,127150
2010-08-19,32.3174,33.5477,32.3174,33.5477,35320
2010-08-20,33.1376,34.2859,33.1376,34.0399,180810
2010-08-23,34.0399,35.1882,34.0399,35.1882,102760
2010-08-24,34.45,35.6803,34.2859,35.2702,63890
2010-08-25,35.2702,35.6803,34.45,34.696,65750
2010-08-26,35.2702,35.2702,34.696,35.2702,102370
2010-08-27,35.2702,35.4342,34.532,35.1062,78070
2010-08-30,35.6804,36.7467,35.1062,36.7466,69230
2010-08-31,36.7466,38.5512,36.7466,38.5512,59980
2010-09-01,40.2737,40.4377,39.3714,40.4377,72760
2010-09-06,41.8321,41.8321,40.4377,41.422,164330
2010-09-07,41.0119,41.0119,39.7815,41.0119,96780
2010-09-08,40.1917,41.0119,38.9613,41.0119,86860
2010-09-09,41.0119,41.8321,39.3714,41.422,186070
2010-09-10,41.422,41.8321,40.6018,40.6018,76710
2010-09-13,39.7816,40.5198,38.6332,38.6332,34200
2010-09-14,39.2894,39.2894,37.2388,38.7152,63510
2010-09-15,38.9613,38.9613,37.4028,38.3871,29240
2010-09-16,37.7309,38.4691,36.9107,36.9107,42240
2010-09-17,36.9107,38.059,36.9107,38.059,101710
2010-09-20,38.9613,39.1253,38.3051,38.5512,79460
2010-09-21,38.9613,38.9613,38.1411,38.5512,59260
2010-09-22,40.0276,40.0276,38.9613,39.6995,85350
2010-09-23,40.0276,40.0276,39.2074,39.6175,104670
2010-09-24,39.6995,39.6995,38.5512,38.9613,58110
2010-09-27,38.9613,39.7815,37.1568,39.2073,64130
2010-09-28,39.5354,39.5354,38.223,38.9613,47900
2010-09-29,38.9613,38.9613,37.3208,37.895,57700
2010-09-30,38.8793,38.8793,36.0905,36.5006,53870
2010-10-01,36.9107,37.5669,36.9107,37.1568,89810
2010-10-04,37.4849,37.4849,35.7624,36.8287,55460
2010-10-05,36.9107,36.9107,36.5006,36.9107,47600
2010-10-06,37.4028,37.6489,35.7624,37.4849,89550
2010-10-07,37.4849,37.731,36.9107,37.3208,53090
2010-10-08,37.3208,37.4028,35.6803,37.4028,109980
2010-10-11,37.3208,37.4848,37.0747,37.3208,62210
2010-10-12,36.1725,37.7309,36.0904,36.9927,68840
2010-10-13,36.9927,37.5669,36.7466,37.5669,37430
2010-10-14,37.977,37.977,36.0084,37.2388,102200
2010-10-15,37.2388,37.2388,36.0905,37.0747,53370
2010-10-18,37.0747,37.0747,35.5983,35.6803,57230
2010-10-19,36.0904,36.0904,34.8601,35.1062,57010
2010-10-20,34.45,35.1062,33.3837,33.3837,59400
2010-10-21,33.3837,34.45,33.3017,33.3837,38750
2010-10-22,34.8601,34.8601,31.7432,32.8095,33380
2010-10-25,32.8095,32.8095,31.169,32.4814,50870
2010-10-26,33.5477,33.5477,30.9229,30.923000000000002,33720
2010-10-27,31.6612,31.6612,29.4465,29.4465,68090
2010-10-28,29.4465,29.4465,28.0521,28.0521,28510
2010-10-29,26.6577,28.0521,26.6577,26.6577,35860
2010-11-01,25.8375,26.2476,25.4273,26.0836,86720
2010-11-02,26.4937,27.314,26.2476,27.3139,69020
2010-11-03,28.5443,28.6263,28.2982,28.6263,74440
2010-11-04,29.8567,29.9387,28.7083,29.1184,72400
2010-11-05,30.3488,30.3488,29.1184,29.5285,66170
2010-11-08,29.5285,29.5285,28.0521,28.0521,66910
2010-11-09,27.0678,27.0678,26.6577,26.9038,87860
2010-11-10,26.9038,27.3139,26.6577,27.0678,42370
2010-11-11,27.3959,27.3959,25.7554,25.8375,41600
2010-11-12,25.8375,25.8375,24.6071,25.0172,74400
2010-11-15,25.0172,25.0992,23.7868,24.9352,43220
2010-11-16,25.4273,25.4273,23.7048,24.6071,25960
2010-11-17,24.6071,24.6071,23.3767,23.4588,7110
2010-11-18,24.3611,24.6071,23.6228,24.6071,76960
2010-11-19,25.3453,25.3453,24.6071,25.0993,33770
2010-11-22,25.0993,25.0993,23.8689,24.9352,28600
2010-11-23,24.9352,25.3453,24.279,25.1813,66130
2010-11-24,25.4274,25.4274,25.0173,25.2633,12200
2010-11-25,25.4273,25.6734,25.3453,25.6734,38740
2010-11-26,26.2476,26.2476,25.2633,25.2633,8500
2010-11-29,25.4273,25.4273,24.6071,25.3453,6460
2010-11-30,26.5757,26.5757,25.3453,26.1656,58050
