Date,Open,High,Low,Close,Volume
2016-04-15,14.7082,14.7082,7.9198,7.9198,1400
2016-04-19,7.9198,7.9198,7.9198,7.9198,0
2016-04-20,7.9198,7.9198,7.9198,7.9198,0
2016-04-21,8.6976,8.6976,8.6976,8.6976,100
2016-04-22,8.6976,8.6976,8.6976,8.6976,0
2016-04-25,8.6976,8.6976,8.6976,8.6976,0
2016-04-26,9.5461,9.5462,9.5461,9.5462,700
2016-04-27,10.4655,10.4655,10.4655,10.4655,3000
2016-04-28,10.4655,10.4655,10.4655,10.4655,0
2016-04-29,10.4655,10.4655,10.4655,10.4655,0
2016-05-04,10.4655,10.4655,10.4655,10.4655,0
2016-05-05,10.4655,10.4655,10.4655,10.4655,500
2016-05-06,10.4655,10.4655,10.4655,10.4655,0
2016-05-09,10.4655,10.4655,10.4655,10.4655,0
2016-05-10,10.4655,10.4655,10.4655,10.4655,0
2016-05-11,10.4655,10.4655,10.4655,10.4655,0
2016-05-12,10.4655,10.4655,10.4655,10.4655,0
2016-05-13,10.4655,10.4655,10.4655,10.4655,0
2016-05-16,10.4655,10.4655,10.4655,10.4655,0
2016-05-17,10.4655,10.4655,10.4655,10.4655,0
2016-05-18,10.4655,10.4655,10.4655,10.4655,0
2016-05-19,9.8998,10.6069,9.8998,10.6069,200
2016-05-20,10.6069,10.6069,10.6069,10.6069,900
2016-05-23,10.6069,10.6069,10.6069,10.6069,0
2016-05-24,10.6069,10.6069,10.6069,10.6069,0
2016-05-25,10.6069,10.6069,10.6069,10.6069,0
2016-05-26,10.6069,10.6069,10.6069,10.6069,0
2016-05-27,10.6069,10.6069,10.6069,10.6069,0
2016-05-30,10.6069,10.6069,10.6069,10.6069,0
2016-05-31,10.6069,10.6069,10.6069,10.6069,0
2016-06-01,10.6069,10.6069,10.6069,10.6069,0
2016-06-02,10.6069,10.6069,10.6069,10.6069,0
2016-06-03,10.6069,10.6069,10.6069,10.6069,0
2016-06-06,10.6069,10.6069,10.6069,10.6069,0
2016-06-07,10.6069,11.6676,10.6069,11.6676,2100
2016-06-08,12.3747,12.3747,12.3747,12.3747,100
2016-06-09,13.4354,13.4354,13.4354,13.4354,100
2016-06-10,13.4354,13.4354,13.4354,13.4354,0
2016-06-13,13.4354,13.4354,13.4354,13.4354,0
2016-06-14,13.4354,13.4354,13.4354,13.4354,0
2016-06-15,13.4354,13.4354,13.4354,13.4354,0
2016-06-16,13.4354,13.4354,13.4354,13.4354,0
2016-06-17,13.4354,13.4354,13.4354,13.4354,0
2016-06-20,13.4354,13.4354,13.4354,13.4354,0
2016-06-21,13.4354,13.4354,13.4354,13.4354,0
2016-06-22,13.4354,13.4354,13.4354,13.4354,0
2016-06-23,13.4354,13.4354,13.4354,13.4354,0
2016-06-24,13.4354,13.4354,13.4354,13.4354,0
2016-06-27,13.4354,13.4354,13.4354,13.4354,0
2016-06-28,13.4354,13.4354,13.4354,13.4354,0
2016-06-29,13.4354,13.4354,13.4354,13.4354,0
2016-06-30,13.4354,13.4354,13.4354,13.4354,0
2016-07-01,13.4354,13.4354,13.4354,13.4354,0
2016-07-04,13.4354,13.4354,13.4354,13.4354,0
2016-07-05,13.4354,13.4354,13.4354,13.4354,0
2016-07-06,13.4354,13.4354,13.4354,13.4354,0
2016-07-07,13.4354,13.4354,13.4354,13.4354,0
2016-07-08,13.4354,13.4354,13.4354,13.4354,0
2016-07-11,13.4354,13.4354,13.4354,13.4354,0
2016-07-12,13.4354,13.4354,13.4354,13.4354,0
