Date,Open,High,Low,Close,Volume
2009-08-11,7.5325,7.5325,7.5325,7.5325,1520
2009-08-12,7.9091,7.9091,7.9091,7.9091,60
2009-08-13,8.2857,8.2858,8.2857,8.2858,60
2009-08-14,8.6624,8.6624,8.6624,8.6624,60
2009-08-17,9.039,9.039,9.039,9.039,15550
2009-08-18,9.4909,9.491,9.4909,9.491,25230
2009-08-19,9.943,9.943,9.9429,9.9429,10020
2009-08-20,10.3948,10.3949,10.3948,10.3949,8350
2009-08-21,10.8469,10.8469,10.8468,10.8468,28100
2009-08-24,11.3741,11.3741,11.2988,11.3741,521340
2009-08-25,11.8261,11.8261,11.6001,11.6754,668620
2009-08-26,11.4494,11.7507,11.4494,11.4494,257170
2009-08-27,11.3741,11.4494,11.0728,11.3741,248710
2009-08-28,11.4494,11.6754,11.3741,11.6754,206080
2009-08-31,11.9014,11.9767,11.7507,11.9767,284580
2009-09-01,11.9014,12.052,11.7507,12.052,357630
2009-09-02,12.052,12.052,12.052,12.052,0
2009-09-03,11.825999999999999,11.9767,11.7507,11.7507,133230
2009-09-04,11.9014,12.1273,11.6,11.7507,280700
2009-09-07,11.7507,11.7507,11.3741,11.6754,112100
2009-09-08,11.7507,11.9767,11.7507,11.9014,149360
2009-09-09,11.9014,12.0521,11.9014,11.9767,224780
2009-09-10,12.052,12.504000000000001,12.052,12.504000000000001,293520
2009-09-11,13.1066,13.1066,13.1066,13.1066,137330
2009-09-14,13.7092,13.7092,13.4079,13.7092,366610
2009-09-15,14.3871,14.3871,14.3118,14.3871,587810
2009-09-16,14.4624,14.7637,14.1611,14.3118,263490
2009-09-17,14.3118,14.3871,13.8598,14.3118,327140
2009-09-18,14.3871,14.9897,14.2365,14.9897,1017600
2009-09-21,15.6676,15.6676,15.517000000000001,15.6676,587340
2009-09-22,16.4209,16.4209,16.2702,16.4209,541760
2009-09-23,17.1742,17.1742,17.1741,17.1741,454660
2009-09-24,16.8728,17.9274,16.8728,17.9274,1042290
2009-09-25,18.3794,18.6807,18.0781,18.6806,827610
2009-09-28,19.4338,19.5845,19.1325,19.5845,677400
2009-09-29,20.4884,20.4884,19.5845,20.4884,594960
2009-09-30,20.0364,21.090999999999998,19.5845,19.5845,613100
2009-10-01,19.1325,19.2832,18.6806,18.6806,539050
2009-10-02,17.7767,17.7767,17.7767,17.7767,99790
2009-10-05,17.0235,17.625999999999998,17.0235,17.0235,696370
2009-10-06,17.4755,17.6261,16.2702,17.6261,736300
2009-10-07,17.9274,18.3794,17.4754,18.3793,614930
2009-10-08,18.3793,19.1325,18.078,18.6806,320220
2009-10-09,18.8313,18.9819,17.9274,17.9274,706490
2009-10-12,17.9274,18.2287,17.6261,17.9274,561420
2009-10-13,18.0781,18.0781,17.7767,17.9274,343580
2009-10-14,17.9274,18.6807,17.9274,18.6806,426120
2009-10-15,19.4338,19.4338,18.8313,19.1326,608420
2009-10-16,18.9819,19.1326,18.2287,18.3793,465490
2009-10-19,18.3793,18.5299,18.078,18.078,377070
2009-10-20,18.5299,18.5299,17.9274,18.3793,261610
2009-10-21,18.3793,19.2832,18.2286,19.2832,867180
2009-10-22,20.1871,20.1871,19.7352,20.1871,1029990
2009-10-23,20.1871,20.1871,19.2832,19.2832,262030
2009-10-26,18.8313,19.1325,18.3793,18.3793,393790
2009-10-27,17.4754,17.625999999999998,17.4754,17.4754,290790
2009-10-28,17.4754,17.625999999999998,16.7221,17.0235,991120
2009-10-29,16.4209,16.5715,16.2702,16.4209,506130
2009-10-30,17.1742,17.1742,16.5716,17.1741,360840
2009-11-02,16.5715,16.5715,16.4209,16.4209,85420
2009-11-03,15.9689,15.9689,15.6676,15.6676,196520
2009-11-04,14.9144,15.6676,14.9144,14.9144,466930
2009-11-05,15.0651,15.517000000000001,14.9144,15.517000000000001,306240
2009-11-06,16.2703,16.2703,16.1196,16.2702,598900
2009-11-09,16.1196,16.1196,15.5169,15.517000000000001,305990
2009-11-10,15.517000000000001,15.517000000000001,14.7637,14.9144,280460
2009-11-11,14.9144,15.3664,14.7637,15.2157,238520
2009-11-12,15.2157,15.6677,15.065,15.3663,231770
2009-11-13,15.065,15.2157,14.9897,15.2157,158390
2009-11-16,15.3664,15.6677,14.9144,14.9144,269740
2009-11-17,15.0651,15.0651,14.8391,14.9144,187460
2009-11-18,14.9144,15.517000000000001,14.8391,15.517000000000001,472810
2009-11-19,15.8183,16.1196,15.517000000000001,15.6676,462460
2009-11-20,15.3663,15.6676,15.065,15.2157,200020
2009-11-23,15.3664,15.3664,14.4624,14.6131,398960
2009-11-24,14.5378,14.7638,14.3118,14.3871,302950
2009-11-25,14.2364,14.3118,13.7092,13.7092,306180
2009-11-26,13.0313,13.0313,13.0312,13.0312,198640
2009-11-27,12.4286,13.6338,12.4286,13.0312,432010
2009-11-30,13.0312,13.6338,13.0312,13.3325,239840
2009-12-01,13.6338,13.8598,13.4078,13.8598,151690
2009-12-02,13.7845,13.7845,13.1819,13.1819,144050
2009-12-03,13.5585,13.5585,12.6546,13.1066,195780
2009-12-04,13.2573,13.2573,12.8806,12.9559,98120
2009-12-07,13.1066,13.1066,12.8052,13.0312,133040
2009-12-08,13.0312,13.0312,12.6546,12.7299,118300
2009-12-09,12.2026,12.2026,12.1273,12.1273,227800
2009-12-10,12.5039,12.5039,11.5247,11.5247,211270
2009-12-11,11.1481,11.2987,10.9974,10.9975,190550
2009-12-14,11.2988,11.5248,10.5455,11.3741,248500
2009-12-15,10.9975,11.2234,10.8468,10.8468,134560
2009-12-16,10.4702,10.5455,10.3195,10.3195,115530
2009-12-17,9.9429,10.0935,9.8676,9.8676,209610
2009-12-18,9.9429,10.3196,9.9429,10.3195,136860
2009-12-21,10.7714,10.7715,10.7714,10.7715,99440
2009-12-22,11.2988,11.2988,11.2235,11.2988,397710
2009-12-23,11.4495,11.8261,11.3741,11.825999999999999,341140
