Date,Open,High,Low,Close,Volume
2010-08-06,10.6556,12.2539,8.3113,12.2539,10600
2010-08-09,9.1638,9.1638,9.1638,9.1638,300
2010-08-10,9.8031,9.8031,9.6966,9.8031,5700
2010-08-11,10.3004,10.3004,10.1228,10.3004,5800
2010-08-12,10.2294,10.2294,10.2293,10.2293,0
2010-08-13,9.5189,9.519,9.5189,9.519,0
2010-08-16,9.7676,9.9452,9.59,9.661,46000
2010-08-17,9.59,9.7676,9.59,9.7676,3100
2010-08-18,9.7676,9.7676,9.7321,9.7321,5800
2010-08-19,9.59,9.8742,9.5545,9.59,4600
2010-08-20,10.3714,10.3714,9.519,9.6966,2200
2010-08-23,9.9452,9.9452,9.9452,9.9452,87600
2010-08-24,9.9452,9.9452,9.9452,9.9452,8100
2010-08-25,9.9452,9.9452,9.9452,9.9452,13500
2010-08-26,9.9452,9.9807,9.9452,9.9807,10100
2010-08-27,9.9452,10.1228,9.9452,10.1228,10000
2010-08-30,10.6556,10.6556,10.6556,10.6556,13100
2010-08-31,11.4015,11.4015,11.4014,11.4014,1100
2010-09-01,11.7211,12.0763,11.7211,12.0763,19500
2010-09-06,12.8577,12.8577,12.8577,12.8577,2000
2010-09-07,13.1418,13.1419,13.1418,13.1419,25900
2010-09-08,14.0299,14.0299,12.7156,12.7156,25100
2010-09-09,13.6391,13.6391,12.7866,12.7867,1400
2010-09-10,12.7867,13.4971,12.6801,12.6801,19500
2010-09-13,12.4315,12.5735,12.0763,12.2184,18500
2010-09-14,12.2539,13.0708,11.4015,12.0763,23100
2010-09-15,12.0408,12.0408,12.0053,12.0053,5000
2010-09-16,12.1829,12.7157,12.1829,12.1829,5900
2010-09-17,13.4616,13.4971,12.7867,13.497,26100
2010-09-20,13.8167,13.8167,13.8167,13.8167,4200
2010-09-21,14.7757,14.7757,14.7757,14.7757,18600
2010-09-22,15.8057,15.8057,15.2019,15.273,20600
2010-09-23,15.9834,15.9834,14.2784,14.2784,22000
2010-09-24,14.2074,14.5271,14.2074,14.5271,12000
2010-09-27,14.4561,14.8823,13.8522,13.8522,20200
2010-09-28,13.8522,15.415,13.8522,15.273,25600
2010-09-29,13.8523,13.8523,13.7812,13.8522,10800
2010-09-30,12.8222,14.2074,12.8222,12.8222,13300
2010-10-01,12.0763,12.7867,12.0053,12.0763,33500
2010-10-04,12.4315,12.4315,11.4014,11.4014,22400
2010-10-05,12.2538,12.6091,12.2538,12.6091,14800
2010-10-06,12.5381,13.284,12.5025,13.1419,22300
2010-10-07,13.284,13.3195,12.8932,12.8932,16400
2010-10-08,12.4315,13.2484,12.3959,12.9287,11400
2010-10-11,12.0407,12.6801,12.0407,12.6801,14700
2010-10-12,13.1063,13.1063,11.7566,12.5736,14300
2010-10-13,11.5436,12.395999999999999,11.508,12.1829,23400
2010-10-14,11.7567,12.4315,11.7212,12.0763,11700
2010-10-15,12.5025,12.5025,11.7922,12.2184,11900
2010-10-18,11.7567,12.395999999999999,11.7566,11.7566,9200
2010-10-19,11.7211,12.0407,11.5435,11.5435,5100
2010-10-20,11.508,11.9342,11.4725,11.9342,2700
2010-10-21,11.8632,11.8987,11.6856,11.7566,8300
