Date,Open,High,Low,Close,Volume
2009-08-14,10.2238,10.2238,10.2238,10.2238,320950
2009-08-17,10.4368,10.4368,9.8191,9.8191,86630
2009-08-18,9.3931,10.309000000000001,9.3718,9.9043,49070
2009-08-19,10.2025,10.2025,9.7978,10.0108,30300
2009-08-20,9.7978,9.883,9.6913,9.7765,148730
2009-08-21,9.7978,10.1173,9.7978,10.1173,241130
2009-08-24,10.2238,10.2238,10.1173,10.1812,91680
2009-08-25,10.1812,10.1812,10.0108,10.1812,34270
2009-08-26,10.2025,10.2238,10.1173,10.1173,82880
2009-08-27,9.9895,10.1173,9.9043,10.0108,91230
2009-08-28,10.0108,10.5007,10.0108,10.5007,474080
2009-08-31,10.9693,10.9693,10.9693,10.9693,156800
2009-09-01,11.5018,11.5018,11.1823,11.5018,347200
2009-09-02,11.5018,11.5018,11.5018,11.5018,0
2009-09-03,11.2888,11.9278,11.1823,11.9277,248700
2009-09-04,11.9277,11.9277,11.3952,11.3953,112340
2009-09-07,11.1823,11.2888,10.8628,10.9693,252680
2009-09-08,11.2888,11.2888,10.9693,11.0758,90870
2009-09-09,11.0758,11.0758,10.5646,10.6498,63070
2009-09-10,10.6498,11.0758,10.522,10.6498,80250
2009-09-11,10.9693,11.1823,10.6498,11.1823,303550
2009-09-14,11.1823,11.7148,11.1823,11.2888,169370
2009-09-15,11.1823,11.2888,10.8628,11.2888,173330
2009-09-16,11.1823,11.1823,10.8628,10.8628,106760
2009-09-17,11.0758,11.0758,10.4794,10.6498,190050
2009-09-18,10.6498,10.9693,10.6072,10.8628,330750
2009-09-21,11.1823,11.3953,10.9693,11.3953,195890
2009-09-22,11.5018,11.9278,11.2888,11.9277,525410
2009-09-23,11.9277,12.0342,11.3952,11.3953,254430
2009-09-24,11.1823,11.2888,10.9693,11.0758,108880
2009-09-25,11.2888,11.5018,11.0758,11.2888,267940
2009-09-28,11.8213,11.8213,11.8212,11.8212,104250
2009-09-29,12.3537,12.3537,11.8212,11.9277,550090
2009-09-30,11.9277,12.2472,11.6082,11.9277,506590
2009-10-01,11.8212,11.9277,11.5017,11.5018,351110
2009-10-02,11.0758,11.3953,10.9693,11.0758,282930
2009-10-05,11.1823,11.6083,11.0758,11.2888,255330
2009-10-06,11.6083,11.8213,11.3953,11.8212,269080
2009-10-07,12.3537,12.3537,12.2472,12.3537,409020
2009-10-08,12.8862,12.8862,12.8862,12.8862,107060
2009-10-09,13.5252,13.5252,13.5252,13.5252,130950
2009-10-12,14.1642,14.1642,14.1642,14.1642,32530
2009-10-13,14.8032,14.8032,14.8032,14.8032,91570
2009-10-14,15.4422,15.4422,15.2292,15.4422,820890
2009-10-15,16.1877,16.1877,15.7617,16.1877,645870
2009-10-16,15.9747,16.1877,15.4422,15.4422,271610
2009-10-19,14.9097,15.4422,14.6967,14.6967,355450
2009-10-20,14.8032,15.3357,14.4837,15.3357,388710
2009-10-21,15.5487,15.7617,14.9097,14.9097,234410
2009-10-22,14.4837,15.0162,14.4837,14.9097,185870
2009-10-23,14.8032,14.9097,14.2707,14.2707,240350
2009-10-26,13.8447,14.4837,13.6317,13.6317,209860
2009-10-27,13.3122,13.4187,12.9927,13.2057,182630
2009-10-28,13.8447,13.8447,13.5252,13.8447,170490
2009-10-29,13.4187,13.8447,13.2057,13.8447,277330
2009-10-30,14.4837,14.4837,14.2707,14.4837,229460
2009-11-02,13.9512,13.9512,13.8447,13.8447,242710
2009-11-03,14.0577,14.0577,13.2057,13.3122,278920
2009-11-04,13.8447,13.9512,13.3122,13.5252,188020
2009-11-05,13.7382,14.1642,13.5252,14.0577,148670
2009-11-06,14.1642,14.1642,13.4187,13.4187,185950
2009-11-09,13.0992,13.4187,12.7797,12.7797,137230
2009-11-10,12.7797,13.0992,12.1407,12.2472,152380
2009-11-11,12.2472,12.7797,12.2472,12.7797,76080
2009-11-12,13.3122,13.4187,13.2057,13.4187,127080
2009-11-13,13.3122,14.0577,13.2057,14.0577,274490
2009-11-16,13.8447,14.0577,13.7382,13.7382,83640
2009-11-17,13.7382,13.7382,13.4187,13.5252,126090
2009-11-18,13.5252,14.1642,13.4187,14.1642,178200
2009-11-19,14.3772,14.8032,14.0577,14.3772,275670
2009-11-20,14.0577,14.3772,13.8447,13.9512,131270
2009-11-23,13.9512,13.9512,13.3122,13.4187,134660
2009-11-24,13.4187,13.5252,13.2057,13.3122,76530
2009-11-25,13.0992,13.2057,12.6732,12.6732,207270
2009-11-26,12.1407,12.2472,12.1407,12.1407,74010
2009-11-27,11.6082,12.6732,11.6082,12.2472,116410
2009-11-30,12.2472,12.6732,11.7147,12.3537,54650
2009-12-01,12.5667,12.5667,12.1407,12.1407,85650
2009-12-02,11.7147,12.0342,11.6082,11.6083,139330
2009-12-03,11.3953,11.7148,11.0758,11.6083,68150
2009-12-04,11.5018,11.8213,11.2888,11.6083,30940
2009-12-07,11.6083,11.8213,11.6083,11.8212,30180
2009-12-08,11.8212,11.8212,11.2887,11.3953,97470
2009-12-09,11.0758,11.0758,10.8628,10.8628,124490
2009-12-10,10.8628,10.9693,10.4368,10.6498,63270
2009-12-11,10.6498,10.6498,10.1173,10.1173,37060
2009-12-14,10.2238,10.6072,10.1173,10.4368,63500
2009-12-15,9.9256,10.4368,9.9256,10.4155,45090
2009-12-16,9.9682,10.2025,9.9043,9.9043,19220
2009-12-17,9.4357,9.4357,9.4144,9.4144,51120
2009-12-18,9.4144,9.8617,9.4144,9.7978,30910
2009-12-21,10.2025,10.2877,9.7978,10.2877,46810
2009-12-22,10.2877,10.2877,9.8617,9.8617,24350
2009-12-23,9.9682,10.0108,9.7765,10.0108,33980
2009-12-24,9.9043,10.5007,9.9043,10.5007,44320
2009-12-25,10.8628,10.9693,10.6498,10.9693,225570
2009-12-28,10.6498,11.2888,10.6498,11.0758,66940
2009-12-29,10.8628,11.6083,10.8628,11.6083,149190
2009-12-30,11.6083,12.1408,11.6083,12.1407,141970
2009-12-31,12.3537,12.5667,12.1407,12.1407,111490
2010-01-04,12.2472,12.6732,12.2472,12.6732,101160
2010-01-05,13.0992,13.2057,12.7797,12.9927,199050
2010-01-06,12.6732,13.6317,12.6732,13.5252,191020
2010-01-07,13.2057,13.7382,13.2057,13.2057,87450
2010-01-08,13.6317,13.6317,12.5667,12.5667,109340
2010-01-11,12.1407,12.5667,12.0342,12.2472,79960
2010-01-12,12.1407,12.3537,11.7147,11.7147,68350
2010-01-13,11.2887,11.7147,11.1822,11.7147,108370
2010-01-14,12.1407,12.2472,11.7147,12.2472,74370
2010-01-15,12.2472,12.2472,11.7147,11.7147,38260
2010-01-18,11.1822,11.5017,11.1822,11.1823,42080
2010-01-19,11.6083,11.6083,11.0758,11.2888,9070
2010-01-20,11.5018,11.5018,10.7563,10.7563,71890
2010-01-21,10.2451,10.4368,10.2238,10.2238,104350
2010-01-22,9.7339,10.2238,9.7126,9.7978,157510
2010-01-25,10.0108,10.2025,9.7978,10.2025,42520
2010-01-26,10.6072,10.6498,10.6072,10.6498,90200
2010-01-27,10.8628,10.8628,10.4368,10.4368,54230
2010-01-28,10.1386,10.3303,10.1386,10.1812,23350
2010-01-29,10.2025,10.2877,10.0108,10.1386,48860
2010-02-01,10.1386,10.2238,10.0108,10.1386,10810
2010-02-02,10.1386,10.3303,10.0108,10.3303,54730
2010-02-03,10.3303,10.3942,10.2238,10.2238,11580
2010-02-04,10.3303,10.6498,10.2238,10.6285,25540
2010-02-05,10.3729,10.4368,10.2238,10.2238,27880
2010-02-08,10.2238,10.2238,10.1173,10.2238,3390
2010-02-09,10.1812,10.1812,9.9043,10.0534,15900
2010-02-10,9.7978,10.3516,9.7978,10.0747,7830
2010-02-11,10.2238,10.4155,10.2238,10.4155,15820
2010-02-12,10.6285,10.6285,10.3303,10.5007,17700
2010-02-22,10.6285,10.7563,10.5007,10.6285,20910
2010-02-23,10.5433,10.5433,10.1386,10.1386,24260
2010-02-24,10.0534,10.2238,10.0108,10.2238,13800
2010-02-25,10.4155,10.4155,10.2238,10.3303,8420
2010-02-26,10.1599,10.522,10.1599,10.5007,16350
2010-03-01,10.5433,10.6072,10.5433,10.5646,16340
2010-03-02,10.6498,10.7563,10.6498,10.7563,36980
2010-03-03,10.8628,10.9693,10.7563,10.9693,21110
2010-03-04,11.1823,11.2888,10.8628,10.9693,33800
2010-03-05,10.7563,11.0758,10.6498,10.9693,95260
2010-03-08,11.3953,11.3953,11.0758,11.2888,90330
2010-03-09,11.2888,11.3953,11.0758,11.1823,52360
2010-03-10,11.1823,11.7148,11.0758,11.6083,166830
2010-03-11,11.7148,12.1408,11.6083,12.1407,137660
2010-03-12,12.3537,12.3537,12.0342,12.2472,104620
2010-03-15,12.2472,12.7891,12.2472,12.464,145950
2010-03-16,12.1389,12.2472,11.9221,12.0305,221810
2010-03-17,12.0305,12.0305,11.597000000000001,11.597000000000001,169390
2010-03-18,11.8138,11.8138,11.4886,11.8137,75720
2010-03-19,11.9221,11.9221,11.7053,11.8137,124870
2010-03-22,11.9221,11.9221,11.4886,11.7053,71410
2010-03-23,11.4885,11.5969,11.2718,11.4886,131920
2010-03-24,11.3802,11.4886,11.2718,11.3802,83300
2010-03-25,11.597000000000001,11.9221,11.3802,11.8137,463910
2010-03-26,12.464,12.464,11.9221,12.2472,217180
2010-03-29,12.0304,12.3556,11.9221,12.3556,102600
2010-03-30,12.0305,12.2472,11.9221,11.9221,133220
2010-03-31,11.8137,11.8137,11.4886,11.4886,156190
2010-04-01,11.2718,11.597000000000001,11.1635,11.597000000000001,132330
2010-04-02,12.1389,12.1389,11.9221,12.1389,179030
2010-04-05,12.5724,12.5724,12.2472,12.2472,118160
2010-04-06,12.2472,12.7892,12.1388,12.7892,379530
2010-04-07,13.2227,13.3311,13.005999999999998,13.3311,242650
2010-04-08,13.3311,13.6562,12.8976,13.0059,185300
2010-04-09,13.0059,13.6562,13.0059,13.4395,271730
2010-04-12,13.6563,13.6563,12.8975,12.8975,148240
2010-04-13,12.7891,12.8975,12.6807,12.6808,174120
2010-04-14,12.6808,12.7892,12.464,12.6808,88120
2010-04-15,12.8976,13.2227,12.7892,13.2227,195140
2010-04-16,13.2227,13.873,13.2227,13.5478,245950
2010-04-19,13.4394,13.6562,13.0059,13.2227,90920
2010-04-20,13.4395,13.4395,13.2227,13.3311,144440
2010-04-21,13.4395,13.4395,13.005999999999998,13.1143,157480
2010-04-22,13.2227,13.7646,12.7892,13.2227,214950
2010-04-26,13.3311,13.6562,13.3311,13.5478,296250
2010-04-27,13.6562,14.0897,13.4394,13.873,293280
2010-04-28,13.873,14.5233,13.7646,14.5233,295190
2010-04-29,14.7401,15.0652,14.6317,14.9568,152940
2010-05-04,14.9568,15.1736,14.6317,15.1736,235030
2010-05-05,14.8485,15.7155,14.8485,15.7155,425430
2010-05-06,16.2574,16.2574,15.3903,15.3903,235430
2010-05-07,14.9568,15.4987,14.6316,15.3903,216710
2010-05-10,15.1735,15.1735,14.6316,14.6317,140630
2010-05-11,14.5233,14.6317,14.0898,14.3065,134280
2010-05-12,14.3065,14.3065,13.6562,13.6562,123100
2010-05-13,13.4394,13.4394,13.0059,13.0059,79910
2010-05-14,13.0059,13.2227,12.8975,13.0059,40960
2010-05-17,12.8975,13.0059,12.464,12.6808,104780
2010-05-18,12.7892,13.0059,12.2473,13.0059,70900
2010-05-19,13.0059,13.0059,12.3556,12.3556,159830
