Date,Open,High,Low,Close,Volume
2021-03-10,16.0,16.0,16.0,16.0,0
2021-03-11,16.0,16.0,16.0,16.0,0
2021-03-12,16.0,16.0,16.0,16.0,0
2021-03-15,16.0,16.0,16.0,16.0,0
2021-03-16,16.0,16.0,16.0,16.0,0
2021-03-17,16.0,16.0,16.0,16.0,0
2021-03-18,13.6,13.6,13.6,13.6,100
2021-03-19,13.6,13.6,13.6,13.6,0
2021-03-22,13.6,13.6,13.6,13.6,0
2021-03-23,13.6,13.6,13.6,13.6,0
2021-03-24,13.6,13.6,13.6,13.6,0
2021-03-25,13.6,13.6,13.6,13.6,0
2021-03-26,13.6,13.6,13.6,13.6,0
2021-03-29,13.6,13.6,13.6,13.6,0
2021-03-30,13.6,13.6,13.6,13.6,0
2021-03-31,13.6,13.6,13.6,13.6,0
2021-04-01,13.6,13.6,13.6,13.6,0
2021-04-02,13.6,13.6,13.6,13.6,0
2021-04-05,13.6,13.6,13.6,13.6,0
2021-04-06,13.6,13.6,13.6,13.6,0
2021-04-07,13.6,13.6,13.6,13.6,0
2021-04-08,13.6,13.6,13.6,13.6,0
2021-04-09,13.6,13.6,13.6,13.6,0
2021-04-12,13.6,13.6,13.6,13.6,0
2021-04-13,13.6,13.6,13.6,13.6,0
2021-04-14,13.6,13.6,13.6,13.6,0
2021-04-15,13.6,13.6,13.6,13.6,0
2021-04-16,13.6,13.6,13.6,13.6,0
2021-04-19,13.6,13.6,13.6,13.6,0
2021-04-20,13.6,13.6,13.6,13.6,0
2021-04-22,13.6,13.6,13.6,13.6,0
2021-04-23,13.6,13.6,13.6,13.6,0
2021-04-26,13.6,13.6,13.6,13.6,0
2021-04-27,13.6,13.6,13.6,13.6,0
2021-04-28,13.6,13.6,13.6,13.6,0
2021-04-29,13.6,13.6,13.6,13.6,0
2021-05-04,13.6,13.6,13.6,13.6,0
2021-05-05,13.6,13.6,13.6,13.6,0
2021-05-06,13.6,13.6,13.6,13.6,0
2021-05-07,13.6,13.6,13.6,13.6,0
2021-05-10,13.6,13.6,13.6,13.6,0
2021-05-11,13.6,13.6,13.6,13.6,0
2021-05-12,13.6,13.6,13.6,13.6,0
2021-05-13,13.6,13.6,13.6,13.6,0
2021-05-14,13.6,13.6,13.6,13.6,0
2021-05-17,13.6,13.6,13.6,13.6,0
2021-05-18,13.6,13.6,13.6,13.6,0
2021-05-19,13.6,13.6,13.6,13.6,0
2021-05-20,18.3,18.3,18.0,18.0,4500
2021-05-21,18.1,18.1,18.1,18.1,0
2021-05-24,18.1,18.1,18.1,18.1,0
2021-05-25,18.1,18.1,18.1,18.1,0
2021-05-26,18.1,18.1,18.1,18.1,0
2021-05-27,18.1,18.1,18.1,18.1,0
2021-05-28,18.1,18.1,18.1,18.1,0
2021-05-31,18.1,18.1,18.1,18.1,0
2021-06-01,18.1,18.1,18.1,18.1,0
2021-06-02,15.4,15.4,15.4,15.4,500
2021-06-03,13.1,13.1,13.1,13.1,600
2021-06-04,13.1,13.1,13.1,13.1,0
2021-06-07,15.0,15.0,15.0,15.0,100
2021-06-08,15.0,15.0,15.0,15.0,0
2021-06-09,17.2,17.2,17.2,17.2,100
2021-06-10,16.6,16.6,16.5,16.5,1300
2021-06-11,17.0,17.0,17.0,17.0,100
2021-06-14,18.5,19.5,18.5,19.5,900
2021-06-15,19.8,19.8,19.8,19.8,1000
2021-06-16,20.3,20.3,20.3,20.3,200
2021-06-17,20.3,20.3,20.3,20.3,0
2021-06-18,20.3,20.3,20.3,20.3,300
2021-06-21,19.0,19.0,19.0,19.0,800
2021-06-22,19.0,19.0,19.0,19.0,0
2021-06-23,19.0,19.0,19.0,19.0,0
2021-06-24,19.0,19.0,19.0,19.0,0
2021-06-25,19.0,19.0,19.0,19.0,0
2021-06-28,19.0,19.0,19.0,19.0,0
2021-06-29,19.0,19.0,19.0,19.0,0
2021-06-30,19.0,19.0,19.0,19.0,0
2021-07-01,19.0,19.0,19.0,19.0,0
2021-07-02,19.0,19.0,19.0,19.0,0
2021-07-05,21.8,21.8,20.5,20.5,300
2021-07-06,20.9,20.9,20.9,20.9,0
2021-07-07,20.9,20.9,20.9,20.9,0
2021-07-08,20.9,20.9,20.9,20.9,0
2021-07-09,20.9,20.9,20.9,20.9,0
2021-07-12,20.9,20.9,20.9,20.9,0
2021-07-13,20.9,20.9,20.9,20.9,0
2021-07-14,20.9,20.9,20.9,20.9,0
2021-07-15,20.9,20.9,20.9,20.9,0
