Date,Open,High,Low,Close,Volume
2020-06-24,22.7971,22.7971,22.7971,22.7971,0
2020-06-25,22.7971,22.7971,22.7971,22.7971,0
2020-06-26,22.7971,22.7971,22.7971,22.7971,0
2020-06-29,22.7971,22.7971,22.7971,22.7971,0
2020-06-30,22.7971,22.7971,22.7971,22.7971,0
2020-07-01,22.7971,22.7971,22.7971,22.7971,0
2020-07-02,22.7971,22.7971,22.7971,22.7971,0
2020-07-03,22.7971,22.7971,22.7971,22.7971,0
2020-07-06,22.7971,22.7971,22.7971,22.7971,0
2020-07-07,22.7971,22.7971,22.7971,22.7971,0
2020-07-08,22.7971,22.7971,22.7971,22.7971,0
2020-07-09,31.8168,31.9159,31.7177,31.7177,6000
2020-07-10,32.4115,33.8983,27.753,33.8983,1100
2020-07-13,37.3674,37.3674,27.753,37.3674,100
2020-07-14,42.918,42.918,31.9159,42.918,3500
2020-07-15,48.5677,48.6668,48.3695,48.3695,1815
2020-07-16,48.6669,48.6669,48.6669,48.6669,900
2020-07-17,48.6669,48.6669,48.6669,48.6669,0
2020-07-20,41.4313,41.4313,41.4313,41.4313,100
2020-07-21,41.4313,41.4313,35.286,41.4313,100
2020-07-22,41.4313,41.4313,41.4313,41.4313,0
2020-07-23,40.6384,41.1339,40.6384,41.1339,200
2020-07-24,35.6824,35.6824,34.8895,35.1868,1600
2020-07-27,35.385,35.3851,35.385,35.3851,0
2020-07-28,35.6825,35.6825,35.6824,35.6824,900
2020-07-29,39.6471,39.6471,39.6471,39.6471,100
2020-07-30,39.6471,39.6471,39.6471,39.6471,0
2020-07-31,39.548,39.548,39.548,39.548,200
2020-08-03,39.4489,39.4489,39.4489,39.4489,300
2020-08-04,39.4489,39.4489,39.4489,39.4489,0
2020-08-05,39.1515,39.1516,39.1515,39.1516,200
2020-08-06,39.1516,39.1516,39.1516,39.1516,0
2020-08-07,33.7001,34.2948,33.7001,34.2948,200
2020-08-10,33.9974,33.9974,33.9974,33.9974,100
2020-08-11,33.9974,33.9974,33.9974,33.9974,0
2020-08-12,33.9974,33.9974,33.9974,33.9974,0
2020-08-13,33.9974,33.9974,33.9974,33.9974,0
2020-08-14,31.7177,32.7089,31.7177,32.7089,200
2020-08-17,29.5371,29.5371,29.5371,29.5371,100
2020-08-18,30.1318,30.1318,30.1318,30.1318,100
2020-08-19,30.8256,31.7177,25.6715,31.7177,200
2020-08-20,29.9336,29.9336,26.6627,29.9336,100
2020-08-21,29.9336,29.9336,29.9336,29.9336,0
2020-08-24,29.9336,29.9336,29.9336,29.9336,0
2020-08-25,30.5283,30.6274,30.5283,30.6274,1400
2020-08-26,30.9248,31.7177,30.9248,31.7177,200
2020-08-27,26.6627,35.9798,26.6627,30.3301,700
2020-08-28,29.438000000000002,34.6913,29.438000000000002,34.6912,900
2020-08-31,34.6912,34.6912,28.5459,34.6912,200
2020-09-01,35.6824,35.6824,29.5371,35.5833,200
2020-09-03,35.6824,35.6824,35.5833,35.5833,200
2020-09-04,35.6824,35.6824,35.5833,35.6824,500
2020-09-07,32.7089,33.2045,32.7089,32.7089,2300
2020-09-08,32.7089,32.7089,27.8521,32.7089,200
2020-09-09,32.808,32.808,32.808,32.808,100
2020-09-10,33.2045,33.7001,32.9071,33.7001,3700
2020-09-11,33.0063,33.7001,33.0063,33.7001,2000
2020-09-14,33.7992,33.7992,33.7992,33.7992,100
2020-09-15,33.8983,33.8983,33.7992,33.7992,400
2020-09-16,33.8983,33.8983,33.7992,33.7992,900
2020-09-17,33.7001,33.7001,28.7442,33.7001,500
2020-09-18,33.7001,33.7001,33.601,33.601,1400
2020-09-21,33.2045,33.601,33.0063,33.601,3000
2020-09-22,33.5019,33.7001,33.5019,33.7001,3300
2020-09-23,33.6,33.6,33.6,33.6,200
2020-09-24,33.6,33.7,33.6,33.6,700
2020-09-25,33.6,33.6,33.6,33.6,0
2020-09-28,33.5,33.5,33.4,33.4,200
2020-09-29,33.5,33.5,33.5,33.5,0
2020-09-30,33.5,33.5,33.5,33.5,0
2020-10-01,33.0,33.0,32.5,32.5,900
2020-10-02,32.5,32.5,32.0,32.0,400
2020-10-05,32.0,32.0,32.0,32.0,100
2020-10-06,32.0,32.0,32.0,32.0,0
2020-10-07,32.0,32.0,32.0,32.0,0
2020-10-08,32.0,32.0,32.0,32.0,0
2020-10-09,32.0,32.0,32.0,32.0,0
2020-10-12,32.0,32.0,32.0,32.0,0
2020-10-13,32.0,32.0,32.0,32.0,0
2020-10-14,32.0,32.0,32.0,32.0,300
2020-10-15,32.0,32.0,32.0,32.0,0
2020-10-16,32.0,32.0,32.0,32.0,0
2020-10-19,32.0,32.0,32.0,32.0,1800
2020-10-20,33.1,33.1,33.1,33.1,100
2020-10-21,32.9,33.0,32.9,33.0,300
2020-10-22,33.0,33.1,33.0,33.1,400
2020-10-23,32.0,34.5,32.0,34.5,1200
2020-10-26,34.1,34.1,34.1,34.1,0
2020-10-27,34.1,34.1,34.1,34.1,0
2020-10-28,34.1,34.1,34.1,34.1,0
2020-10-29,34.1,34.1,34.1,34.1,0
2020-10-30,34.1,34.1,34.1,34.1,0
2020-11-02,34.1,34.1,34.1,34.1,0
2020-11-03,34.1,34.1,34.1,34.1,0
2020-11-04,34.5,34.5,34.5,34.5,1100
2020-11-05,34.0,34.0,34.0,34.0,500
2020-11-06,34.0,34.0,34.0,34.0,0
2020-11-09,34.0,34.0,34.0,34.0,0
2020-11-10,34.0,34.0,34.0,34.0,100
2020-11-11,34.5,34.5,34.5,34.5,285
2020-11-12,34.5,34.5,34.5,34.5,0
2020-11-13,34.5,34.5,34.5,34.5,0
2020-11-16,35.0,35.0,35.0,35.0,500
2020-11-17,34.8,35.0,34.8,35.0,1600
2020-11-18,34.9,34.9,34.9,34.9,0
2020-11-19,35.0,35.0,35.0,35.0,100
2020-11-20,35.0,35.0,35.0,35.0,0
2020-11-23,35.0,35.0,35.0,35.0,0
2020-11-24,35.0,35.0,35.0,35.0,200
2020-11-25,35.0,35.0,33.0,33.0,300
2020-11-26,34.3,34.3,34.3,34.3,0
2020-11-27,32.0,32.0,32.0,32.0,300
2020-11-30,32.0,32.0,32.0,32.0,0
2020-12-01,32.0,32.0,32.0,32.0,0
2020-12-02,34.8,34.8,34.0,34.0,700
2020-12-03,34.5,34.5,34.5,34.5,700
2020-12-04,34.9,35.0,34.8,35.0,2200
2020-12-07,35.0,38.5,30.0,38.5,2800
2020-12-08,40.0,43.3,40.0,43.3,7900
2020-12-09,40.0,41.0,40.0,41.0,2900
2020-12-10,44.0,44.0,41.0,41.0,200
2020-12-11,45.0,45.0,44.0,44.0,4600
2020-12-14,45.0,45.0,45.0,45.0,600
2020-12-15,45.0,45.0,45.0,45.0,0
2020-12-16,39.1,42.0,38.4,42.0,3400
2020-12-17,45.0,46.0,45.0,46.0,6800
2020-12-18,46.0,46.0,46.0,46.0,300
2020-12-21,48.0,48.0,48.0,48.0,100
2020-12-22,48.0,52.0,48.0,52.0,5000
2020-12-23,52.0,52.0,50.0,50.0,3300
2020-12-24,46.0,46.0,43.0,43.0,400
2020-12-25,50.0,50.0,48.0,48.0,1200
2020-12-28,45.1,48.0,45.0,45.0,3000
2020-12-29,43.0,52.5,43.0,52.5,1000
2020-12-30,47.0,48.1,45.0,48.0,4000
2020-12-31,45.0,50.0,45.0,49.8,300
2021-01-04,48.0,49.5,48.0,49.5,2100
2021-01-05,49.5,49.5,49.0,49.0,800
2021-01-06,49.5,49.5,49.5,49.5,100
2021-01-07,49.6,49.8,49.6,49.8,800
2021-01-08,49.7,49.7,48.5,48.5,200
2021-01-11,49.1,49.8,49.1,49.8,1500
2021-01-12,49.8,50.0,49.8,50.0,700
2021-01-13,49.5,49.5,49.5,49.5,100
2021-01-14,48.0,48.0,48.0,48.0,100
2021-01-15,49.8,52.0,49.8,51.0,13100
2021-01-18,51.0,51.0,50.0,50.5,1900
2021-01-19,50.5,50.5,50.5,50.5,0
2021-01-20,50.2,51.0,50.2,51.0,6700
2021-01-21,50.9,51.0,50.8,50.9,2700
2021-01-22,50.8,50.8,50.1,50.5,2000
2021-01-25,50.4,50.4,50.4,50.4,0
2021-01-26,49.0,49.0,49.0,49.0,500
2021-01-27,49.0,49.0,49.0,49.0,0
2021-01-28,49.0,49.0,49.0,49.0,100
2021-01-29,45.0,45.0,45.0,45.0,100
2021-02-01,50.0,50.0,49.0,50.0,500
2021-02-02,49.8,49.8,49.8,49.8,0
2021-02-03,49.8,49.8,49.8,49.8,0
2021-02-04,49.0,50.0,49.0,50.0,700
2021-02-05,49.9,49.9,49.9,49.9,0
2021-02-08,49.9,49.9,49.9,49.9,0
2021-02-09,49.9,49.9,49.9,49.9,0
2021-02-17,48.0,50.5,48.0,50.5,2300
2021-02-18,52.0,52.0,50.2,52.0,21200
2021-02-19,51.0,53.0,50.0,52.3,8600
2021-02-22,52.8,56.0,52.8,56.0,15200
2021-02-23,56.4,58.0,55.0,57.5,9500
2021-02-24,58.5,58.5,56.9,57.0,4300
2021-02-25,57.1,60.0,57.1,57.7,4200
2021-02-26,57.2,57.3,51.0,55.8,2500
2021-03-01,55.2,56.1,55.1,56.1,5700
2021-03-02,56.1,58.0,56.1,57.0,1800
2021-03-03,56.8,56.8,56.8,56.8,600
2021-03-04,55.8,55.8,55.0,55.2,1200
2021-03-05,55.3,55.3,55.3,55.3,0
2021-03-08,53.0,53.6,53.0,53.2,1300
2021-03-09,53.5,57.0,52.5,57.0,1100
2021-03-10,53.0,53.0,53.0,53.0,0
2021-03-11,0.0,0.0,0.0,0.0,0
