Date,Open,High,Low,Close,Volume
2012-07-24,5.2132,5.4304,5.2132,5.2132,239650
2012-07-25,4.9688,4.9688,4.9688,4.9688,10970
2012-07-26,4.9688,4.9688,4.7244,4.7516,159640
2012-07-27,4.8331,4.8331,4.5615,4.5616,120970
2012-07-30,4.5616,4.7788,4.5344,4.7788,172060
2012-07-31,4.996,4.996,4.7516,4.8059,339380
2012-08-01,4.8059,4.9145,4.7244,4.8331,39910
2012-08-02,4.8874,4.8874,4.7788,4.7788,26710
2012-08-03,4.8331,4.8874,4.7788,4.8874,24420
2012-08-06,4.9417,4.996,4.8331,4.8874,124650
2012-08-07,4.8874,4.9146,4.7516,4.7516,125880
2012-08-08,4.8602,4.8602,4.7244,4.7788,27100
2012-08-09,4.6973,4.8331,4.6973,4.8331,68540
2012-08-10,4.8331,4.8331,4.7516,4.7788,101720
2012-08-13,4.8331,4.996,4.8331,4.996,435250
2012-08-14,5.0232,5.2404,5.0232,5.2404,311940
2012-08-15,5.4033,5.4033,5.1046,5.1589,82540
2012-08-16,5.1589,5.2947,5.1317,5.1589,64250
2012-08-17,5.1589,5.4033,5.1589,5.4033,310560
2012-08-20,5.4576,5.6477,5.4576,5.6476,358040
2012-08-21,5.3761,5.6476,5.3761,5.3761,444030
2012-08-22,5.1317,5.3489,5.1317,5.1317,453090
2012-08-23,4.9145,4.9145,4.8873,4.8874,99190
2012-08-24,4.643,5.1046,4.643,4.8331,503710
2012-08-27,4.7516,4.7516,4.6159,4.6159,138630
2012-08-28,4.5616,4.7245,4.4258,4.7245,116180
2012-08-29,4.8603,4.9417,4.8603,4.9417,139960
2012-08-30,4.9417,5.1318,4.9145,4.9145,221560
2012-08-31,4.996,4.996,4.833,4.8874,89890
2012-09-04,4.9689,5.0503,4.9417,4.9688,27370
2012-09-05,4.996,5.0231,4.8059,4.8059,91220
2012-09-06,4.6701,4.8331,4.6701,4.7516,55650
2012-09-07,4.7516,4.7788,4.6701,4.7516,90780
2012-09-10,4.7516,4.7516,4.5344,4.5344,251110
2012-09-11,4.5616,4.6702,4.5344,4.6702,35290
2012-09-12,4.6702,4.7517,4.6702,4.6702,27320
2012-09-13,4.6974,4.7517,4.643,4.7245,26650
2012-09-14,4.806,4.9417,4.7517,4.9417,191670
2012-09-17,4.996,4.996,4.8331,4.8331,42850
2012-09-18,4.8331,4.8874,4.6702,4.8874,78310
2012-09-19,4.8602,4.8602,4.6973,4.6973,34090
2012-09-20,4.6973,4.6973,4.4801,4.6159,314440
2012-09-21,4.7245,4.7245,4.5887,4.643,19660
2012-09-24,4.6158,4.6158,4.5344,4.5616,19960
2012-09-25,4.5073,4.5888,4.4801,4.5344,28310
2012-09-26,4.5616,4.5887,4.4801,4.4801,29670
2012-09-27,4.4801,4.5616,4.4529,4.5616,80410
2012-09-28,4.5888,4.6159,4.5344,4.5887,20390
2012-10-01,4.6159,4.6159,4.4258,4.5344,43920
2012-10-02,4.4529,4.5072,4.4529,4.5072,20030
2012-10-03,4.48,4.5615,4.48,4.5072,17490
2012-10-04,4.4257,4.643,4.4257,4.5072,9920
2012-10-05,4.48,4.5615,4.4529,4.4529,28910
2012-10-08,4.5072,4.5615,4.4801,4.5072,18280
2012-10-09,4.5615,4.5615,4.48,4.5072,63960
2012-10-10,4.5072,4.6158,4.5072,4.5072,62540
2012-10-11,4.6158,4.7244,4.5615,4.6159,57260
2012-10-12,4.6702,4.6702,4.5887,4.6702,17070
2012-10-15,4.6159,4.643,4.5073,4.6159,41930
2012-10-16,4.6431,4.806,4.643,4.643,23040
2012-10-17,4.6973,4.6973,4.5615,4.5616,31900
2012-10-18,4.6702,4.6702,4.5616,4.5887,82820
2012-10-19,4.5615,4.6159,4.4801,4.6159,43530
2012-10-22,4.4801,4.5616,4.4801,4.5616,4670
2012-10-23,4.5616,4.6159,4.5073,4.6159,9560
2012-10-24,4.6159,4.6159,4.5073,4.6159,13980
2012-10-25,4.5344,4.5344,4.4801,4.5072,25020
2012-10-26,4.4257,4.5615,4.4257,4.5072,40160
2012-10-29,4.5615,4.5615,4.48,4.4801,22730
2012-10-30,4.4801,4.6973,4.4801,4.6973,49980
2012-10-31,4.8331,4.9145,4.7516,4.8059,153410
2012-11-01,4.6973,4.8059,4.643,4.6702,80670
2012-11-02,4.453,4.5073,4.4529,4.4529,303440
2012-11-05,4.2357,4.4529,4.2357,4.29,138680
2012-11-06,4.1542,4.4801,4.1542,4.4801,180930
2012-11-07,4.5073,4.6973,4.3986,4.643,215750
2012-11-08,4.643,4.7516,4.5887,4.643,284800
2012-11-09,4.8378,4.8548,4.7729,4.8548,291020
2012-11-12,4.9851,5.0829,4.8874,5.0829,335020
2012-11-13,5.1806,5.311,5.1155,5.3109,624910
2012-11-14,5.3109,5.5716,5.3109,5.5716,449950
2012-11-15,5.539,5.6693,5.3761,5.5064,418640
2012-11-16,5.4087,5.7671,5.3761,5.7671,442140
2012-11-19,6.0278,6.0278,5.7997,6.0278,645430
2012-11-20,5.8649,6.093,5.8649,6.0278,793110
2012-11-21,5.9301,6.0604,5.8975,5.9952,500620
2012-11-22,5.8975,6.2884,5.8975,6.2884,329710
2012-11-23,6.2232,6.2558,5.9952,5.9952,487960
2012-11-26,5.8649,5.9952,5.702000000000001,5.8323,558350
2012-11-27,5.8323,5.9952,5.8323,5.9626,357150
2012-11-28,5.93,5.9952,5.93,5.93,442340
2012-11-29,5.9626,6.1581,5.9626,5.9952,408350
2012-11-30,5.93,6.0278,5.7345,5.7671,239060
2012-12-03,5.8323,5.8323,5.539,5.6694,312880
2012-12-04,5.6368,5.7671,5.6042,5.7345,193090
2012-12-05,5.7345,5.8322,5.6368,5.6368,174980
2012-12-06,5.6694,5.7345,5.5716,5.6042,153570
2012-12-07,5.6042,5.6368,5.4739,5.4739,111220
2012-12-10,5.4413,5.7346,5.4087,5.7345,250390
2012-12-11,5.7345,5.7671,5.539,5.539,113130
2012-12-12,5.539,5.7671,5.539,5.6042,61390
