Date,Open,High,Low,Close,Volume
2008-12-05,3.2146,3.2146,3.2146,3.2146,10110
2008-12-08,3.2146,3.2146,3.0539,3.0539,6570
2008-12-09,2.9032,2.9032,2.9032,2.9032,10
2008-12-10,2.7626,2.7626,2.7626,2.7626,10
2008-12-11,2.6319999999999997,2.6319999999999997,2.6319999999999997,2.6319999999999997,460
2008-12-12,2.5014,2.5014,2.5014,2.5014,510
2008-12-15,2.3809,2.3809,2.3808,2.3808,10620
2008-12-16,2.2703,2.2703,2.2703,2.2703,610
2008-12-17,2.1598,2.1598,2.1598,2.1598,500
2008-12-18,2.0593,2.2603,2.0593,2.19,923090
2008-12-19,2.1197,2.18,2.0895,2.1096,554220
2008-12-22,2.0694,2.1598,2.0694,2.1096,331800
2008-12-23,2.0694,2.0996,2.0694,2.0996,147970
2008-12-24,2.0092,2.0594,2.0092,2.0292,150910
2008-12-25,2.0292,2.0392,1.9488,1.9489,209190
2008-12-26,1.8786,1.979,1.8685,1.979,294520
2008-12-29,1.9288,1.9589,1.8986,1.9087,153170
2008-12-30,1.8886,1.9388,1.8786,1.9288,228490
2008-12-31,1.8987,1.9087,1.8786,1.8986,239090
2009-01-02,1.8383,1.8785,1.8383,1.8685,278840
2009-01-05,1.8785,1.9589,1.8585,1.9589,479070
2009-01-06,2.0091,2.0493,2.0091,2.0493,631790
2009-01-07,2.1297,2.1297,2.0493,2.0594,539930
2009-01-08,2.0092,2.0192,1.9589,1.9589,303820
2009-01-09,1.9288,1.9489,1.8785,1.9087,264690
2009-01-12,1.8886,1.9087,1.8685,1.8886,148180
2009-01-13,1.8685,1.9087,1.8585,1.8685,154020
2009-01-14,1.8685,1.8986,1.8484,1.8685,197160
2009-01-15,1.8484,1.8785,1.8384,1.8685,185720
2009-01-16,1.8685,1.9589,1.8685,1.9589,518980
2009-01-19,1.9388,1.9589,1.8685,1.9087,183510
2009-01-20,1.8786,1.8886,1.8685,1.8785,112140
2009-01-21,1.8986,1.8986,1.8685,1.8785,45210
2009-01-22,1.8785,1.9087,1.8785,1.9087,74840
2009-01-23,1.8786,1.9087,1.8786,1.8886,81790
2009-02-02,1.7982,1.7982,1.7982,1.7982,19560
2009-02-03,1.7178,1.7178,1.7178,1.7178,19220
2009-02-04,1.6374,1.6374,1.6374,1.6374,5080
2009-02-05,1.557,1.5571,1.557,1.5571,25240
2009-02-06,1.4868,1.5571,1.4868,1.4868,263530
2009-02-09,1.5069,1.5069,1.4466,1.4868,193850
2009-02-10,1.4265,1.4265,1.4164,1.4164,202910
2009-02-11,1.3461,1.3461,1.3461,1.3461,46500
2009-02-12,1.2858,1.3461,1.2858,1.2858,249790
2009-02-13,1.2657,1.2657,1.2356,1.2457,179730
2009-02-16,1.2658,1.306,1.2457,1.2758,294460
2009-02-17,1.2959,1.2959,1.2356,1.2356,235630
2009-02-18,1.1854,1.2055,1.1753,1.1753,200790
2009-02-19,1.1853,1.1954,1.1251,1.1251,158880
2009-02-20,1.0749,1.095,1.0749,1.0749,184230
2009-02-23,1.0247,1.0247,1.0247,1.0247,76490
2009-02-24,0.9745,0.9745,0.9744,0.9744,65430
2009-02-25,0.9744,1.0046,0.9644,1.0046,429010
2009-02-26,0.9544,0.9745,0.9543,0.9543,308440
2009-02-27,0.9443,0.9543,0.9342,0.9343,107210
2009-03-02,0.9243,0.9443,0.9142,0.9443,204840
2009-03-03,0.9242,0.9343,0.9041,0.9041,345960
2009-03-04,0.9041,0.9242,0.8941,0.8941,148080
2009-03-05,0.9142,0.9242,0.8841,0.9041,152500
2009-03-06,0.9041,0.9242,0.8941,0.9242,216970
2009-03-09,0.9443,0.9644,0.9342,0.9644,386620
2009-03-10,1.0046,1.0046,1.0046,1.0046,219280
2009-03-11,1.0548,1.0548,1.0548,1.0548,196870
2009-03-12,1.105,1.105,1.0247,1.105,1510930
2009-03-13,1.105,1.1351,1.095,1.1151,574330
2009-03-16,1.1151,1.1251,1.095,1.095,256150
2009-03-17,1.105,1.1452,1.105,1.1251,344540
2009-03-18,1.1552,1.1753,1.1351,1.1753,789550
2009-03-19,1.2155,1.2255,1.1753,1.1753,606190
2009-03-20,1.1351,1.2054,1.1351,1.1653,228300
2009-03-23,1.1553,1.1553,1.1151,1.1151,310460
2009-03-24,1.1653,1.1653,1.1553,1.1653,519180
