Date,Open,High,Low,Close,Volume
2011-06-30,5.0278,5.0278,5.0278,5.0278,170
2011-07-01,4.7834,4.7834,4.7834,4.7834,40
2011-07-04,4.5739,4.5739,4.5739,4.5739,15000
2011-07-05,4.3644,4.3644,4.3644,4.3644,220030
2011-07-06,4.1549,4.1898,4.1549,4.1549,624470
2011-07-07,3.9803,3.9803,3.9803,3.9803,318140
2011-07-08,3.8057,3.9803,3.8057,3.9454,1256220
2011-07-11,3.9454,4.0501,3.8756,3.9454,249140
2011-07-12,3.7708,3.9105,3.7708,3.7709,478410
2011-07-13,3.6662,3.9106,3.6662,3.8058,47600
2011-07-14,3.6312,3.7709,3.6312,3.6312,285500
2011-07-15,3.4915,3.6312,3.4915,3.5963,88840
2011-07-18,3.5614,3.5614,3.4217,3.4217,10339
2011-07-19,3.4217,3.4915,3.3169999999999997,3.4915,108560
2011-07-20,3.4915,3.5264,3.4217,3.5264,87900
2011-07-21,3.4915,3.5613,3.3867,3.4217,33320
2011-07-22,3.3519,3.4217,3.3519,3.3519,63980
2011-07-25,3.4217,3.4217,3.2471,3.2471,32870
2011-07-26,3.1424,3.2471,3.1424,3.2471,25630
2011-07-27,3.2471,3.282,3.1773,3.282,6400
2011-07-28,3.3518,3.3518,3.1423,3.282,33840
2011-07-29,3.2471,3.2471,3.1773,3.1773,26900
2011-08-01,3.1424,3.2471,3.0726,3.1424,38550
2011-08-02,3.1424,3.1773,3.0726,3.1773,47630
2011-08-03,3.0376,3.1773,3.0376,3.1424,10020
2011-08-04,3.1773,3.2821,3.0726,3.2471,84070
2011-08-05,3.2471,3.3169999999999997,3.1424,3.3169999999999997,39680
2011-08-08,3.2472,3.3169999999999997,3.2472,3.282,5890
2011-08-09,3.1423,3.282,3.1423,3.1424,20310
2011-08-10,3.1424,3.1424,3.1075,3.1424,26010
2011-08-11,3.0726,3.1424,3.0027,3.1424,14390
2011-08-12,3.1773,3.2122,3.1424,3.1773,12910
2011-08-15,3.2471,3.2471,3.1424,3.1424,80
2011-08-16,3.2122,3.2471,3.1424,3.2471,17210
2011-08-17,3.2471,3.3169,3.1773,3.282,29560
2011-08-18,3.3169,3.3518,3.282,3.3169999999999997,47610
2011-08-19,3.2472,3.3169999999999997,3.1773,3.3169999999999997,57180
2011-08-22,3.3519,3.4567,3.3169999999999997,3.3169999999999997,47910
2011-08-23,3.3519,3.3519,3.2122,3.2122,21020
2011-08-24,3.2122,3.3519,3.1773,3.2471,37140
2011-08-25,3.282,3.282,3.1773,3.282,43090
2011-08-26,3.2471,3.282,3.2471,3.282,29040
2011-08-29,3.282,3.4217,3.282,3.4217,48830
2011-08-30,3.4915,3.4915,3.4915,3.4915,5000
2011-08-31,3.3518,3.4915,3.3169,3.4915,53100
2011-09-01,3.3518,3.4915,3.3518,3.4915,77000
2011-09-05,3.4566,3.4566,3.3169,3.3169999999999997,57050
2011-09-06,3.3169999999999997,3.3868,3.3169999999999997,3.3169999999999997,23520
2011-09-07,3.3169999999999997,3.3868,3.3169999999999997,3.3519,7600
2011-09-08,3.3519,3.4566,3.3519,3.3519,33770
2011-09-09,3.3519,3.3519,3.2122,3.2471,31050
2011-09-12,3.282,3.3169,3.282,3.282,13310
2011-09-13,3.3169,3.4217,3.3169,3.4217,77480
2011-09-14,3.5614,3.5614,3.5614,3.5614,959790
2011-09-15,3.736,3.736,3.7011,3.7359,712270
2011-09-16,3.9105,3.9105,3.9105,3.9105,127790
2011-09-19,4.0851,4.0851,4.0851,4.0851,71690
2011-09-20,4.1898,4.2597,4.1898,4.1898,640600
2011-09-21,4.0152,4.3295,3.9803,3.9803,434950
2011-09-22,3.8406,4.0152,3.8057,3.9803,379220
2011-09-23,4.085,4.085,3.8406,3.8407,101490
2011-09-26,3.701,3.8407,3.701,3.701,168470
2011-09-27,3.6312,3.8057,3.6312,3.6312,170980
2011-09-28,3.8058,3.8058,3.6661,3.8058,91350
2011-09-29,3.9804,3.9804,3.8058,3.9803,294280
2011-09-30,4.0501,4.0501,3.8756,4.0153,257390
2011-10-03,3.9106,4.0153,3.8407,3.8407,130400
2011-10-04,3.701,3.7709,3.6661,3.6661,247330
2011-10-05,3.6312,3.6661,3.5963,3.6661,65840
2011-10-06,3.7359,3.8407,3.7359,3.7709,108010
2011-10-07,3.736,3.7709,3.5963,3.6661,112210
2011-10-10,3.5963,3.6661,3.5264,3.5614,76730
2011-10-11,3.5963,3.5963,3.4915,3.4915,43090
2011-10-12,3.4217,3.4915,3.3169,3.3169999999999997,182610
2011-10-13,3.3169999999999997,3.3868,3.2472,3.3868,68230
2011-10-14,3.3868,3.4217,3.3519,3.3519,67010
2011-10-17,3.4566,3.4916,3.4217,3.4915,111870
2011-10-18,3.4915,3.4915,3.3169,3.3169999999999997,81990
2011-10-19,3.3519,3.3519,3.2472,3.3169999999999997,40940
2011-10-20,3.2472,3.3868,3.2472,3.3169999999999997,8980
2011-10-21,3.3868,3.4217,3.3519,3.3519,18770
2011-10-24,3.3519,3.4566,3.3519,3.3519,65900
2011-10-25,3.4217,3.4217,3.2472,3.3169999999999997,49400
2011-10-26,3.3169999999999997,3.3169999999999997,3.2471,3.2471,7540
2011-10-27,3.2471,3.2471,3.2122,3.2122,44660
2011-10-28,3.282,3.3519,3.2471,3.3519,72170
2011-10-31,3.4217,3.4217,3.2471,3.2471,70000
2011-11-01,3.2471,3.2471,3.1424,3.1424,51570
2011-11-02,3.1773,3.1773,3.1075,3.1424,40860
2011-11-03,3.1075,3.2122,3.1075,3.1424,29670
2011-11-04,3.2471,3.2471,3.0726,3.1424,23840
2011-11-07,3.0726,3.1773,3.0377,3.1075,25910
2011-11-08,3.0028,3.0726,2.9678,3.0725,92980
2011-11-09,2.9678,3.0376,2.9328,2.9329,19220
2011-11-10,2.8631,2.898,2.8282,2.8631,26530
