Date,Open,High,Low,Close,Volume
2008-08-21,25.5353,32.6284,25.5353,30.6423,382800
2008-08-22,31.2949,31.2949,27.2376,31.2097,260000
2008-08-25,32.3162,32.3163,31.2097,32.3163,344100
2008-08-26,34.4726,34.4726,34.4726,34.4726,190400
2008-08-27,36.8843,36.8843,35.4656,36.8842,462100
2008-08-28,39.154,39.2675,34.3023,34.3024,124400
2008-08-29,32.5433,34.9833,32.5433,33.1675,286900
2008-09-03,33.4796,34.5861,30.6423,30.6423,126600
2008-09-04,29.5925,29.5925,29.5925,29.5925,22000
2008-09-05,27.5213,27.5213,27.5213,27.5213,6900
2008-09-08,25.6203,25.6204,25.6203,25.6204,400
2008-09-09,23.8329,23.8329,23.8329,23.8329,5300
2008-09-10,22.1873,22.1873,22.1873,22.1873,7100
2008-09-11,20.6552,22.698,20.6552,20.6552,382200
2008-09-12,19.4068,19.8608,19.4068,19.4068,163900
2008-09-15,18.1017,20.7687,18.1017,20.5701,179200
2008-09-16,20.1445,20.485,18.5272,18.5272,69600
2008-09-17,17.7044,18.5272,17.7044,17.7044,87400
2008-09-18,16.4844,16.4844,16.4844,16.4844,9200
2008-09-19,15.6049,17.6193,15.3779,17.6193,81200
2008-09-22,18.3002,18.3003,18.3002,18.3003,20700
2008-09-23,18.1584,18.2719,17.0235,17.0235,114000
2008-09-24,17.3072,17.8747,16.1723,16.7398,93500
2008-09-25,16.7114,18.1584,16.6831,18.0449,113000
2008-09-26,18.9244,18.9244,17.5909,17.8747,129800
2008-09-29,18.0166,18.0166,16.7965,17.2221,66400
2008-09-30,16.0872,16.0872,16.0872,16.0872,2700
2008-10-01,15.3211,16.7398,14.9807,15.3211,101900
2008-10-02,15.4062,16.3993,15.3211,15.8319,47600
2008-10-03,15.4914,15.4914,14.8956,15.2928,37500
2008-10-06,14.7537,14.8956,14.1579,14.1579,34900
2008-10-07,13.2216,13.2216,13.2216,13.2216,24000
2008-10-08,12.3704,12.4839,12.3137,12.3137,87500
2008-10-09,11.5193,12.1718,11.4625,11.4625,93300
2008-10-10,10.7532,10.7532,10.7532,10.7532,12500
2008-10-13,10.129,10.7532,10.0155,10.0155,56100
2008-10-14,10.895,10.895,10.895,10.895,2100
2008-10-15,11.6327,11.6327,10.1573,11.122,153600
2008-10-16,10.2141,10.2425,10.2141,10.2141,49700
2008-10-17,10.6397,10.9234,9.9304,10.4127,62700
2008-10-20,10.8383,11.122,9.8169,10.2141,75300
2008-10-21,10.2141,10.4978,9.9304,10.0722,58700
2008-10-22,9.6466,9.7034,9.4764,9.4764,63400
2008-10-23,8.8522,8.8522,8.8522,8.8522,7400
2008-10-24,8.2564,8.4834,8.2564,8.2564,106400
2008-10-27,7.6889,7.6889,7.6889,7.6889,2300
2008-10-28,7.1782,7.1782,7.1782,7.1782,9300
2008-10-29,7.6605,7.6605,6.6959,7.0931,181100
2008-10-30,7.235,7.235,6.8094,6.8378,79500
2008-10-31,6.9513,7.0648,6.4122,6.8094,86300
2008-11-03,6.8094,7.1782,6.4122,7.1499,76100
2008-11-04,6.4973,7.462000000000001,6.4973,7.462000000000001,41500
