Date,Open,High,Low,Close,Volume
2008-04-23,6.6678,6.6678,3.6387,3.8673,97400
2008-04-24,3.8292,3.8292,3.8292,3.8292,22900
2008-04-25,3.7149,3.7149,3.7149,3.7149,6400
2008-04-28,3.6196,3.6577,3.6196,3.6387,21700
2008-04-29,3.5244,3.7149,3.5244,3.5244,32800
2008-05-05,3.5244,3.5244,3.4863,3.4863,11600
2008-05-06,3.391,3.391,3.391,3.391,11200
2008-05-07,3.2957,3.2958,3.2957,3.2958,700
2008-05-08,3.2005,3.2005,3.2005,3.2005,5000
2008-05-09,3.1052,3.1053,3.1052,3.1053,1500
2008-05-12,3.0291,3.0291,3.0291,3.0291,13900
2008-05-13,2.9529,2.9529,2.9529,2.9529,100
2008-05-14,2.8767,2.8767,2.8767,2.8767,1100
2008-05-15,2.8005,2.8005,2.8005,2.8005,10500
2008-05-16,2.7243,2.7243,2.7243,2.7243,24600
2008-05-19,2.6481,2.6481,2.6481,2.6481,4700
2008-05-20,2.5719,2.5719,2.5719,2.5719,2300
2008-05-21,2.4957,2.4957,2.4957,2.4957,2500
2008-05-22,2.4385,2.4385,2.4385,2.4385,3100
2008-05-23,2.3813,2.3814,2.3813,2.3814,3000
2008-05-26,2.3242,2.3242,2.3242,2.3242,4800
2008-05-27,2.267,2.3242,2.267,2.267,18700
2008-05-28,2.2098,2.3242,2.2098,2.2099,82100
2008-05-29,2.1527,2.2099,2.1527,2.1908,89800
2008-05-30,2.2289,2.2289,2.1908,2.2289,21200
2008-06-02,2.2861,2.2861,2.1717,2.267,41700
2008-06-03,2.267,2.267,2.1908,2.248,30100
2008-06-04,2.1908,2.2099,2.1718,2.1908,21000
2008-06-05,2.1336,2.1337,2.1336,2.1337,16000
2008-06-06,2.0765,2.1528,2.0765,2.0765,23200
2008-06-09,2.0574,2.1337,2.0384,2.0384,15100
2008-06-10,2.0384,2.1337,2.0193,2.1337,12700
2008-06-11,2.1528,2.1528,2.1527,2.1527,6600
2008-06-12,2.2099,2.2099,2.2099,2.2099,9500
2008-06-13,2.2671,2.2671,2.267,2.267,18700
2008-06-16,2.3051,2.3242,2.3051,2.3242,17400
2008-06-17,2.3814,2.3814,2.3814,2.3814,700
2008-06-18,2.4386,2.4386,2.3242,2.3242,15200
2008-06-19,2.3051,2.3051,2.3051,2.3051,7900
2008-06-20,2.2289,2.2289,2.2289,2.2289,100
2008-06-23,2.1527,2.3051,2.1527,2.3051,34600
2008-06-24,2.2098,2.3051,2.2098,2.2861,16200
2008-06-25,2.2289,2.3052,2.2289,2.3051,19300
2008-06-26,2.3623,2.3623,2.2098,2.3623,40300
2008-06-27,2.4004,2.4004,2.248,2.3623,21200
2008-06-30,2.267,2.3623,2.267,2.3623,13900
2008-07-01,2.3432,2.4195,2.3432,2.4195,24300
2008-07-02,2.4767,2.5148,2.4576,2.5147,57800
2008-07-03,2.5909,2.5909,2.5909,2.5909,18600
2008-07-04,2.6862,2.6862,2.6862,2.6862,20900
2008-07-07,2.7815,2.7815,2.5909,2.5909,23700
2008-07-08,2.5337,2.6481,2.5337,2.6481,22000
2008-07-09,2.5909,2.6481,2.5719,2.5909,29500
2008-07-10,2.6671,2.7243,2.6481,2.7052,54100
2008-07-11,2.7243,2.7814,2.6671,2.7814,65200
2008-07-14,2.8576,2.8576,2.7814,2.8576,24300
2008-07-15,2.9338,2.9338,2.9338,2.9338,12000
2008-07-16,3.0481,3.0481,2.8195,3.0481,63200
2008-07-17,3.1434,3.1434,3.1053,3.1434,58300
2008-07-18,3.2577,3.2577,3.0291,3.0291,54100
2008-07-21,2.9719,2.9719,2.9719,2.9719,4200
2008-07-22,2.8576,2.8576,2.8576,2.8576,100
2008-07-23,2.7433,2.7433,2.7433,2.7433,100
2008-07-24,2.648,2.7242,2.648,2.6481,26800
2008-07-25,2.5528,2.5528,2.5528,2.5528,12800
2008-07-28,2.4575,2.4576,2.4575,2.4576,4100
2008-07-29,2.3814,2.5529,2.3623,2.3623,27800
2008-07-30,2.5719,2.5719,2.3814,2.4004,13700
2008-07-31,2.3432,2.3623,2.3432,2.3432,59500
2008-08-01,2.267,2.3432,2.267,2.267,12400
2008-08-04,2.2098,2.2099,2.2098,2.2099,36900
2008-08-05,2.1337,2.1527,2.1337,2.1337,31200
2008-08-06,2.2099,2.2099,2.1337,2.2099,16900
2008-08-07,2.2671,2.2671,2.2099,2.267,20600
2008-08-08,2.3432,2.3432,2.2861,2.3432,9100
2008-08-11,2.4004,2.4004,2.4004,2.4004,14200
2008-08-12,2.4957,2.4957,2.4004,2.4957,18300
2008-08-13,2.5338,2.5338,2.3433,2.4195,19000
2008-08-14,2.2861,2.4767,2.2861,2.4766,14700
2008-08-15,2.5338,2.5338,2.5338,2.5338,29700
2008-08-18,2.7053,2.7053,2.4766,2.5147,16900
2008-08-19,2.4004,2.4385,2.3813,2.3814,29400
2008-08-20,2.248,2.3242,2.248,2.2861,11300
2008-08-21,2.2861,2.4385,2.2861,2.4385,36700
2008-08-22,2.5338,2.5338,2.3813,2.4195,10700
2008-08-25,2.4195,2.6291,2.4195,2.6289999999999996,61700
2008-08-26,2.8005,2.8005,2.8005,2.8005,35300
2008-08-27,2.991,2.991,2.8386,2.8576,131700
2008-08-28,3.0291,3.0291,2.7623,2.7624,56300
2008-08-29,2.7624,3.0101,2.6481,3.01,104500
2008-09-03,3.01,3.01,3.01,3.01,7400
2008-09-04,3.2196,3.2196,3.2196,3.2196,43200
2008-09-05,3.4292,3.4292,3.4291,3.4291,70800
2008-09-08,3.6577,3.6578,3.2005,3.6578,280000
2008-09-09,3.8102,3.8102,3.7912,3.8102,103100
2008-09-10,4.0388,4.0388,3.5435,3.5435,25200
2008-09-11,3.4101,3.4101,3.4101,3.4101,13800
2008-09-12,3.1815,3.1815,3.1815,3.1815,2500
2008-09-15,2.9719,3.3911,2.9719,2.9719,97700
2008-09-16,2.8957,2.8957,2.8385,2.8386,48700
2008-09-17,2.6671,2.7243,2.6671,2.6671,59100
2008-09-18,2.4956,2.4957,2.4956,2.4957,25200
2008-09-19,2.3242,2.6672,2.3242,2.6671,44900
2008-09-22,2.7624,2.7624,2.7624,2.7624,6000
2008-09-23,2.9148,2.9148,2.5719,2.7624,55000
2008-09-24,2.7815,2.7815,2.5909,2.61,45200
2008-09-25,2.7434,2.7624,2.5909,2.61,24200
2008-09-26,2.9148,2.9148,2.7434,2.8195,13900
2008-09-29,2.8957,3.0291,2.6671,2.6671,22600
2008-09-30,2.6671,2.6671,2.6671,2.6671,2200
2008-10-01,2.8386,2.8386,2.6099,2.6671,8200
2008-10-02,2.7433,2.8005,2.7052,2.8005,19400
2008-10-03,2.7052,2.7624,2.7052,2.7433,1800
2008-10-06,2.5718,2.6099,2.5528,2.5909,18100
2008-10-07,2.4004,2.4956,2.4004,2.4195,48500
2008-10-08,2.3814,2.4767,2.3814,2.4576,11800
2008-10-09,2.61,2.6291,2.4195,2.4766,38000
2008-10-10,2.3432,2.4766,2.3432,2.3432,37300
2008-10-13,2.2289,2.3813,2.2289,2.3242,7200
2008-10-14,2.4195,2.4195,2.4195,2.4195,100
2008-10-15,2.5529,2.5529,2.3814,2.4766,26600
2008-10-16,2.3813,2.3814,2.3242,2.3814,9600
2008-10-17,2.4576,2.4767,2.3623,2.4004,14600
2008-10-20,2.3242,2.4766,2.3242,2.4576,6500
2008-10-21,2.5529,2.5529,2.4576,2.4766,17500
2008-10-22,2.3242,2.3242,2.3051,2.3051,19300
2008-10-23,2.1717,2.248,2.1527,2.248,33000
2008-10-24,2.2861,2.2861,2.0956,2.1908,10000
2008-10-27,2.0193,2.0955,2.0193,2.0765,29300
2008-10-28,1.905,2.0956,1.905,2.0765,17600
2008-10-29,2.1337,2.1337,2.1337,2.1337,22400
2008-10-30,2.248,2.248,2.229,2.248,5200
2008-10-31,2.2099,2.2289,2.1337,2.2289,4200
2008-11-03,2.0574,2.2098,2.0574,2.0575,9900
2008-11-04,2.1528,2.229,2.1528,2.2289,17900
2008-11-05,2.3623,2.3623,2.3623,2.3623,9000
2008-11-06,2.3623,2.5147,2.2099,2.3623,12100
2008-11-07,2.248,2.4766,2.2289,2.2289,9000
2008-11-10,2.2098,2.2098,2.1908,2.1908,2100
2008-11-11,2.1908,2.2099,2.0955,2.1337,7600
2008-11-12,2.0194,2.0956,2.0194,2.0956,3200
2008-11-13,2.0956,2.1718,2.0956,2.1527,6100
2008-11-14,2.248,2.248,2.1527,2.1718,11400
2008-11-17,2.1337,2.1337,2.1146,2.1146,2700
2008-11-18,2.0955,2.2289,2.0765,2.2289,7800
2008-11-19,2.1336,2.1336,2.0003,2.0194,10100
2008-11-20,1.9241,2.0766,1.9241,2.0575,6700
2008-11-21,2.0384,2.0384,2.0384,2.0384,100
2008-11-24,2.0956,2.0956,1.9241,1.9432,8300
2008-11-25,2.0004,2.0766,1.9813,2.0194,26400
2008-11-26,2.0575,2.0575,2.0003,2.0194,5100
2008-11-27,1.9051,1.9622,1.9051,1.9622,9100
2008-11-28,2.0575,2.0765,2.0575,2.0765,6600
2008-12-01,1.9812,1.9813,1.9622,1.9813,3900
2008-12-02,2.0194,2.0575,1.9432,1.9432,6000
2008-12-03,1.9241,1.9623,1.9241,1.9622,2700
2008-12-04,2.0003,2.0003,1.8669,1.867,12000
2008-12-05,1.9051,1.9813,1.9051,1.9813,2800
2008-12-08,1.8289,1.9051,1.8098,1.9051,13000
2008-12-09,1.9051,1.9051,1.8479,1.8479,4100
2008-12-10,1.8098,1.8479,1.7717,1.7717,10600
2008-12-11,1.7145,1.7146,1.6955,1.7146,7500
2008-12-12,1.8099,1.8099,1.7908,1.8098,5000
2008-12-15,1.9241,1.9241,1.867,1.867,1300
2008-12-16,1.8479,1.8479,1.8479,1.8479,100
2008-12-17,1.7336,1.9622,1.7336,1.9622,6500
2008-12-18,1.886,1.886,1.8669,1.867,1000
2008-12-19,1.8098,1.8098,1.7908,1.7908,2900
2008-12-22,1.9051,1.9051,1.9051,1.9051,5100
2008-12-23,1.867,1.9051,1.867,1.9051,5500
2008-12-24,1.9051,1.9242,1.9051,1.9241,500
2008-12-25,1.905,1.9622,1.905,1.9622,6100
2008-12-26,1.9813,1.9813,1.9813,1.9813,500
2008-12-29,2.0194,2.0194,2.0003,2.0003,200
2008-12-30,1.905,2.0194,1.905,2.0194,4400
2008-12-31,2.0575,2.0956,2.0575,2.0575,6300
2009-01-02,2.0956,2.0956,2.0956,2.0956,300
2009-01-05,2.0003,2.0956,1.9813,2.0956,3100
2009-01-06,2.0956,2.0956,2.0956,2.0956,100
2009-01-07,2.1909,2.1909,2.1908,2.1908,1000
2009-01-08,2.0955,2.0955,2.0384,2.0384,2800
2009-01-09,2.1908,2.1908,2.1908,2.1908,100
2009-01-12,2.0955,2.1717,2.0955,2.0956,900
2009-01-13,2.1528,2.1528,2.1527,2.1527,0
2009-01-14,2.0384,2.0384,2.0384,2.0384,100
2009-01-15,2.0384,2.0384,2.0384,2.0384,0
2009-01-16,1.9241,1.9622,1.9241,1.9622,1100
2009-01-19,1.9241,1.9241,1.9241,1.9241,100
2009-01-20,1.8288,2.0003,1.8288,1.9051,6100
2009-01-21,2.0194,2.0194,2.0194,2.0194,100
2009-01-22,2.0956,2.1528,2.0003,2.1527,6900
2009-01-23,2.0003,2.0955,2.0003,2.0575,2600
2009-02-02,2.0194,2.0575,2.0194,2.0384,4200
2009-02-03,2.0193,2.0194,2.0193,2.0194,5200
2009-02-04,1.9241,1.9241,1.9241,1.9241,100
2009-02-05,1.9432,1.9813,1.7907,1.9241,22100
2009-02-06,1.7907,2.0194,1.7907,2.0194,300
2009-02-09,1.9622,2.0385,1.9622,2.0384,4900
2009-02-10,1.9622,2.0003,1.9622,2.0003,6900
2009-02-11,2.0003,2.0575,2.0003,2.0003,5200
2009-02-12,2.0003,2.0384,2.0003,2.0003,4100
2009-02-13,2.0384,2.0384,2.0384,2.0384,1000
2009-02-16,2.0384,2.0956,2.0193,2.0956,3200
2009-02-17,2.1909,2.1909,2.1908,2.1908,3000
2009-02-18,2.3432,2.3432,2.267,2.3432,21600
2009-02-19,2.4004,2.4194,2.3051,2.3242,18600
2009-02-20,2.267,2.2861,2.2289,2.2861,12100
2009-02-23,2.248,2.248,2.248,2.248,5800
2009-02-24,2.248,2.2671,2.2289,2.248,4700
2009-02-25,2.0937,2.3141,2.0937,2.2481,17200
2009-02-26,2.2481,2.2481,2.0938,2.226,5400
2009-02-27,2.3582,2.3582,2.2701,2.2921,1800
2009-03-02,2.4243,2.4243,2.1599,2.3362,1500
