Date,Open,High,Low,Close,Volume
2006-12-14,3.7772,3.7772,3.7772,3.7772,10000
2006-12-15,4.1461,4.1461,4.1461,4.1461,100
2006-12-18,4.5502,4.5502,4.3921,4.4623,1100
2006-12-19,4.8839,4.8839,4.8312,4.8313,500
2006-12-20,5.3056,5.3232,5.287999999999999,5.287999999999999,1100
2006-12-21,5.8326,5.8327,5.8326,5.8327,400
2006-12-22,5.6219,5.6219,5.6218,5.6218,700
2006-12-25,5.6218,5.6218,5.6218,5.6218,0
2006-12-26,5.6218,5.6218,5.6218,5.6218,0
2006-12-28,5.6218,5.7096,5.6218,5.6745,2000
2006-12-29,5.6745,5.6745,5.6745,5.6745,0
2007-01-02,5.6745,5.6745,5.6745,5.6745,0
2007-01-03,5.6745,5.6745,5.6745,5.6745,0
2007-01-04,5.6745,5.6745,5.6745,5.6745,0
2007-01-05,5.6745,5.6745,5.6745,5.6745,0
2007-01-08,5.6745,5.6745,5.6745,5.6745,0
2007-01-09,5.6745,5.6745,5.6745,5.6745,0
2007-01-10,5.6745,5.6745,5.6745,5.6745,0
2007-01-11,5.1123,5.1124,5.1123,5.1124,100
2007-01-12,5.1124,5.1124,5.1124,5.1124,0
2007-01-15,5.1124,5.1124,5.1124,5.1124,0
2007-01-16,5.1124,5.1124,5.1124,5.1124,0
2007-01-17,5.1124,5.1124,5.1124,5.1124,0
2007-01-18,4.6029,4.6029,4.6029,4.6029,100
2007-01-19,4.6029,4.6029,4.6029,4.6029,0
2007-01-22,4.6029,4.6029,4.6029,4.6029,500
2007-01-23,4.6029,4.6029,4.6029,4.6029,0
2007-01-24,4.6029,4.6029,4.6029,4.6029,0
2007-01-25,4.2164,4.2164,4.2164,4.2164,300
2007-01-26,3.865,4.1461,3.865,4.1461,1900
2007-01-29,4.1285,4.1285,3.9528,3.9529,2200
2007-01-30,4.3394,4.3394,4.3394,4.3394,500
2007-01-31,4.761,4.761,4.761,4.761,900
2007-02-01,4.761,4.761,4.761,4.761,0
2007-02-02,5.2353,5.2353,5.0948,5.0948,2000
2007-02-05,5.6921,5.6921,5.6921,5.6921,500
2007-02-06,5.7975,5.8854,5.7975,5.8854,800
2007-02-07,6.1489,6.1489,6.1489,6.1489,500
2007-02-08,6.6759,6.7638,5.6219,6.7638,4100
2007-02-09,7.0273,7.0273,6.6759,6.6759,2300
2007-02-12,6.3245,6.3246,6.3245,6.3246,200
2007-02-13,6.5003,6.5003,6.5002,6.5002,300
2007-02-14,6.5002,6.5002,6.5002,6.5002,0
2007-02-15,6.7813,6.7813,6.7813,6.7813,500
2007-02-26,6.7813,7.3787,6.7637,7.3787,4900
2007-02-27,7.6949,7.6949,7.6422,7.6949,5000
2007-02-28,8.4503,8.4503,8.4503,8.4503,2100
2007-03-01,9.2936,9.2936,9.2936,9.2936,2000
2007-03-02,9.2936,9.2936,9.2936,9.2936,0
2007-03-05,10.2071,10.2071,10.2071,10.2071,200
2007-03-06,11.2261,11.2261,11.2261,11.2261,500
2007-03-07,12.3329,12.3329,12.3329,12.3329,2100
2007-03-08,13.5627,13.5627,13.5627,13.5627,700
2007-03-09,14.7573,14.9155,14.7573,14.7573,2900
2007-03-12,16.355999999999998,16.355999999999998,15.8114,16.1628,6400
2007-03-13,16.1628,16.6898,15.3898,15.8114,7700
2007-03-14,15.8114,16.1628,14.4059,14.4059,9300
2007-03-15,14.2829,14.283,14.2829,14.283,1000
2007-03-16,12.86,12.86,12.8599,12.8599,4500
2007-03-19,14.1424,14.1424,14.1424,14.1424,1300
2007-03-20,14.0546,15.5479,14.0546,15.5479,1300
2007-03-21,15.1087,15.1087,14.7573,14.7573,1200
2007-03-22,14.0546,14.0546,14.0546,14.0546,500
2007-03-23,12.6491,12.6491,12.6491,12.6491,100
2007-03-26,13.1937,13.1937,11.3842,11.9464,2400
2007-03-27,11.3176,11.3181,11.3176,11.3181,200
2007-03-28,10.1863,11.3181,10.1863,11.3181,1400
2007-03-29,11.3181,11.3181,11.1384,11.3181,1400
2007-03-30,12.395999999999999,12.395999999999999,12.395999999999999,12.395999999999999,3000
2007-04-02,13.4739,13.4739,12.5757,12.5757,1400
2007-04-03,13.474,14.6417,12.0367,12.0367,2000
2007-04-04,13.2943,13.474,13.2943,13.474,2000
2007-04-05,13.474,13.474,13.474,13.474,500
2007-04-06,13.474,13.474,13.474,13.474,0
2007-04-09,13.474,13.474,13.474,13.474,0
2007-04-10,13.474,13.474,13.474,13.474,0
2007-04-11,13.3842,13.474,13.3842,13.474,500
2007-04-12,13.474,13.474,13.474,13.474,1000
2007-04-13,13.2943,13.2943,13.1146,13.1146,1600
2007-04-16,13.2044,13.2045,13.2044,13.2045,0
2007-04-17,11.892999999999999,11.892999999999999,11.892999999999999,11.892999999999999,300
2007-04-18,10.7792,11.1385,10.7073,11.1385,2600
2007-04-19,11.2283,11.2283,11.2283,11.2283,2000
2007-04-20,12.1984,12.3421,11.1385,11.1385,1700
2007-04-23,12.0368,12.0368,11.1385,11.1385,1200
2007-04-24,12.0368,12.0368,11.6774,11.6774,200
2007-04-25,11.6774,11.6774,11.6774,11.6774,200
2007-05-02,11.6774,11.6774,11.3181,11.3181,500
2007-05-03,11.4978,11.4978,11.1384,11.1385,400
2007-05-04,10.5995,10.5995,10.4199,10.5995,1700
2007-05-07,11.5876,11.5876,11.5876,11.5876,500
2007-05-08,12.4859,12.5757,12.4859,12.4859,2500
2007-05-09,12.5757,13.474,12.5757,12.7553,1200
2007-05-10,12.7553,13.4739,12.7553,13.0787,5900
2007-05-11,13.4739,13.474,13.2763,13.474,1900
2007-05-14,13.2943,13.2943,13.2943,13.2943,100
2007-05-15,13.0248,13.0787,13.0248,13.0787,700
2007-05-16,12.935,13.0248,12.935,13.0248,400
2007-05-17,12.7553,12.935,12.5757,12.6655,2200
2007-05-18,12.395999999999999,12.395999999999999,12.395999999999999,12.395999999999999,300
2007-05-21,12.2163,12.935,12.2163,12.935,2600
2007-05-22,13.7614,13.7614,13.6536,13.7434,4100
2007-05-23,14.5518,15.1088,14.5518,14.7315,6100
2007-05-24,15.0908,15.0908,14.0129,14.5159,1100
2007-05-25,14.1027,14.7315,14.0129,14.7315,5300
2007-05-28,15.2705,15.2884,14.7315,14.7315,3800
2007-05-29,15.504000000000001,15.504000000000001,14.3003,14.5519,4800
2007-05-30,14.3722,14.3722,14.3722,14.3722,700
