Date,Open,High,Low,Close,Volume
2011-02-10,2.6807,2.6807,2.6807,2.6807,0
2011-02-11,2.6807,2.6807,2.6807,2.6807,0
2011-02-14,2.6807,2.6807,2.6807,2.6807,0
2011-02-15,2.6807,2.6807,2.6807,2.6807,0
2011-02-16,2.6807,2.6807,2.6807,2.6807,0
2011-02-17,2.6807,2.6807,2.6807,2.6807,0
2011-02-18,2.6807,2.6807,2.6807,2.6807,0
2011-02-21,2.6807,2.6807,2.6807,2.6807,0
2011-02-22,2.6807,2.6807,2.6807,2.6807,0
2011-02-23,2.6807,2.6807,2.6807,2.6807,0
2011-02-24,2.6807,2.6807,2.6807,2.6807,0
2011-02-25,2.6807,2.6807,2.6807,2.6807,0
2011-02-28,2.6807,2.6807,2.6807,2.6807,0
2011-03-01,2.6807,2.6807,2.6807,2.6807,0
2011-03-02,2.6807,2.6807,2.6807,2.6807,0
2011-03-03,2.6807,2.6807,2.6807,2.6807,0
2011-03-04,2.6807,2.6807,2.6807,2.6807,0
2011-03-07,2.6807,2.6807,2.6807,2.6807,0
2011-03-08,2.6807,2.6807,2.6807,2.6807,0
2011-03-09,2.6807,2.6807,2.6807,2.6807,0
2011-03-10,2.6807,2.6807,2.6807,2.6807,0
2011-03-11,2.6807,2.6807,2.6807,2.6807,0
2011-03-14,2.6807,2.6807,2.6807,2.6807,0
2011-03-15,2.6807,2.6807,2.6807,2.6807,0
2011-03-16,2.6807,2.6807,2.6807,2.6807,0
2011-03-17,2.6807,2.6807,2.6807,2.6807,0
2011-03-18,2.6807,2.6807,2.6807,2.6807,0
2011-03-21,2.6807,2.6807,2.6807,2.6807,0
2011-03-22,2.6807,2.6807,2.6807,2.6807,0
2011-03-23,2.6807,2.6807,2.6807,2.6807,0
2011-03-24,2.6807,2.6807,2.6807,2.6807,0
2011-03-25,2.6807,2.6807,2.6807,2.6807,0
2011-03-28,2.6807,2.6807,2.6807,2.6807,0
2011-03-29,2.6807,2.6807,2.6807,2.6807,0
2011-03-30,2.6807,2.6807,2.6807,2.6807,0
2011-03-31,2.6807,2.6807,2.6807,2.6807,0
2011-04-01,2.6807,2.6807,2.6807,2.6807,0
2011-04-04,2.6807,2.6807,2.6807,2.6807,0
2011-04-05,2.6807,2.6807,2.6807,2.6807,0
2011-04-06,2.6807,2.6807,2.6807,2.6807,0
2011-04-07,2.6807,2.6807,2.6807,2.6807,0
2011-04-08,2.6807,2.6807,2.6807,2.6807,0
2011-04-13,2.6807,2.6807,2.6807,2.6807,0
2011-04-14,2.6807,2.6807,2.6807,2.6807,0
2011-04-15,2.6807,2.6807,2.6807,2.6807,0
2011-04-18,2.6807,2.6807,2.6807,2.6807,0
2011-04-19,2.6807,2.6807,2.6807,2.6807,0
2011-04-20,2.6807,2.6807,2.6807,2.6807,0
2011-04-21,2.6807,2.6807,2.6807,2.6807,0
2011-04-22,2.6807,2.6807,2.6807,2.6807,0
2011-04-25,2.6807,2.6807,2.6807,2.6807,0
2011-04-26,2.6807,2.6807,2.6807,2.6807,0
2011-04-27,2.6807,2.6807,2.6807,2.6807,0
2011-04-28,2.6807,2.6807,2.6807,2.6807,0
2011-04-29,2.6807,2.6807,2.6807,2.6807,0
2011-05-04,2.6807,2.6807,2.6807,2.6807,0
2011-05-05,2.6807,2.6807,2.6807,2.6807,0
2011-05-06,2.6807,2.6807,2.6807,2.6807,0
2011-05-09,2.6807,2.6807,2.6807,2.6807,0
2011-05-10,2.6807,2.6807,2.6807,2.6807,0
2011-05-11,2.6807,2.6807,2.6807,2.6807,0
2011-05-12,2.6807,2.6807,2.6807,2.6807,0
2011-05-13,2.6807,2.6807,2.6807,2.6807,0
2011-05-16,2.6807,2.6807,2.6807,2.6807,0
2011-05-17,2.6807,2.6807,2.6807,2.6807,0
2011-05-18,2.6807,2.6807,2.6807,2.6807,0
2011-05-19,2.6807,2.6807,2.6807,2.6807,0
2011-05-20,2.6807,2.6807,2.6807,2.6807,0
2011-05-23,2.6807,2.6807,2.6807,2.6807,0
2011-05-24,2.1446,2.1446,2.1446,2.1446,2900
2011-05-25,2.1446,2.1446,2.1446,2.1446,0
2011-05-26,2.1446,2.1446,2.1446,2.1446,0
2011-05-27,2.1446,2.1446,2.1446,2.1446,0
2011-05-30,2.1446,2.1446,2.1446,2.1446,0
2011-05-31,2.1446,2.1446,2.1446,2.1446,0
2011-06-01,2.1446,2.1446,2.1446,2.1446,0
2011-06-02,2.1446,2.1446,2.1446,2.1446,0
2011-06-03,2.1446,2.1446,2.1446,2.1446,0
2011-06-06,2.1446,2.1446,2.1446,2.1446,0
2011-06-07,2.1446,2.1446,2.1446,2.1446,0
2011-06-08,2.1446,2.1446,2.1446,2.1446,0
2011-06-09,2.1446,2.1446,2.1446,2.1446,0
2011-06-10,2.1446,2.1446,2.1446,2.1446,0
2011-06-13,2.1446,2.1446,2.1446,2.1446,0
2011-06-14,2.1446,2.1446,2.1446,2.1446,0
2011-06-15,2.1446,2.1446,2.1446,2.1446,0
2011-06-16,2.1446,2.1446,2.1446,2.1446,0
2011-06-17,2.1446,2.1446,2.1446,2.1446,0
2011-06-20,2.1446,2.1446,2.1446,2.1446,0
2011-06-21,2.1446,2.1446,2.1446,2.1446,0
2011-06-22,2.1446,2.1446,2.1446,2.1446,0
2011-06-23,2.1446,2.1446,2.1446,2.1446,0
