Date,Open,High,Low,Close,Volume
2015-07-16,9.6736,9.6736,9.6736,9.6736,0
2015-07-17,9.6736,9.6736,9.6736,9.6736,0
2015-07-20,9.6736,9.6736,9.6736,9.6736,0
2015-07-21,9.6736,9.6736,9.6736,9.6736,0
2015-07-22,9.6736,9.6736,9.6736,9.6736,0
2015-07-23,9.6736,9.6736,9.6736,9.6736,0
2015-07-24,9.6736,9.6736,9.6736,9.6736,0
2015-07-27,9.6736,9.6736,9.6736,9.6736,0
2015-07-28,9.6736,9.6736,9.6736,9.6736,0
2015-07-29,9.6736,9.6736,9.6736,9.6736,0
2015-07-30,9.6736,9.6736,9.6736,9.6736,0
2015-07-31,9.6736,9.6736,9.6736,9.6736,0
2015-08-03,9.6736,9.6736,9.6736,9.6736,0
2015-08-04,9.6736,9.6736,9.6736,9.6736,0
2015-08-05,9.6736,9.6736,9.6736,9.6736,0
2015-08-06,9.6736,9.6736,9.6736,9.6736,0
2015-08-07,9.6736,9.6736,9.6736,9.6736,0
2015-08-10,9.6736,9.6736,9.6736,9.6736,0
2015-08-11,9.6736,9.6736,9.6736,9.6736,0
2015-08-12,9.6736,9.6736,9.6736,9.6736,0
2015-08-13,9.6736,9.6736,9.6736,9.6736,0
2015-08-14,9.6736,9.6736,9.6736,9.6736,0
2015-08-17,9.6736,9.6736,9.6736,9.6736,0
2015-08-18,9.6736,9.6736,9.6736,9.6736,0
2015-08-19,9.6736,9.6736,9.6736,9.6736,0
2015-08-20,9.6736,9.6736,9.6736,9.6736,0
2015-08-21,9.6736,9.6736,9.6736,9.6736,0
2015-08-24,9.6736,9.6736,9.6736,9.6736,0
2015-08-25,9.6736,9.6736,9.6736,9.6736,0
2015-08-26,9.6736,9.6736,9.6736,9.6736,0
2015-08-27,9.6736,9.6736,9.6736,9.6736,0
2015-08-28,9.6736,9.6736,9.6736,9.6736,0
2015-08-31,9.6736,9.6736,9.6736,9.6736,0
2015-09-01,9.6736,9.6736,9.6736,9.6736,0
2015-09-03,9.6736,9.6736,9.6736,9.6736,0
2015-09-04,9.6736,9.6736,9.6736,9.6736,0
2015-09-07,9.6736,9.6736,9.6736,9.6736,0
2015-09-08,9.6736,9.6736,9.6736,9.6736,0
2015-09-09,9.6736,9.6736,9.6736,9.6736,0
2015-09-10,9.6736,9.6736,9.6736,9.6736,0
2015-09-11,9.6736,9.6736,9.6736,9.6736,0
2015-09-14,9.6736,9.6736,9.6736,9.6736,0
2015-09-15,9.6736,9.6736,9.6736,9.6736,0
2015-09-16,9.6736,9.6736,9.6736,9.6736,0
2015-09-17,9.6736,9.6736,9.6736,9.6736,0
2015-09-18,9.6736,9.6736,9.6736,9.6736,0
2015-09-21,9.6736,9.6736,9.6736,9.6736,0
2015-09-22,9.6736,9.6736,9.6736,9.6736,0
2015-09-23,9.6736,9.6736,9.6736,9.6736,0
2015-09-24,9.6736,9.6736,9.6736,9.6736,0
2015-09-25,9.6736,9.6736,9.6736,9.6736,0
2015-09-28,9.6736,9.6736,9.6736,9.6736,0
2015-09-29,9.6736,9.6736,9.6736,9.6736,0
2015-09-30,9.6736,9.6736,9.6736,9.6736,0
2015-10-01,9.6736,9.6736,9.6736,9.6736,0
2015-10-02,9.6736,9.6736,9.6736,9.6736,0
2015-10-05,9.6736,9.6736,9.6736,9.6736,0
2015-10-06,9.6736,9.6736,9.6736,9.6736,0
2015-10-07,9.6736,9.6736,9.6736,9.6736,0
2015-10-08,9.6736,9.6736,9.6736,9.6736,0
