Date,Open,High,Low,Close,Volume
2006-12-21,11.1738,11.1738,11.1738,11.1738,2000
2006-12-22,10.6659,10.6659,10.6659,10.6659,9350
2006-12-25,10.1377,10.1377,10.1377,10.1377,9900
2006-12-26,9.6501,9.6501,9.6501,9.6501,47410
2006-12-27,10.1174,10.1174,9.9548,10.1174,1500
2006-12-28,10.5644,10.5644,10.5643,10.5643,24650
2006-12-29,10.5643,10.5643,10.5643,10.5643,26560
2007-01-02,10.158,10.5643,10.158,10.158,11100
2007-01-03,9.7517,9.7517,9.6704,9.7517,25400
2007-01-04,10.158,10.158,10.0768,10.158,9540
2007-01-05,10.158,10.158,10.158,10.158,26820
2007-01-08,10.158,10.158,9.9548,10.0564,30350
2007-01-09,10.0564,10.0564,9.8736,9.9345,5670
2007-01-10,9.7517,9.9345,9.5485,9.9345,12600
2007-01-11,9.9548,9.9548,9.7313,9.7314,5520
2007-01-12,9.7314,9.7314,9.5485,9.5485,18800
2007-01-15,9.5485,9.5485,9.5485,9.5485,27800
2007-01-16,9.5485,9.5485,9.3657,9.3657,6590
2007-01-17,9.3657,9.447000000000001,9.3657,9.4469,9750
2007-01-18,9.0406,9.7517,9.0406,9.7517,3010
2007-01-19,9.7517,10.158,9.7517,9.7517,15660
2007-01-22,9.7517,9.7517,9.6501,9.6501,9130
2007-01-23,9.6501,9.6501,9.5485,9.5485,12950
2007-01-24,9.7517,9.7517,9.5485,9.6501,8140
2007-01-25,9.6501,9.6501,9.6501,9.6501,14390
2007-01-26,10.1174,10.1174,9.9548,9.9548,17250
2007-01-29,9.9548,9.9548,9.9548,9.9548,12960
2007-01-30,9.9548,9.9548,9.9548,9.9548,9530
2007-01-31,9.8532,9.9345,9.8532,9.9345,17720
2007-02-01,9.8532,9.8533,9.8532,9.8533,10350
2007-02-02,9.957,9.9672,9.957,9.9672,1300
2007-02-05,9.7596,9.7596,9.5727,9.7595,23280
2007-02-06,9.6557,9.6557,9.5519,9.6557,27100
2007-02-07,10.071,10.071,9.7595,10.071,37950
2007-02-08,10.071,10.3825,10.071,10.071,61120
2007-02-09,9.9672,10.1748,9.9672,9.9672,31900
2007-02-12,9.8634,9.9672,9.8634,9.9672,19530
2007-02-13,10.071,10.071,10.071,10.071,41270
2007-02-14,10.4863,10.4863,10.1748,10.4863,70240
2007-02-15,11.0054,11.0054,10.7978,11.0054,27230
2007-02-26,11.5245,11.5246,11.5245,11.5246,35900
2007-02-27,12.0437,12.0437,12.0437,12.0437,16960
2007-02-28,12.5628,12.5628,12.5628,12.5628,19400
2007-03-01,13.1857,13.1858,13.1857,13.1858,58180
2007-03-02,13.8088,13.8088,13.8087,13.8087,27600
2007-03-05,14.4316,14.4317,14.4316,14.4317,16200
2007-03-06,15.0547,15.0547,15.0546,15.0546,13750
2007-03-07,15.7814,15.7814,15.7814,15.7814,20250
2007-03-08,15.7814,15.7814,15.1585,15.3661,163130
2007-03-09,15.9891,16.0929,15.9891,16.0929,62580
2007-03-12,16.8197,16.8197,16.8196,16.8196,92860
2007-03-13,16.8196,17.0272,16.8196,16.8196,79490
2007-03-14,15.989,16.8196,15.989,15.989,17650
2007-03-15,15.2622,15.2623,15.2622,15.2623,10050
2007-03-16,14.5355,15.2623,14.5355,15.2623,98740
2007-03-19,15.9891,15.9891,15.989,15.989,17800
2007-03-20,16.7158,16.7158,16.7158,16.7158,55950
2007-03-21,17.5464,17.5464,17.3387,17.3387,177100
2007-03-22,16.5081,16.5081,16.5081,16.5081,45280
2007-03-23,15.8852,16.4043,15.8852,16.4043,42990
2007-03-26,15.6775,15.6776,15.6775,15.6776,28410
2007-03-27,14.9508,14.9508,14.9508,14.9508,15100
2007-03-28,14.224,14.224,14.224,14.224,38980
2007-03-29,14.8469,14.847000000000001,14.8469,14.847000000000001,10620
2007-03-30,15.5738,15.5738,15.1584,15.1584,78020
2007-04-02,14.4316,14.4317,14.4316,14.4317,22970
2007-04-03,14.0164,14.0164,14.0164,14.0164,35040
2007-04-04,14.0164,14.6394,14.0164,14.6393,15920
2007-04-05,14.6393,14.6393,14.5355,14.5355,30190
2007-04-06,14.5355,14.5355,14.1202,14.1202,25610
2007-04-09,14.4317,14.4317,13.9125,13.9125,16320
2007-04-10,13.9125,13.9125,13.9125,13.9125,12860
2007-04-11,13.8087,13.8087,13.4972,13.4972,17870
2007-04-12,13.2896,13.2896,12.8743,12.8743,17950
2007-04-13,12.2514,12.2514,12.2513,12.2513,12160
2007-04-16,11.7322,11.7322,11.7322,11.7322,5670
2007-04-17,11.3169,11.3169,11.2131,11.2131,5650
2007-04-18,10.7978,11.7322,10.7978,11.7322,30500
2007-04-19,12.2513,12.2513,11.7322,11.7322,55280
2007-04-20,12.0437,12.0437,11.7322,11.7322,27940
2007-04-23,11.2131,11.2131,11.2131,11.2131,6000
2007-04-24,10.694,11.0054,10.694,11.0054,24740
2007-04-25,11.0054,11.3169,11.0054,11.3169,18340
2007-05-02,11.0054,11.0054,10.9016,10.9016,7470
2007-05-03,10.9016,11.0054,10.9016,11.0054,10360
2007-05-04,10.7978,10.9016,10.7978,10.9016,15530
2007-05-07,10.9016,11.2131,10.9016,11.2131,12140
2007-05-08,11.4208,11.6284,11.4208,11.6284,30490
2007-05-09,11.6284,11.6284,11.2131,11.2131,18970
2007-05-10,11.2131,11.2131,11.0054,11.0054,3650
2007-05-11,11.213,11.3169,11.213,11.3169,10410
2007-05-14,11.6284,11.7322,11.6284,11.7322,11170
2007-05-15,12.0437,12.0437,11.6284,11.6284,38290
2007-05-16,11.6284,11.6284,11.6284,11.6284,14300
2007-05-17,11.5246,11.6284,11.5246,11.6284,7350
2007-05-18,11.7322,11.7322,11.7322,11.7322,26740
2007-05-21,12.0437,12.0437,12.0437,12.0437,40520
2007-05-22,12.459000000000001,12.5628,12.459000000000001,12.5628,20340
2007-05-23,13.1857,13.1858,13.1857,13.1858,7050
2007-05-24,12.9781,13.8088,12.9781,12.9781,75530
2007-05-25,13.600999999999999,13.6011,12.7705,13.6011,44720
2007-05-28,14.2241,14.2241,14.224,14.224,39830
2007-05-29,14.3278,14.5355,14.1202,14.1202,60130
2007-05-30,14.1202,14.1202,13.6011,13.6011,40480
2007-05-31,13.3934,13.4973,13.3934,13.4972,30780
2007-06-01,13.4972,13.7049,13.4972,13.7049,26570
2007-06-04,13.7049,13.7049,13.4972,13.4972,30540
2007-06-05,12.9781,12.9781,12.8743,12.8743,26500
2007-06-06,12.8743,13.2896,12.8743,13.2896,9820
2007-06-07,13.4972,13.4972,13.2896,13.2896,15440
2007-06-08,13.2896,13.2896,13.0819,13.0819,21410
2007-06-11,13.0819,13.0819,12.6666,12.6666,13180
2007-06-12,12.7704,12.8742,12.7704,12.7705,18350
2007-06-13,13.082,13.082,12.8743,12.8743,18580
2007-06-14,13.1858,13.1858,13.1858,13.1858,47020
2007-06-15,13.1858,13.1858,12.8743,12.8743,25530
2007-06-18,13.082,13.082,13.0819,13.0819,23770
2007-06-19,13.0819,13.0819,13.0819,13.0819,46600
2007-06-20,13.0819,13.1858,13.0819,13.1858,36080
2007-06-21,13.082,13.1858,13.0819,13.0819,31910
2007-06-22,12.9781,12.9781,12.8743,12.9781,16780
2007-06-25,12.9781,12.9781,12.8743,12.8743,17760
2007-06-26,12.6667,12.6667,12.6666,12.6666,18410
2007-06-27,12.6666,12.7704,12.6666,12.6666,11760
2007-06-28,12.6666,12.6666,12.2513,12.2513,25450
2007-06-29,12.3551,12.3551,12.2513,12.2513,21050
2007-07-02,12.2513,12.2513,11.7322,11.7322,8520
2007-07-03,11.2131,11.3169,11.2131,11.3169,27620
2007-07-04,11.6284,11.835999999999999,11.6284,11.835999999999999,6460
2007-07-05,12.0436,12.0436,11.6284,11.6284,19420
2007-07-06,11.6284,11.7322,11.6284,11.7322,5160
2007-07-09,11.6284,11.835999999999999,11.6284,11.835999999999999,5780
2007-07-10,11.9398,12.0437,11.9398,12.0437,19540
2007-07-11,12.2514,12.2514,12.1475,12.2513,19980
2007-07-12,12.2513,12.2513,11.835999999999999,12.0437,17010
2007-07-13,12.0437,12.0437,11.9399,12.0437,3050
2007-07-16,11.7322,11.7322,11.7322,11.7322,9040
2007-07-17,11.7322,11.9399,11.7322,11.9399,7080
2007-07-18,11.9399,11.9399,11.8361,11.9399,13300
2007-07-19,12.0437,12.0437,11.9399,11.9399,6130
2007-07-20,12.2514,12.2514,12.1475,12.1475,20240
2007-07-23,12.2513,12.2513,12.0437,12.0437,10730
2007-07-24,12.0437,12.0437,11.835999999999999,11.835999999999999,7910
2007-07-25,11.7322,11.7322,11.5245,11.6284,4610
2007-07-26,11.6284,11.6284,11.5246,11.5246,10050
2007-07-27,11.4208,11.4208,11.4207,11.4207,9410
2007-07-30,11.3169,11.3169,11.2131,11.2131,4950
2007-07-31,11.0054,11.0054,10.9016,10.9016,11310
2007-08-01,10.7978,11.4207,10.7978,11.0054,9080
2007-08-02,11.213,11.213,11.0054,11.0054,18600
