Date,Open,High,Low,Close,Volume
2010-05-17,38.0091,38.0091,33.3032,33.4842,634390
2010-05-18,31.8552,32.5792,31.8552,31.8552,555920
2010-05-19,30.3167,30.3167,30.3167,30.3167,288140
2010-05-20,28.8687,28.8688,28.8687,28.8688,614900
2010-05-21,27.5113,27.5113,27.5113,27.5113,11100
2010-05-24,26.1538,28.0543,26.1538,27.2398,1366080
2010-05-25,27.6018,27.6018,25.9728,25.9729,562350
2010-05-26,26.6969,27.2399,25.9729,27.2398,1031040
2010-05-27,28.5973,28.5973,28.5068,28.5973,744230
2010-05-28,29.9548,29.9548,29.9548,29.9548,63580
2010-05-31,31.4028,31.4028,30.3168,30.7692,2562970
2010-06-01,29.9547,31.2217,29.5022,30.2262,722620
2010-06-02,29.6832,30.3167,29.2307,30.2262,592510
2010-06-03,30.6787,30.6787,29.5927,29.7738,593700
2010-06-04,29.4118,29.8643,28.7783,28.7783,541500
2010-06-07,27.6018,27.9638,27.4208,27.4208,924280
2010-06-08,27.4208,27.7828,26.6968,27.4208,451590
2010-06-09,27.6018,27.6923,26.9683,26.9683,326570
2010-06-10,26.6968,28.2353,26.6063,28.2353,1303930
2010-06-11,28.7783,28.7783,28.0543,28.0543,545310
2010-06-14,28.0543,28.6878,28.0543,28.0543,626550
2010-06-15,28.0543,28.0543,27.6018,27.9638,308670
2010-06-16,28.0543,29.3213,27.8733,29.3213,3068110
2010-06-17,28.9593,30.4073,28.9593,29.6833,1224710
2010-06-18,29.1403,29.8643,28.6878,28.6878,390290
2010-06-21,28.6878,28.9593,28.5068,28.5068,487530
2010-06-22,28.2353,28.4163,27.6018,27.6018,979630
2010-06-23,27.1493,28.0543,27.1493,27.6018,606650
2010-06-24,27.8733,27.8733,26.9683,27.1493,737460
2010-06-25,27.0588,27.1493,26.1538,26.2443,604220
2010-06-28,26.5158,27.1493,26.4253,26.6968,305060
2010-06-29,27.0588,27.0588,26.2443,26.3348,467660
2010-06-30,25.6108,25.9728,25.6108,25.7919,544170
2010-07-01,25.7919,25.9729,25.1584,25.3394,892200
2010-07-02,25.5204,25.7014,25.2489,25.3394,457550
