Date,Open,High,Low,Close,Volume
2010-12-29,11.5319,12.9734,8.721,8.721,32700
2010-12-30,9.9463,9.9463,8.6489,8.6489,19200
2010-12-31,8.3606,8.3606,8.2885,8.2886,2300
2011-01-04,8.7931,8.7931,8.7931,8.7931,100
2011-01-05,8.2165,8.649,8.2165,8.5048,2400
2011-01-06,8.6489,8.6489,7.712000000000001,8.5048,1300
2011-01-07,8.2165,8.2165,7.4958,8.0723,1100
2011-01-10,8.2885,8.2886,8.2885,8.2886,100
2011-01-11,8.5048,8.5048,8.2886,8.2886,300
2011-01-12,8.8652,8.8652,8.8652,8.8652,100
2011-01-13,8.8652,8.8652,8.8652,8.8652,0
2011-01-14,8.4328,8.4328,8.4327,8.4327,500
2011-01-17,7.8561,8.2886,7.8561,7.8561,2300
2011-01-18,7.9282,7.9282,7.4237,7.784,1500
2011-01-19,7.1353,7.1353,7.0633,7.0633,7600
2011-01-20,7.0633,7.2074,6.7029,6.7029,7500
2011-01-21,6.9912,7.2074,6.847,6.8471,2000
2011-01-24,7.2075,7.2075,6.775,7.0633,500
2011-01-25,6.9192,6.9192,6.9191,6.9191,0
2011-01-26,6.4867,6.4867,6.4867,6.4867,900
2011-01-27,6.9191,6.9191,6.5588,6.5588,600
2011-01-28,7.1354,7.1354,7.0633,7.0633,5600
2011-02-08,6.9192,7.4957,6.775,6.775,1200
2011-02-09,7.3516,7.3516,7.3516,7.3516,200
2011-02-10,6.8471,6.8471,6.8471,6.8471,11000
2011-02-11,7.2795,7.2795,6.8471,6.8471,5700
2011-02-14,7.0633,7.0633,7.0633,7.0633,900
2011-02-15,7.0633,7.0633,7.0633,7.0633,0
2011-02-16,6.6309,6.8471,6.6309,6.8471,8000
2011-02-17,6.702999999999999,7.0633,6.3426,6.3426,800
2011-02-18,6.7751,6.7751,6.1263,6.1263,400
2011-02-21,5.9101,5.9101,5.9101,5.9101,1400
2011-02-22,5.5497,5.5497,5.5497,5.5497,5100
2011-02-23,5.1893,5.766,5.1893,5.766,8100
2011-02-24,4.829,5.1173,4.829,5.1173,2500
2011-02-25,5.0452,5.0452,4.6849,5.0452,4800
2011-02-28,5.2614,5.2614,5.2614,5.2614,3500
2011-03-01,5.4776,5.4777,5.4776,5.4777,1100
2011-03-02,5.4777,5.4777,5.4777,5.4777,0
2011-03-03,5.6219,5.766,5.6218,5.6218,300
2011-03-04,5.7659,5.766,5.7659,5.766,900
2011-03-07,5.9822,5.9822,5.766,5.9822,300
2011-03-08,6.0543,6.0543,6.0543,6.0543,100
2011-03-09,6.0543,6.0543,6.0543,6.0543,0
2011-03-10,5.6939,5.9101,5.6939,5.6939,2100
2011-03-11,5.4056,5.6939,5.4056,5.4056,3200
2011-03-14,5.6939,5.6939,5.1173,5.1173,800
2011-03-15,4.829,4.829,4.829,4.829,1400
2011-03-16,5.1173,5.1173,4.829,4.829,5400
2011-03-17,5.0452,5.0452,5.0452,5.0452,2700
2011-03-18,4.9011,4.9011,4.9011,4.9011,2200
2011-03-21,5.1173,5.1894,5.1173,5.1894,10000
2011-03-22,5.1173,5.1173,4.9011,4.9011,3700
2011-03-23,5.1173,5.1173,4.7569,4.7569,1200
2011-03-24,5.1893,5.2614,5.1893,5.2614,21300
2011-03-25,5.2614,5.6218,5.2614,5.5497,1200
2011-03-28,5.3335,5.837999999999999,5.2614,5.837999999999999,14100
2011-03-29,5.7659,5.837999999999999,5.5497,5.5497,3700
2011-03-30,5.6938,5.837999999999999,5.6938,5.766,1000
2011-03-31,6.0543,6.0543,5.4777,5.4777,900
2011-04-01,5.4777,5.4777,5.4777,5.4777,8000
2011-04-04,5.6939,5.6939,5.4056,5.4777,3100
2011-04-05,5.2615,5.2615,5.2614,5.2614,2600
2011-04-06,4.9731,5.5497,4.9731,5.5497,1500
2011-04-07,5.3335,5.4776,4.9731,4.9731,3000
2011-04-08,5.4776,5.4776,4.9731,4.9731,800
2011-04-13,5.2614,5.2614,5.0452,5.0452,2200
2011-04-14,5.2614,5.2614,4.9011,4.9011,6300
2011-04-15,5.0453,5.0453,4.7569,4.7569,2500
2011-04-18,4.9731,4.9731,4.6848,4.6848,6100
2011-04-19,4.8289,5.0452,4.8289,5.0452,2200
2011-04-20,4.9011,5.1173,4.9011,5.1173,800
2011-04-21,5.1894,5.1894,5.1894,5.1894,500
2011-04-22,5.1894,5.1894,5.1894,5.1894,0
2011-04-25,4.829,5.1894,4.829,5.1173,2300
2011-04-26,4.9732,4.9732,4.9731,4.9731,0
2011-04-27,4.829,4.829,4.6848,4.6848,2200
2011-04-28,4.901,4.9011,4.901,4.9011,1000
2011-04-29,5.1173,5.1173,5.1173,5.1173,1000
2011-05-04,5.4056,5.4056,5.4056,5.4056,200
2011-05-05,5.0452,5.0452,5.0452,5.0452,500
2011-05-06,5.1893,5.1894,5.1893,5.1894,1000
2011-05-09,5.1173,5.1173,5.1173,5.1173,100
2011-05-10,5.2614,5.2614,5.2614,5.2614,1000
2011-05-11,5.0452,5.2614,4.901,5.1894,2600
2011-05-12,4.9011,5.1173,4.7569,5.1173,11000
2011-05-13,5.1894,5.1894,5.1894,5.1894,100
2011-05-16,5.1894,5.1894,5.1894,5.1894,0
2011-05-17,4.829,4.829,4.829,4.829,5000
2011-05-18,4.829,4.829,4.829,4.829,0
2011-05-19,5.0452,5.0452,5.0452,5.0452,100
2011-05-20,5.0452,5.0452,5.0452,5.0452,0
2011-05-23,5.0452,5.0452,5.0452,5.0452,0
2011-05-24,4.744,4.7441,4.744,4.7441,1000
2011-05-25,4.4429,4.4429,4.4429,4.4429,1000
2011-05-26,4.1417,4.5182,4.1417,4.5182,1600
2011-05-27,4.5182,4.5182,4.1417,4.1417,600
2011-05-30,4.3676,4.3676,4.3676,4.3676,500
2011-05-31,4.3676,4.3676,4.3676,4.3676,0
2011-06-01,4.6688,4.6688,4.6688,4.6688,100
2011-06-02,4.8194,4.8194,4.6688,4.8194,1600
2011-06-03,4.4429,4.4429,4.4429,4.4429,2900
2011-06-06,4.6688,4.6688,4.1417,4.6688,1900
2011-06-07,4.2923,4.5182,4.2923,4.5182,1200
2011-06-08,4.217,4.217,4.217,4.217,3600
2011-06-09,3.9911,4.3676,3.9911,4.0664,4100
2011-06-10,3.9911,3.9911,3.9911,3.9911,900
2011-06-13,3.9911,4.217,3.9911,4.217,13400
2011-06-14,4.2923,4.2923,4.0664,4.0664,1700
2011-06-15,4.217,4.3676,3.9911,4.3676,5100
2011-06-16,4.217,4.2923,3.8405,4.2923,2700
2011-06-17,3.7652,4.0664,3.6899,3.6899,13200
2011-06-20,3.9911,3.9911,3.9911,3.9911,500
2011-06-21,4.1417,4.1417,4.1417,4.1417,300
2011-06-22,4.1417,4.1417,4.1417,4.1417,0
2011-06-23,4.1417,4.1417,4.1417,4.1417,0
2011-06-24,4.1417,4.1417,4.1417,4.1417,0
2011-06-27,4.1417,4.1417,4.1417,4.1417,0
2011-06-28,4.2923,4.2923,4.2923,4.2923,100
2011-06-29,4.2923,4.2923,4.2923,4.2923,0
2011-06-30,4.2923,4.2923,4.2923,4.2923,0
2011-07-01,4.2923,4.2923,4.2923,4.2923,1000
2011-07-04,4.2923,4.2923,4.2923,4.2923,0
2011-07-05,4.2923,4.2923,4.2923,4.2923,0
2011-07-06,4.2923,4.2923,4.2923,4.2923,0
2011-07-07,4.3676,4.3676,4.3676,4.3676,1000
2011-07-08,4.3676,4.3676,4.3676,4.3676,0
2011-07-11,4.3676,4.3676,4.3676,4.3676,0
2011-07-12,4.3676,4.3676,4.3676,4.3676,0
2011-07-13,4.0664,4.0664,4.0664,4.0664,100
2011-07-14,3.8405,3.8405,3.8405,3.8405,100
2011-07-15,3.6146,3.6146,3.6146,3.6146,100
2011-07-18,3.7652,3.7652,3.7652,3.7652,200
2011-07-19,3.5393,3.5393,3.5393,3.5393,200
2011-07-20,3.3134,3.3134,3.3133,3.3133,200
2011-07-21,3.4639,3.464,3.4639,3.464,100
2011-07-22,3.2381,3.2381,3.238,3.238,100
2011-07-25,3.238,3.238,3.238,3.238,800
2011-07-26,3.0874,3.0874,3.0874,3.0874,100
2011-07-27,3.1627,3.238,3.1627,3.238,2200
2011-07-28,3.0874,3.0874,3.0874,3.0874,200
2011-07-29,3.0121,3.0121,3.0121,3.0121,100
2011-08-01,3.1627,3.1627,2.9368,3.0121,1800
2011-08-02,3.0121,3.0874,3.0121,3.0874,1500
2011-08-03,3.0874,3.0874,3.0874,3.0874,7000
2011-08-04,2.9368,3.1627,2.9368,3.0874,1600
2011-08-05,3.0874,3.0874,3.0874,3.0874,0
2011-08-08,2.9368,2.9368,2.9368,2.9368,700
2011-08-09,2.9368,2.9368,2.9368,2.9368,0
2011-08-10,2.9368,2.9368,2.9368,2.9368,0
2011-08-11,3.0121,3.0121,3.0121,3.0121,1000
2011-08-12,2.8615,2.8615,2.8615,2.8615,200
2011-08-15,2.9368,2.9368,2.9368,2.9368,100
2011-08-16,3.0874,3.0874,3.0874,3.0874,100
2011-08-17,3.238,3.238,3.238,3.238,7900
2011-08-18,3.4639,3.464,3.4639,3.464,1100
2011-08-19,3.2381,3.6146,3.2381,3.6146,700
2011-08-22,3.7652,3.7652,3.6899,3.7652,1100
2011-08-23,3.9158,3.9158,3.9158,3.9158,100
2011-08-24,3.9911,4.0664,3.9158,3.9158,400
2011-08-25,3.9911,3.9911,3.9911,3.9911,0
2011-08-26,3.7652,3.7652,3.7652,3.7652,1500
2011-08-29,3.9158,3.9158,3.9158,3.9158,1000
2011-08-30,4.0664,4.0664,4.0664,4.0664,500
2011-08-31,3.9158,3.9158,3.9158,3.9158,2000
2011-09-01,3.9911,3.9911,3.9911,3.9911,100
2011-09-05,4.1417,4.1417,3.9158,3.9158,10700
2011-09-06,4.1417,4.1417,3.9158,3.9158,1200
2011-09-07,4.2923,4.2923,4.2923,4.2923,500
2011-09-08,4.3676,4.3676,4.3676,4.3676,500
2011-09-09,4.0664,4.5182,4.0664,4.5182,2200
2011-09-12,4.3676,4.5182,4.3676,4.5182,1000
