Date,Open,High,Low,Close,Volume
2008-01-09,36.3538,36.3538,10.2646,14.9692,57200
2008-01-10,15.6107,15.6107,13.6434,14.7553,72000
2008-01-11,15.6107,15.6321,15.5038,15.6321,68000
2008-01-14,17.1932,17.1932,15.6107,16.6799,94500
2008-01-15,16.6799,16.6799,15.5679,16.1453,74300
2008-01-16,16.0384,17.4712,16.0384,17.4712,111400
2008-01-17,19.0964,19.0964,16.7869,18.0699,92300
2008-01-18,18.0699,19.8235,17.3214,19.8235,140300
2008-01-21,21.0424,21.0424,20.743000000000002,21.0424,66200
2008-01-22,23.0739,23.0739,22.8815,23.0739,54900
2008-01-23,25.362,25.362,21.4059,23.523000000000003,146200
2008-01-24,25.2338,25.2338,21.6839,21.6839,58600
2008-01-25,20.2939,22.4537,20.2939,20.5292,98800
2008-01-28,21.3846,21.3846,18.9254,19.6524,63700
2008-01-29,18.6046,21.576999999999998,18.6046,20.5292,106400
2008-01-30,21.7909,22.2614,21.7909,22.2613,102700
2008-01-31,23.7368,23.7368,20.9568,22.2185,38800
2008-02-01,21.3845,22.4537,20.7857,21.576999999999998,100500
2008-02-12,21.7267,21.8122,19.5669,19.5669,57900
2008-02-13,18.8184,19.738,18.3907,18.8184,40100
2008-02-14,19.2461,19.6738,18.5404,19.0322,32100
2008-02-15,19.0322,19.0322,17.963,18.1982,31100
2008-02-18,17.5567,17.6422,16.6799,16.9152,52100
2008-02-19,17.1077,18.1769,16.68,17.1076,48600
2008-02-20,17.6208,17.6208,15.7604,15.8246,26300
2008-02-21,15.3969,15.7177,14.8195,14.8195,37200
2008-02-22,15.0333,15.8246,13.4295,14.3276,83500
2008-02-25,14.5414,15.183,14.5414,15.183,19200
2008-02-26,16.4661,16.6371,13.8999,14.5415,68100
2008-02-27,15.183,15.6107,14.3277,15.183,19700
2008-02-28,15.8032,16.0384,14.5415,15.3969,48500
2008-02-29,14.9692,14.9692,14.3277,14.9692,26300
2008-03-03,14.6484,14.6484,13.1301,13.1301,34400
2008-03-04,12.1892,12.1892,12.0823,12.0823,14000
2008-03-05,10.8848,11.5049,10.8848,11.3552,59200
2008-03-06,11.9754,12.125,11.9754,12.125,4600
2008-03-07,13.3225,13.3226,13.3225,13.3226,3100
2008-03-10,14.6484,14.6484,13.1515,13.4723,68500
2008-03-11,12.9377,13.1515,12.6169,12.6169,40800
2008-03-12,11.7615,13.9641,11.4621,13.0446,54400
2008-03-13,13.4723,13.4723,12.8308,13.1515,19700
2008-03-14,12.8307,12.8307,12.402999999999999,12.4886,26600
2008-03-17,11.9754,11.9754,11.3552,11.3552,21900
2008-03-18,10.4143,10.4143,10.3073,10.3073,32000
2008-03-19,11.1199,11.3338,9.5375,10.2646,45500
2008-03-20,10.4784,11.12,9.73,9.73,32700
2008-03-21,10.0508,10.0508,9.4092,9.4092,16100
2008-03-24,8.618,8.618,8.5966,8.5966,3800
2008-03-25,7.7412,7.7412,7.7412,7.7412,10200
2008-03-26,6.9714,8.2972,6.9714,7.6984,25800
2008-03-27,7.6984,7.8481,7.6984,7.8481,6800
2008-03-28,7.8695,7.8695,7.8695,7.8695,1300
2008-03-31,8.0192,8.0192,8.0192,8.0192,7600
2008-04-01,8.1689,8.1689,8.1689,8.1689,9500
2008-04-02,8.3186,8.3186,8.3186,8.3186,200
2008-04-03,8.4683,8.4683,8.4683,8.4683,100
2008-04-04,8.618,8.618,8.618,8.618,100
2008-04-07,8.8746,8.8746,8.8746,8.8746,13700
2008-04-08,9.1312,9.1312,8.618,9.0884,46700
2008-04-09,8.7676,8.7676,8.7249,8.7249,3400
2008-04-10,8.7463,8.7463,8.7463,8.7463,0
2008-04-11,8.4897,8.4897,8.4897,8.4897,3000
2008-04-16,8.2545,8.2545,8.2544,8.2544,500
2008-04-17,8.0192,8.4896,8.0192,8.34,69400
2008-04-18,8.3186,8.3186,7.8909,7.8909,27000
2008-04-21,7.6771,8.0834,7.6770000000000005,7.6770000000000005,14600
2008-04-22,7.4632,7.4632,7.4632,7.4632,5600
2008-04-23,7.2494,7.2494,7.2494,7.2494,300
2008-04-24,7.0356,7.0356,7.0355,7.0355,7800
2008-04-25,6.843,6.8431,6.843,6.8431,1900
2008-04-28,6.6506,6.6506,6.6506,6.6506,1000
2008-04-29,6.4581,6.4581,6.4581,6.4581,800
2008-05-05,6.2656,6.2657,6.2656,6.2657,200
2008-05-06,6.0946,6.0946,6.0946,6.0946,10000
2008-05-07,5.9235,5.9235,5.9235,5.9235,100
2008-05-08,5.9235,5.9235,5.9235,5.9235,0
2008-05-09,5.7524,5.7524,5.7524,5.7524,200
2008-05-12,5.7524,5.7524,5.7524,5.7524,0
2008-05-13,5.5813,5.5814,5.5813,5.5814,100
2008-05-14,5.5814,5.5814,5.5814,5.5814,0
2008-05-15,5.4317,5.4317,5.4317,5.4317,100
2008-05-16,5.282,5.282,5.282,5.282,1100
2008-05-19,5.1323,5.1323,5.1323,5.1323,100
2008-05-20,4.9826,4.9826,4.9826,4.9826,100
2008-05-21,4.9826,4.9826,4.9826,4.9826,0
2008-05-22,4.9826,4.9826,4.9826,4.9826,0
2008-05-23,5.1109,5.1109,4.8543,4.8543,200
2008-05-26,4.8543,4.8543,4.8543,4.8543,100
2008-05-27,4.8543,4.8543,4.8543,4.8543,0
2008-05-28,4.726,4.726,4.726,4.726,600
2008-05-29,4.5883,4.5883,4.5883,4.5883,100
2008-05-30,4.4507,4.4507,4.4506,4.4506,100
2008-06-02,4.4506,4.4506,4.4506,4.4506,0
2008-06-03,4.4506,4.4506,4.4506,4.4506,0
2008-06-04,4.4506,4.4506,4.4506,4.4506,0
2008-06-05,4.3359,4.3359,4.3359,4.3359,100
2008-06-06,4.2212,4.2212,4.2212,4.2212,100
2008-06-09,4.2212,4.2212,4.2212,4.2212,0
2008-06-10,4.1065,4.1065,4.1065,4.1065,100
2008-06-11,3.9918,4.1524,3.9918,3.9918,80800
2008-06-12,3.9,4.0147,3.9,4.0147,73400
2008-06-13,4.0147,4.0377,3.9688,4.0377,31400
2008-06-16,4.1524,4.1524,4.1524,4.1524,11800
2008-06-17,4.2671,4.2671,4.2671,4.2671,34700
2008-06-18,4.3818,4.3818,4.1524,4.1524,18300
2008-06-19,4.1753,4.1753,4.1753,4.1753,200
2008-06-20,4.0147,4.0147,4.0147,4.0147,1000
2008-06-23,3.8541,3.8541,3.8541,3.8541,22100
2008-06-24,3.7165,3.877,3.7165,3.7853,62300
2008-06-25,3.6706,3.8312,3.6477,3.8312,19200
2008-06-26,3.9,3.9,3.6477,3.6477,16600
2008-06-27,3.6936,3.6936,3.5559,3.6247,10600
2008-06-30,3.4641,3.6706,3.4641,3.6018,28800
2008-07-01,3.533,3.6706,3.533,3.6706,22700
2008-07-02,3.8082,3.8083,3.6706,3.8083,56200
2008-07-03,3.923,3.923,3.9001,3.923,18500
2008-07-04,4.0606,4.0606,4.0606,4.0606,6600
2008-07-07,4.2212,4.2212,3.9,3.9,41300
2008-07-08,3.9,4.0147,3.9,3.9,48800
2008-07-09,3.9,4.0377,3.8312,4.0377,70300
2008-07-10,4.1524,4.1753,4.0148,4.1753,40100
2008-07-11,4.3359,4.3359,4.3129,4.3359,26000
2008-07-14,4.4965,4.4965,4.4965,4.4965,7600
2008-07-15,4.6571,4.6571,4.6571,4.6571,600
2008-07-16,4.8406,4.8406,4.4736,4.8406,96800
2008-07-17,4.9324,4.9324,4.9324,4.9324,31200
2008-07-18,5.093,5.093,4.7489,4.7489,46500
2008-07-21,4.7718,4.7718,4.7718,4.7718,800
