Date,Open,High,Low,Close,Volume
2009-08-19,6.6789,6.6789,5.1027,5.1828,29800
2009-08-20,5.0759,5.0759,4.9958,4.9958,15400
2009-08-21,4.7286,4.9157,4.6752,4.8889,42600
2009-08-24,4.6752,4.7286,4.6752,4.6752,17700
2009-08-25,4.3546,4.5416,4.3546,4.5416,11000
2009-08-26,4.6217,4.7286,4.5416,4.7286,10400
2009-08-27,4.6752,4.6752,4.5683,4.6752,7200
2009-08-28,4.7821,4.7821,4.6485,4.6752,8700
2009-08-31,4.7286,4.8355,4.7286,4.8355,7500
2009-09-01,4.9424,4.9424,4.8088,4.8088,12500
2009-09-03,4.7554,4.7821,4.6752,4.7821,2100
2009-09-04,4.7554,4.7554,4.7554,4.7554,5700
2009-09-07,4.515,4.5417,4.515,4.5416,1600
2009-09-08,4.595,4.6217,4.5416,4.5951,9100
2009-09-09,4.5417,4.5684,4.5417,4.5683,5200
2009-09-10,4.5149,4.5683,4.5149,4.5683,5900
2009-09-11,4.5416,4.6484,4.5416,4.5416,13500
2009-09-14,4.4882,4.5951,4.4882,4.5951,8300
2009-09-15,4.6218,4.6218,4.6218,4.6218,7000
2009-09-16,4.6485,4.6485,4.6485,4.6485,500
2009-09-17,4.5416,4.5951,4.5416,4.5416,4200
2009-09-18,4.5149,4.5683,4.5149,4.5149,1700
2009-09-21,4.4348,4.4882,4.4348,4.4882,12400
2009-09-22,4.5149,4.7554,4.4348,4.7554,94700
2009-09-23,4.9691,4.9691,4.9424,4.9691,53500
2009-09-24,4.7821,4.8088,4.7821,4.8088,12900
2009-09-25,4.8088,4.9958,4.8088,4.9691,30000
2009-09-28,4.8088,5.0760000000000005,4.8088,4.9691,10800
2009-09-29,4.9424,4.9424,4.8088,4.8088,4400
2009-09-30,4.8088,5.0492,4.8088,4.8088,18000
2009-10-01,4.8088,4.8889,4.8088,4.8088,17300
2009-10-02,4.7554,4.7821,4.6218,4.7821,19000
2009-10-05,4.8088,4.8088,4.8088,4.8088,2000
2009-10-06,5.0492,5.0492,4.8088,4.9958,15100
2009-10-07,5.0759,5.0759,4.9691,4.9958,41600
2009-10-08,5.0759,5.1027,4.7821,4.9958,57100
2009-10-09,5.1294,5.263,5.0759,5.2629,156900
2009-10-12,5.5835,5.5835,5.5835,5.5835,10600
2009-10-13,5.9575,5.9576,5.8774,5.9576,47500
2009-10-14,6.1446,6.2782,5.5569,5.7973,27600
2009-10-15,6.0645,6.0912,5.7439,5.8507,69200
2009-10-16,6.0911,6.1446,5.6370000000000005,5.7438,30300
