Date,Open,High,Low,Close,Volume
2017-07-05,11.5833,11.5833,11.5833,11.5833,250340
2017-07-06,12.375,12.375,12.3333,12.375,267030
2017-07-07,13.2083,13.2083,13.1667,13.1667,260810
2017-07-10,13.1667,13.1667,12.25,12.25,172350
2017-07-11,11.4167,11.5,11.4167,11.4167,135340
2017-07-12,10.625,11.5,10.625,11.5,177080
2017-07-13,10.9167,11.625,10.9167,11.625,149000
2017-07-14,11.625,11.625,11.2083,11.4167,163200
2017-07-17,11.25,11.2917,11.0,11.2917,107930
2017-07-18,10.8334,11.2917,10.6667,11.2917,85190
2017-07-19,11.2917,11.4584,11.0834,11.4583,129460
2017-07-20,11.4166,11.5,11.25,11.2917,96570
2017-07-21,11.2917,11.375,11.0834,11.375,78820
2017-07-24,10.875,11.125,10.875,11.0833,78140
2017-07-25,11.0833,11.4583,11.0,11.4167,135820
2017-07-26,11.3334,11.5417,11.0834,11.5417,101500
2017-07-27,11.5417,11.5417,11.4167,11.4167,131150
2017-07-28,11.4167,11.625,11.4167,11.625,108150
2017-07-31,11.625,12.25,11.5417,11.7917,153380
2017-08-01,11.625,11.7084,11.625,11.6667,105930
2017-08-02,11.625,11.625,11.4583,11.4583,109650
2017-08-03,11.25,11.5,11.25,11.4583,110880
2017-08-04,11.3333,11.4583,11.2916,11.4583,102350
2017-08-07,11.4166,11.5833,11.375,11.5833,107750
2017-08-08,11.5,11.5833,11.4583,11.5833,86990
2017-08-09,11.4166,11.5,11.25,11.5,105940
2017-08-10,11.4167,11.625,11.4167,11.5417,103440
2017-08-11,11.5417,11.6667,11.4584,11.5833,118330
2017-08-14,11.4166,11.625,11.375,11.5417,113600
2017-08-15,11.5417,11.5417,11.375,11.4583,106190
2017-08-16,11.4166,11.5416,11.3333,11.5,110850
2017-08-17,11.4167,11.5,11.4167,11.4583,99920
2017-08-18,11.375,11.5417,11.3333,11.5417,112280
2017-08-21,11.4584,11.5834,11.4584,11.5417,118130
2017-08-22,11.4584,11.5834,11.4167,11.4167,103560
2017-08-23,11.375,11.5834,11.2917,11.5833,105940
2017-08-24,11.5,11.5833,11.4583,11.5833,103320
2017-08-25,11.5833,11.6666,11.5,11.5833,101550
2017-08-28,11.5416,11.6666,11.5,11.5833,114860
2017-08-29,11.4583,11.5833,11.4583,11.5,114720
2017-08-30,11.5,11.5833,11.4167,11.5417,101110
2017-08-31,11.5417,11.625,11.5,11.5417,112520
2017-09-01,11.5834,11.6667,11.4584,11.6667,100060
2017-09-05,11.5,11.5417,11.4584,11.5,116640
2017-09-06,11.5,11.5833,11.4167,11.5417,106020
2017-09-07,11.5417,11.625,11.5,11.5417,91200
2017-09-08,11.4584,11.5834,10.75,11.25,146540
2017-09-11,11.25,11.4167,11.25,11.375,104330
2017-09-12,11.3333,11.5417,11.3333,11.4167,88190
2017-09-13,11.3334,11.4584,11.25,11.4583,89120
2017-09-14,11.375,11.5,11.2916,11.4583,90090
2017-09-15,11.3333,11.5,11.25,11.4167,102210
2017-09-18,11.2917,11.5,11.2917,11.4167,103170
2017-09-19,11.375,11.5,11.3334,11.4583,107900
2017-09-20,11.4166,11.5,11.3333,11.4583,106700
2017-09-21,11.4583,11.5833,11.375,11.5,110450
2017-09-22,11.375,11.5833,11.375,11.5,96430
2017-09-25,11.3333,11.5,11.2917,11.4167,102250
2017-09-26,11.375,11.4584,11.2917,11.4583,110390
2017-09-27,11.2916,11.4583,11.25,11.4167,93560
2017-09-28,11.375,11.5,11.3333,11.3333,99110
2017-09-29,11.3333,11.5,11.3333,11.5,94000
2017-10-02,11.3333,11.4167,11.2917,11.3333,107220
2017-10-03,11.375,11.4166,11.2916,11.3333,100010
2017-10-04,11.25,11.375,11.25,11.3333,96730
2017-10-05,11.3333,11.4167,11.2916,11.4167,102730
2017-10-06,11.4167,11.4167,11.25,11.3333,95680
2017-10-09,11.3333,11.4166,11.3333,11.375,126620
2017-10-10,11.375,11.4583,11.3333,11.4167,123780
2017-10-11,11.4167,11.5,11.375,11.4583,119460
2017-10-12,11.4166,11.5,11.4166,11.5,134540
2017-10-13,11.5,11.5833,11.4167,11.5833,119370
2017-10-16,11.5833,11.6666,11.5,11.5417,132530
2017-10-17,11.5,11.625,11.4584,11.5417,146410
2017-10-18,11.4584,11.5417,11.3334,11.5,127810
2017-10-19,11.5,11.625,11.4167,11.5833,115680
2017-10-20,11.5833,11.6666,11.5,11.5833,98620
2017-10-23,11.5833,11.6666,11.5,11.625,91060
2017-10-24,11.5833,11.75,11.5417,11.75,118650
2017-10-25,11.8333,12.2917,11.8333,12.0833,173330
2017-10-26,12.0833,12.2916,12.0,12.125,130260
2017-10-27,12.0,12.25,11.8333,12.1667,171730
2017-10-30,12.0834,12.2084,11.9584,12.1667,121890
2017-10-31,12.0,12.1667,11.875,12.0,122310
2017-11-01,11.9167,12.1667,11.9167,12.0833,136640
2017-11-02,12.0833,12.25,12.0,12.0,170900
2017-11-03,11.9167,12.1667,11.8333,12.1667,139430
2017-11-06,12.3334,12.625,12.25,12.5,136880
2017-11-07,12.5,12.5417,12.3333,12.3333,128000
2017-11-08,12.25,12.4166,12.1666,12.3333,127920
2017-11-09,12.3333,12.5833,12.3333,12.4167,136520
2017-11-10,12.4167,12.5,12.375,12.4583,121150
2017-11-13,12.375,12.4583,12.25,12.2917,105630
2017-11-14,12.25,12.3334,12.1667,12.2917,121480
2017-11-15,12.25,12.3334,12.1667,12.2917,130600
2017-11-16,12.2917,12.4167,12.2917,12.3333,110710
2017-11-17,12.3333,12.4583,12.3333,12.3333,128960
2017-11-20,12.2916,12.4583,12.25,12.4167,136160
2017-11-21,12.3334,12.4584,12.2917,12.4167,143480
2017-11-22,12.4167,12.75,12.4167,12.75,210530
2017-11-23,12.8333,13.0417,12.8333,13.0417,190290
2017-11-24,13.2917,13.3334,13.0834,13.1667,223590
2017-11-27,13.125,13.375,13.0417,13.2083,207590
2017-11-28,13.1666,13.25,13.0833,13.125,183460
2017-11-29,13.125,13.1667,13.0,13.0417,205660
2017-11-30,13.0,13.4167,12.9584,13.4167,238490
2017-12-01,13.5,13.75,13.4584,13.6667,225900
2017-12-04,13.75,13.9584,13.7084,13.875,212550
2017-12-05,14.0,14.1667,13.8333,14.0,207460
2017-12-06,14.0,14.0,13.75,13.75,214810
2017-12-07,13.625,13.75,13.5,13.5833,207410
2017-12-08,13.4583,13.625,13.4166,13.5,212110
2017-12-11,13.4167,13.5,13.2917,13.4167,168110
2017-12-12,13.3334,13.5,13.1667,13.5,214610
2017-12-13,13.5833,13.5833,13.3333,13.5,175980
2017-12-14,13.4167,13.5,13.2083,13.5,144300
2017-12-15,13.5,13.625,13.375,13.625,166010
2017-12-18,13.5833,13.7917,13.5833,13.75,170160
2017-12-19,13.75,13.875,13.6667,13.7083,159830
2017-12-20,13.6666,13.875,13.625,13.8333,175840
2017-12-21,13.8333,13.9583,13.75,13.875,164800
2017-12-22,13.8333,14.0417,13.8333,14.0,173810
2017-12-25,13.8333,14.0,13.7083,13.9167,147290
2017-12-26,13.9167,14.0,13.8333,13.8333,128360
2017-12-27,13.8333,13.875,13.625,13.6667,120350
2017-12-28,13.625,13.6667,13.5,13.625,107040
2017-12-29,13.6667,13.6667,13.5833,13.625,112510
2018-01-02,13.625,13.75,13.625,13.75,150560
2018-01-03,13.7917,13.9167,13.75,13.8333,143960
2018-01-04,13.7916,13.8333,13.7083,13.75,132250
2018-01-05,13.7083,13.875,13.7083,13.8333,115790
2018-01-08,13.75,13.875,13.6666,13.875,223870
2018-01-09,13.875,14.0833,13.8333,14.0,205740
2018-01-10,14.0417,14.2083,14.0417,14.125,225690
2018-01-11,14.1667,14.2083,13.9583,14.0833,206920
2018-01-12,14.0,14.0833,13.875,13.9583,190580
2018-01-15,13.9166,14.0,13.75,13.9583,170500
2018-01-16,13.8333,14.0,13.75,13.9167,170620
2018-01-17,13.9167,13.9584,13.8333,13.8333,161960
2018-01-18,13.75,13.75,13.5833,13.7083,142530
2018-01-19,13.6666,13.75,13.625,13.7083,156010
2018-01-22,13.7083,14.0,13.7083,13.9583,178400
2018-01-25,14.0,14.125,14.0,14.0417,166930
2018-01-26,14.0834,14.125,13.9167,14.0417,161450
2018-01-29,13.9584,14.125,13.9167,13.9167,174650
2018-01-30,13.7917,13.9167,13.75,13.8333,177240
2018-01-31,13.8333,13.8333,13.4583,13.4583,159070
2018-02-01,13.4583,13.5,13.25,13.25,167220
2018-02-02,13.1667,13.25,13.0417,13.125,169420
2018-02-05,13.0833,13.0833,12.875,12.9167,142390
2018-02-06,12.75,12.7917,12.5834,12.75,132290
2018-02-07,12.75,12.8333,12.7083,12.8333,140890
2018-02-08,12.7916,12.875,12.75,12.75,132910
2018-02-09,12.7083,12.7917,12.5833,12.75,147270
2018-02-12,12.75,12.8333,12.7083,12.8333,134210
2018-02-13,12.8333,12.9583,12.7916,12.9167,146500
2018-02-21,12.9167,13.0,12.875,12.9583,131350
2018-02-22,12.9166,13.0416,12.9166,13.0,133700
2018-02-23,12.9167,13.0417,12.9167,13.0417,132760
2018-02-26,12.9167,13.0417,12.9167,12.9167,126570
2018-02-27,12.9167,13.0,12.875,12.9167,125250
2018-02-28,12.8334,12.9584,12.8334,12.9167,121050
