Ticker,Date,Open,High,Low,Close,Volume
SMA,2010-10-19,7.9738,9.7525,7.9738,9.2005,146020
SMA,2010-10-20,8.7711,8.8938,8.7711,8.7712,11060
SMA,2010-10-21,8.3418,8.3418,8.3418,8.3418,25350
SMA,2010-10-22,7.9738,8.3418,7.9738,8.3418,127930
SMA,2010-10-25,8.3418,8.4031,8.0965,8.4031,45460
SMA,2010-10-26,8.4031,8.5871,8.2191,8.5258,68810
SMA,2010-10-27,8.5258,8.5258,8.1578,8.1578,30300
SMA,2010-10-28,8.1578,8.2805,8.1578,8.2805,2720
SMA,2010-10-29,8.3418,8.5872,8.3418,8.4645,35260
SMA,2010-11-01,8.3418,8.4645,8.0965,8.2805,38460
SMA,2010-11-02,8.2192,8.2192,8.0351,8.0351,7800
SMA,2010-11-03,8.0351,8.0351,7.6671,7.6671,46990
SMA,2010-11-04,7.6671,7.8511,7.6671,7.7898,33740
SMA,2010-11-05,7.9738,8.0965,7.9738,8.0965,10540
SMA,2010-11-08,8.0352,8.0352,7.7285,7.7898,37330
SMA,2010-11-09,7.4831,7.5445,7.4831,7.4831,6750
SMA,2010-11-10,7.4831,7.6671,7.4218,7.6058,17040
SMA,2010-11-11,7.9125,7.9125,7.2991,7.2991,24860
SMA,2010-11-12,7.5444,7.5444,7.1151,7.2377,46570
SMA,2010-11-15,7.0537,7.0537,6.931,7.0537,9000
SMA,2010-11-16,7.115,7.115,6.8084,6.8084,15980
SMA,2010-11-17,6.9924,6.9924,6.5017,6.7471,29740
SMA,2010-11-18,6.7471,6.8698,6.7471,6.8697,19030
SMA,2010-11-19,6.6857,6.8697,6.563,6.8697,3180
SMA,2010-11-22,6.747000000000001,6.747000000000001,6.563,6.563,43650
SMA,2010-11-23,6.563,6.563,6.4403,6.563,7920
SMA,2010-11-24,6.5017,6.5017,6.2563,6.4404,30750
SMA,2010-11-25,6.5017,6.7471,6.5017,6.6857,44500
SMA,2010-11-26,6.563,6.563,6.379,6.5017,22010
SMA,2010-11-29,6.4404,6.4404,6.379,6.4404,29000
SMA,2010-11-30,6.5631,6.7471,6.5631,6.7471,93580
SMA,2010-12-01,6.6858,7.0538,6.6858,7.0537,113900
SMA,2010-12-02,7.2989999999999995,7.3604,7.2989999999999995,7.3604,25670
SMA,2010-12-03,7.7284,7.7284,7.6671,7.7284,29820
SMA,2010-12-06,8.0351,8.0351,7.7284,7.7284,34800
SMA,2010-12-07,7.7284,7.7897,7.3604,7.3604,17790
SMA,2010-12-08,7.3604,7.3604,6.9924,6.9924,105250
SMA,2010-12-09,6.9924,6.9924,6.6857,6.6857,84770
SMA,2010-12-10,6.9924,6.9924,6.747000000000001,6.9924,105750
SMA,2010-12-13,7.2991,7.2991,7.2991,7.2991,2200
SMA,2010-12-14,7.6058,7.6058,7.3604,7.4831,222150
SMA,2010-12-15,7.7898,7.7898,7.4218,7.5444,52600
SMA,2010-12-16,7.2377,7.3604,7.1764,7.1764,36500
SMA,2010-12-17,6.9924,7.1764,6.8697,7.1764,23050
SMA,2010-12-20,7.2377,7.2991,6.8697,6.8697,90210
SMA,2010-12-21,6.8697,7.1764,6.747000000000001,7.1764,58950
SMA,2010-12-22,7.0537,7.2377,6.9924,7.1151,26470
SMA,2010-12-23,7.2378,7.2378,6.8698,7.1151,2730
SMA,2010-12-24,7.1151,7.1151,6.8698,7.0537,14390
SMA,2010-12-27,6.9924,6.9924,6.8084,6.9311,55070
SMA,2010-12-28,6.9311,7.0538,6.7471,7.0537,36240
SMA,2010-12-29,7.0537,7.115,6.8697,6.9311,31230
SMA,2010-12-30,7.0538,7.0538,6.7471,6.9311,29100
SMA,2010-12-31,6.9311,6.9311,6.8698,6.9311,6320
SMA,2011-01-04,6.9311,7.2378,6.9311,7.1764,21120
SMA,2011-01-05,7.1764,7.3604,7.1151,7.1764,42200
SMA,2011-01-06,7.1764,7.2991,7.1764,7.2377,25790
SMA,2011-01-07,7.4217,7.4217,7.115,7.2377,12180
SMA,2011-01-10,7.1764,7.1764,6.9924,7.0537,18940
SMA,2011-01-11,7.115,7.115,6.931,6.9924,2780
SMA,2011-01-12,7.1764,7.1764,6.9924,6.9924,33010
SMA,2011-01-13,6.9924,6.9924,6.9924,6.9924,6610
SMA,2011-01-14,6.9924,7.1151,6.9924,6.9924,10100
SMA,2011-01-17,6.9924,6.9924,6.8697,6.9311,21190
SMA,2011-01-18,6.9924,7.0538,6.9311,6.9924,11110
SMA,2011-01-19,6.9924,7.1151,6.9924,6.9924,23770
SMA,2011-01-20,6.9311,7.2991,6.9311,7.2991,74650
SMA,2011-01-21,7.4831,7.6058,7.3604,7.3604,53960
SMA,2011-01-24,7.4831,7.4831,7.1151,7.3604,8490
SMA,2011-01-25,7.0537,7.2991,7.0537,7.2991,13200
SMA,2011-01-26,7.5444,7.5444,7.2991,7.3604,6800
SMA,2011-01-27,7.4217,7.4217,7.2377,7.2991,21790
SMA,2011-01-28,7.2378,7.4218,7.1764,7.3604,17520
SMA,2011-02-08,7.6057,7.6057,7.3604,7.4218,25110
SMA,2011-02-09,7.4218,7.4218,7.2378,7.3604,11090
SMA,2011-02-10,7.2991,7.2991,7.1151,7.2991,13250
SMA,2011-02-11,7.1764,7.2991,7.1764,7.2991,17420
SMA,2011-02-14,7.1764,7.2991,7.1764,7.2991,15030
SMA,2011-02-15,7.2991,7.3604,7.1764,7.1764,15520
SMA,2011-02-16,7.2377,7.2377,7.1764,7.2377,8030
SMA,2011-02-17,7.2377,7.2377,6.9924,7.2377,29080
SMA,2011-02-18,6.9924,7.2377,6.9924,7.1764,6860
SMA,2011-02-21,6.9924,7.1151,6.8697,6.8697,8150
SMA,2011-02-22,6.8697,6.9924,6.563,6.563,9000
SMA,2011-02-23,6.6857,6.747000000000001,6.3177,6.3177,103180
SMA,2011-02-24,6.4404,6.4404,6.1337,6.3177,14260
SMA,2011-02-25,6.4404,6.4404,6.379,6.4404,20120
SMA,2011-02-28,6.4404,6.5017,6.195,6.195,23910
SMA,2011-03-01,6.195,6.4403,6.195,6.2564,21870
SMA,2011-03-02,6.3791,6.3791,6.0724,6.1337,24700
SMA,2011-03-03,6.1337,6.1337,6.0724,6.1337,4470
SMA,2011-03-04,6.195,6.2564,6.1337,6.2564,9460
SMA,2011-03-07,6.0546,6.2565,6.0546,6.2565,25890
SMA,2011-03-08,6.2565,6.2565,5.9874,5.9874,8500
SMA,2011-03-09,6.0547,6.0547,5.8529,5.9201,7270
SMA,2011-03-10,5.9874,6.0547,5.9201,6.0547,33910
SMA,2011-03-11,6.2565,6.3238,6.1892,6.1892,17770
SMA,2011-03-14,6.391,6.391,6.1219,6.122000000000001,24780
SMA,2011-03-15,6.122000000000001,6.2565,5.9875,6.0547,35230
SMA,2011-03-16,6.0547,6.0547,6.0547,6.0547,4830
SMA,2011-03-17,6.122000000000001,6.122000000000001,6.0547,6.0547,600
SMA,2011-03-18,6.0547,6.2565,6.0547,6.2565,9540
SMA,2011-03-21,6.391,6.4583,6.122000000000001,6.2565,7130
SMA,2011-03-22,6.3238,6.3238,6.122000000000001,6.2565,28010
SMA,2011-03-23,6.2565,6.2565,6.0547,6.2565,23020
SMA,2011-03-24,6.122000000000001,6.122000000000001,6.0547,6.0547,12890
SMA,2011-03-25,6.2565,6.2565,6.0547,6.2565,5040
SMA,2011-03-28,6.2565,6.2565,6.2565,6.2565,1820
