Date,Open,High,Low,Close,Volume
2010-04-22,5.2459,5.2459,5.2459,5.2459,1000
2010-04-26,5.2459,5.2459,5.2459,5.2459,0
2010-04-27,5.2459,5.2459,5.2459,5.2459,0
2010-04-28,5.2459,5.2459,5.2459,5.2459,0
2010-04-29,5.2459,5.2459,5.2459,5.2459,0
2010-05-04,5.2459,5.2459,5.2459,5.2459,0
2010-05-05,5.2459,5.2459,5.2459,5.2459,0
2010-05-06,5.2459,5.2459,5.2459,5.2459,0
2010-05-07,5.2459,5.2459,5.2459,5.2459,0
2010-05-10,5.2459,5.2459,5.2459,5.2459,0
2010-05-11,5.2459,5.2459,5.2458,5.2458,0
2010-05-12,5.2458,5.2458,5.2458,5.2458,0
2010-05-13,5.2458,5.2458,5.2458,5.2458,900
2010-05-14,5.2458,5.2458,5.2458,5.2458,0
2010-05-17,5.2458,5.2458,5.2458,5.2458,0
2010-05-18,5.2458,5.2458,5.2458,5.2458,0
2010-05-19,5.2458,5.2458,5.2458,5.2458,0
2010-05-20,5.2458,5.2458,5.2458,5.2458,0
2010-05-21,5.2458,5.2458,5.2458,5.2458,0
2010-05-24,5.2458,5.2458,5.2458,5.2458,0
2010-05-25,5.2458,5.2458,5.2458,5.2458,0
2010-05-26,5.2458,5.2458,5.2458,5.2458,0
2010-05-27,5.2458,5.2458,5.2458,5.2458,0
2010-05-28,5.2458,5.2458,5.2458,5.2458,0
2010-05-31,5.2458,5.2458,5.2458,5.2458,0
2010-06-01,5.2458,5.2458,5.2458,5.2458,0
2010-06-02,5.2458,5.2458,5.2458,5.2458,0
2010-06-03,5.2458,5.2458,5.2458,5.2458,0
2010-06-04,5.2458,5.2458,5.2458,5.2458,0
2010-06-07,5.2458,5.2458,5.2458,5.2458,0
2010-06-08,5.2458,5.2458,5.2458,5.2458,0
2010-06-09,5.2458,5.2458,5.2458,5.2458,0
2010-06-10,5.2458,5.2458,5.2458,5.2458,0
2010-06-11,5.2458,5.2458,5.2458,5.2458,0
2010-06-14,5.2458,5.2458,5.2458,5.2458,0
2010-06-15,5.2458,5.2458,5.2458,5.2458,0
2010-06-16,5.2458,5.2458,5.2458,5.2458,0
2010-06-17,5.2458,5.2458,5.2458,5.2458,0
2010-06-18,5.2458,5.2458,5.2458,5.2458,0
2010-06-21,5.2458,5.2458,5.2458,5.2458,0
2010-06-22,5.2458,5.2458,5.2458,5.2458,0
2010-06-23,5.2458,5.2458,5.2458,5.2458,0
2010-06-24,5.2458,5.2458,5.2458,5.2458,0
2010-06-25,5.2458,5.2458,5.2458,5.2458,0
2010-06-28,5.2458,5.2458,5.2458,5.2458,0
2010-06-29,5.2458,5.2458,5.2458,5.2458,0
2010-06-30,5.2458,5.2458,5.2458,5.2458,0
2010-07-01,5.2458,5.2458,5.2458,5.2458,0
2010-07-02,5.2458,5.2458,5.2458,5.2458,0
2010-07-05,5.7704,5.7704,5.7704,5.7704,10
2010-07-06,6.3325,6.3325,6.3324,6.3324,10
2010-07-07,6.3324,6.3324,6.3324,6.3324,0
2010-07-08,6.3324,6.3324,6.3324,6.3324,0
2010-07-09,5.7329,5.7329,5.7329,5.7329,3300
2010-07-12,6.2949,6.295,6.2949,6.295,10
2010-07-13,6.295,6.295,6.295,6.295,0
2010-07-14,6.295,6.295,6.295,6.295,0
2010-07-15,6.295,6.295,6.295,6.295,0
2010-07-16,6.295,6.295,6.295,6.295,0
2010-07-19,6.295,6.295,6.295,6.295,0
2010-07-20,6.295,6.295,6.295,6.295,0
2010-07-21,6.295,6.295,6.295,6.295,0
2010-07-22,6.295,6.295,6.295,6.295,3800
2010-07-23,6.295,6.295,6.295,6.295,0
2010-07-26,6.295,6.295,6.295,6.295,0
2010-07-27,6.295,6.295,6.295,6.295,0
2010-07-28,6.295,6.295,6.295,6.295,0
2010-07-29,6.295,6.295,6.295,6.295,0
2010-07-30,6.295,6.295,6.295,6.295,0
2010-08-02,6.295,6.295,6.295,6.295,0
2010-08-03,6.295,6.295,6.295,6.295,0
2010-08-04,6.295,6.295,6.295,6.295,0
2010-08-05,6.295,6.295,6.295,6.295,0
2010-08-06,6.295,6.295,6.295,6.295,0
2010-08-09,6.295,6.295,6.295,6.295,0
2010-08-10,6.295,6.295,6.295,6.295,0
2010-08-11,6.295,6.295,6.295,6.295,0
2010-08-12,6.295,6.295,6.295,6.295,0
2010-08-13,6.295,6.295,6.295,6.295,0
2010-08-16,6.295,6.295,6.295,6.295,0
2010-08-17,6.295,6.295,6.295,6.295,0
2010-08-23,3.747,3.747,3.747,3.747,200
2010-08-24,3.747,3.747,3.747,3.747,0
2010-08-25,3.747,3.747,3.747,3.747,0
2010-08-26,3.747,3.747,3.747,3.747,0
2010-08-27,3.747,3.747,3.747,3.747,0
2010-08-30,3.747,3.747,3.747,3.747,500
2010-08-31,3.747,3.747,3.747,3.747,0
2010-09-01,3.747,3.747,3.747,3.747,0
2010-09-06,3.747,3.747,3.747,3.747,0
2010-09-07,4.1217,4.1217,4.1217,4.1217,2000
2010-09-08,4.1217,4.1217,4.1217,4.1217,0
2010-09-09,4.1217,4.1217,4.1217,4.1217,0
2010-09-10,4.1217,4.1217,4.1217,4.1217,1200
2010-09-13,4.1217,4.1217,4.1217,4.1217,0
2010-09-14,4.1217,4.1217,4.1217,4.1217,0
2010-09-15,4.1217,4.1217,4.1217,4.1217,0
2010-09-16,4.1217,4.1217,4.1217,4.1217,0
2010-09-17,4.1217,4.1217,4.1217,4.1217,0
2010-09-20,4.1217,4.1217,4.1217,4.1217,0
2010-09-21,4.1217,4.1217,4.1217,4.1217,0
2010-09-22,4.1217,4.1217,4.1217,4.1217,0
2010-09-23,4.1217,4.1217,4.1217,4.1217,0
2010-09-24,4.1217,4.1217,4.1217,4.1217,0
2010-09-27,4.1217,4.1217,4.1217,4.1217,0
2010-09-28,3.8969,3.8969,3.8969,3.8969,100
2010-09-29,3.8969,3.8969,3.8969,3.8969,0
2010-09-30,3.8969,3.8969,3.8969,3.8969,0
2010-10-01,3.8969,3.8969,3.8969,3.8969,0
2010-10-04,3.8969,3.8969,3.8969,3.8969,0
2010-10-05,3.8969,3.8969,3.8969,3.8969,0
2010-10-06,3.5597,3.5597,3.5596,3.5596,300
2010-10-07,3.5971,3.5971,3.5971,3.5971,100
2010-10-08,3.3723,3.3723,3.3723,3.3723,400
2010-10-11,3.3723,3.3723,3.3723,3.3723,0
2010-10-12,3.3723,3.3723,3.3723,3.3723,0
2010-10-13,3.3723,3.3723,3.3723,3.3723,0
2010-10-14,3.3723,3.3723,3.3723,3.3723,0
2010-10-15,3.3723,3.3723,3.3723,3.3723,0
2010-10-18,3.3723,3.3723,3.3723,3.3723,0
2010-10-19,3.3723,3.3723,3.3723,3.3723,0
2010-10-20,3.3723,3.3723,3.3723,3.3723,0
2010-10-21,3.3723,3.3723,3.3723,3.3723,0
2010-10-22,3.3723,3.3723,3.3723,3.3723,0
2010-10-25,3.3723,3.3723,3.3723,3.3723,0
2010-10-26,3.3723,3.3723,3.3723,3.3723,0
2010-10-27,3.3723,3.3723,3.3723,3.3723,0
2010-10-28,3.3723,3.3723,3.3723,3.3723,0
2010-10-29,3.3723,3.3723,3.3723,3.3723,0
2010-11-01,3.3723,3.3723,3.3723,3.3723,0
2010-11-02,3.3723,3.3723,3.3723,3.3723,0
2010-11-03,3.3723,3.3723,3.3723,3.3723,0
2010-11-04,3.3723,3.3723,3.3723,3.3723,0
