Date,Open,High,Low,Close,Volume
2008-09-25,10.0447,20.0893,7.0313,20.0893,98100
2008-09-26,15.0419,15.3432,13.3845,13.4096,38600
2008-09-29,13.7863,13.7863,13.7863,13.7863,47400
2008-09-30,13.7863,13.7863,13.7863,13.7863,0
2008-10-01,13.7863,13.7863,13.7863,13.7863,0
2008-10-02,13.7863,13.7863,13.7863,13.7863,0
2008-10-03,13.7863,13.7863,13.7863,13.7863,0
2008-10-06,13.7863,13.7863,13.7863,13.7863,0
2008-10-07,13.7863,13.7863,13.7863,13.7863,0
2008-10-08,13.7863,13.7863,13.7863,13.7863,0
2008-10-09,13.7863,13.7863,13.7863,13.7863,0
2008-10-10,12.8321,12.8321,12.8321,12.8321,300
2008-10-13,12.8321,12.8321,12.8321,12.8321,0
2008-10-14,11.9532,11.9532,11.9531,11.9531,3700
2008-10-15,11.9531,11.9531,11.9531,11.9531,0
2008-10-16,11.1244,11.1245,11.1244,11.1245,1000
2008-10-17,10.345999999999998,10.345999999999998,10.345999999999998,10.345999999999998,100
2008-10-20,9.6429,9.6429,9.6429,9.6429,100
2008-10-21,8.99,8.99,8.99,8.99,100
2008-10-22,8.3622,8.3622,8.3622,8.3622,300
2008-10-23,7.7846,7.7846,7.7846,7.7846,100
2008-10-24,7.7846,7.7846,7.7846,7.7846,0
2008-10-27,7.7846,7.7846,7.7846,7.7846,0
2008-10-28,7.7846,7.7846,7.7846,7.7846,0
2008-10-29,7.2573,7.2573,7.2573,7.2573,100
2008-10-30,7.2573,7.2573,7.2573,7.2573,0
2008-10-31,7.2573,7.2573,7.2573,7.2573,0
2008-11-03,6.7551,6.7551,6.755,6.755,100
2008-11-04,6.303,6.303,6.303,6.303,100
2008-11-05,5.8761,5.8761,5.8761,5.8761,100
2008-11-06,5.4743,5.4743,5.4743,5.4743,100
2008-11-07,5.0976,5.0977,5.0976,5.0977,900
2008-11-10,4.7461,5.4493,4.7461,5.4492,98600
2008-11-11,5.4492,5.4492,5.4492,5.4492,2800
2008-11-12,5.8259,5.8259,5.0725,5.8259,26900
2008-11-13,6.0519,6.1021,5.9012,6.1021,13400
2008-11-14,6.0519,6.4285,5.7254,5.7757,18200
2008-11-17,5.625,5.625,5.625,5.625,7500
2008-11-18,5.2483,5.2483,5.2483,5.2483,900
2008-11-19,4.8967,4.8968,4.8967,4.8968,3900
2008-11-20,4.5703,4.5703,4.5703,4.5703,400
2008-11-21,4.269,4.8716,4.269,4.8465,19300
2008-11-24,4.4698,4.7712,4.2689,4.7712,4000
2008-11-25,4.4196,4.4197,4.4196,4.4197,2100
2008-11-26,4.4197,4.4197,4.4197,4.4197,1000
2008-11-27,4.4197,4.4197,4.4197,4.4197,0
2008-11-28,4.6959,4.6959,4.6206,4.6457,2500
2008-12-01,4.7461,4.7461,4.7461,4.7461,1000
2008-12-02,4.7461,4.7461,4.7461,4.7461,0
2008-12-03,4.7461,4.7461,4.7461,4.7461,0
2008-12-04,4.4196,4.721,4.4196,4.721,700
2008-12-05,4.6457,4.6457,4.6457,4.6457,0
2008-12-08,4.6457,4.6457,4.6457,4.6457,0
2008-12-09,4.3444,4.3444,4.3443,4.3443,100
2008-12-10,4.3443,4.3443,4.3443,4.3443,0
2008-12-11,4.043,4.043,4.043,4.043,1000
2008-12-12,4.043,4.1434,4.043,4.1434,3000
2008-12-15,3.8923,3.8923,3.8672,3.8672,400
2008-12-16,4.1183,4.1183,4.1183,4.1183,100
2008-12-17,4.1183,4.1183,4.1183,4.1183,0
2008-12-18,4.1183,4.1183,4.1183,4.1183,0
2008-12-19,4.1183,4.1183,3.8421,3.8421,300
2008-12-22,3.7417,4.1183,3.7417,4.1183,300
2008-12-23,4.1183,4.1183,3.7165,3.7165,1100
2008-12-24,3.4905,3.4905,3.4905,3.4905,100
2008-12-25,3.6914,3.6914,3.2645,3.2645,4200
2008-12-26,3.4905,3.4905,3.4905,3.4905,100
2008-12-29,3.5156,3.7165,3.5156,3.7165,2100
2008-12-30,3.9676,3.9676,3.9676,3.9676,100
2008-12-31,4.2187,4.2188,4.2187,4.2188,200
2009-01-02,4.4699,4.4699,4.4699,4.4699,100
2009-01-05,4.6959,4.6959,4.6959,4.6959,100
2009-01-06,4.3694,4.3694,4.3694,4.3694,100
2009-01-07,4.0681,4.0681,4.0681,4.0681,100
2009-01-08,4.0681,4.0681,4.0681,4.0681,0
2009-01-09,4.269,4.269,3.7919,3.7919,4800
2009-01-12,3.5408,3.6412,3.5408,3.6412,8200
2009-01-13,3.5659,3.5659,3.5659,3.5659,0
2009-01-14,3.5659,3.5659,3.5659,3.5659,0
2009-01-15,3.365,3.365,3.3398,3.3398,400
2009-01-16,3.5909,3.591,3.5909,3.591,100
2009-01-19,3.591,3.591,3.591,3.591,0
2009-01-20,3.3901,3.3901,3.3901,3.3901,2800
2009-01-21,3.3901,3.3901,3.3901,3.3901,2700
2009-01-22,3.5157,3.5157,3.5156,3.5156,2500
2009-01-23,3.5156,3.5156,3.5156,3.5156,0
2009-02-02,3.5156,3.5156,3.5156,3.5156,0
2009-02-03,3.39,3.3901,3.39,3.3901,100
2009-02-04,3.5408,3.5408,3.5407,3.5407,100
2009-02-05,3.5407,3.5407,3.5407,3.5407,0
2009-02-06,3.5407,3.5407,3.5407,3.5407,0
2009-02-09,3.3649,3.6412,3.3649,3.6412,600
2009-02-10,3.5408,3.5408,3.5407,3.5407,0
2009-02-11,3.7416,3.7416,3.7416,3.7416,100
2009-02-12,3.4905,3.4905,3.4905,3.4905,100
2009-02-13,3.2645,3.2645,3.2645,3.2645,100
2009-02-16,3.2645,3.2645,3.2645,3.2645,0
2009-02-17,3.2645,3.2645,3.2645,3.2645,0
2009-02-18,3.2645,3.2645,3.2645,3.2645,0
2009-02-19,3.2645,3.2645,3.2645,3.2645,0
2009-02-20,3.2645,3.2645,3.2645,3.2645,0
2009-02-23,3.2645,3.2645,3.2645,3.2645,0
2009-02-24,3.0385,3.0385,3.0385,3.0385,100
2009-02-25,3.2394,3.2394,3.2394,3.2394,100
2009-02-26,3.0134,3.0134,3.0134,3.0134,100
2009-02-27,2.8125,2.8125,2.8125,2.8125,2300
2009-03-02,2.9883,2.9883,2.9883,2.9883,100
2009-03-03,3.1892,3.1892,3.1892,3.1892,100
2009-03-04,3.365,3.365,3.365,3.365,100
2009-03-05,3.365,3.365,3.365,3.365,0
2009-03-06,3.139,3.139,3.139,3.139,1300
2009-03-09,2.9381,2.9381,2.9381,2.9381,200
2009-03-10,2.7623,2.7623,2.7623,2.7623,1800
2009-03-11,2.6367,2.7623,2.6367,2.6869,3800
2009-03-12,2.6869,2.6869,2.6618,2.6618,1900
2009-03-13,2.6618,2.7874,2.6618,2.6869,700
2009-03-16,2.7119999999999997,2.7623,2.7119999999999997,2.7623,600
2009-03-17,2.9381,2.9381,2.9130000000000003,2.9130000000000003,3500
2009-03-18,3.0888,3.139,3.0888,3.139,5000
2009-03-19,2.9381,2.9381,2.9381,2.9381,100
2009-03-20,2.9381,2.9381,2.9381,2.9381,0
2009-03-23,3.0134,3.0134,2.9381,2.9381,1800
2009-03-24,2.8628,3.139,2.8628,3.139,1600
2009-03-25,3.0386,3.0386,3.0385,3.0385,0
2009-03-26,3.0385,3.0385,3.0385,3.0385,0
2009-03-27,3.0385,3.0385,3.0385,3.0385,0
2009-03-30,2.8376,2.9130000000000003,2.8376,2.9130000000000003,700
2009-03-31,2.9130000000000003,2.9130000000000003,2.9130000000000003,2.9130000000000003,300
2009-04-01,3.1139,3.1139,3.1138,3.1138,200
2009-04-02,3.2896,3.3147,3.2896,3.2896,7600
2009-04-03,3.5156,3.5156,3.4152,3.5156,4200
2009-04-07,3.5156,3.5156,3.5156,3.5156,300
2009-04-08,3.4152,3.4152,3.4152,3.4152,2000
2009-04-09,3.1892,3.1892,3.1892,3.1892,1700
2009-04-10,3.1892,3.3399,3.1892,3.2645,5000
2009-04-13,3.5407,3.5407,3.5407,3.5407,4400
2009-04-14,3.5407,3.5407,3.4905,3.5407,6400
2009-04-15,3.7165,3.7165,3.7165,3.7165,100
2009-04-16,3.8169,3.8421,3.7667,3.8421,4600
2009-04-17,3.5408,4.043,3.5408,4.043,5000
2009-04-20,3.6161,3.6161,3.6161,3.6161,1800
2009-04-21,3.365,3.365,3.365,3.365,2900
2009-04-22,3.365,3.365,3.365,3.365,0
2009-04-23,3.5408,3.5408,3.4905,3.4905,3000
2009-04-24,3.2896,3.2896,3.2896,3.2896,700
2009-04-27,3.0636,3.0636,3.0636,3.0636,2700
2009-04-28,2.9129,3.0636,2.8627,3.0636,5600
2009-04-29,3.0134,3.0887,3.0134,3.0887,1400
2009-05-04,3.2645,3.2645,3.1389,3.1641,6900
2009-05-05,3.2645,3.2645,3.2645,3.2645,6000
2009-05-06,3.4905,3.4905,3.2645,3.2896,22100
2009-05-07,3.5156,3.5659,3.4905,3.5659,18300
2009-05-08,3.7919,3.7919,3.7668,3.7919,18800
2009-05-11,4.043,4.043,3.9677,4.0179,8900
2009-05-12,4.0179,4.0179,3.7417,3.8923,10300
2009-05-13,3.6663,3.9676,3.5407,3.6412,27400
2009-05-14,3.6663,3.6663,3.6161,3.6412,4900
2009-05-15,3.7668,3.7668,3.6161,3.7667,6000
2009-05-18,3.7667,3.9174,3.7165,3.9174,16000
2009-05-19,3.9711,4.0248,3.9711,4.0248,4100
2009-05-20,4.0785,4.0785,3.7296,3.9443,3600
2009-05-21,3.7565,3.9711,3.7565,3.9711,16200
2009-05-22,4.0248,4.1053,3.9174,3.9979,8200
2009-05-25,3.9979,4.0516,3.9979,4.0248,9300
2009-05-26,3.8369999999999997,3.9443,3.7296,3.8906,9500
2009-05-27,4.0784,4.0784,3.9711,3.9711,200
2009-05-28,3.8906,3.8906,3.7564,3.7565,10900
2009-05-29,3.7565,3.7565,3.7565,3.7565,500
2009-06-01,3.6492,3.8907,3.6492,3.7565,3800
2009-06-02,3.8907,3.8907,3.8101,3.8101,6500
2009-06-03,3.8906,3.9979,3.7833,3.8638,8500
2009-06-04,3.9711,4.1321,3.8638,4.1321,36400
2009-06-05,4.3468,4.3468,4.3468,4.3468,26900
2009-06-08,4.6419999999999995,4.6419999999999995,4.6419,4.6419,11400
2009-06-09,4.937,4.9639,4.7761,4.9639,33600
2009-06-10,5.2322,5.2322,4.5883,4.7492,38000
2009-06-11,4.937,5.1785,4.8297,4.9371,27500
2009-06-12,5.2054,5.2323,4.7224,5.0175,20900
2009-06-15,4.7224,4.7224,4.6955,4.6956,4200
2009-06-16,4.3736,4.3736,4.3736,4.3736,400
2009-06-17,4.0784,4.1589,4.0784,4.1589,13800
2009-06-18,4.3199,4.3467,4.1589,4.2931,9000
2009-06-19,4.5614,4.5883,4.2931,4.5882,15000
2009-06-22,4.2931,4.5346,4.2662,4.5346,8100
2009-06-23,4.0785,4.0785,4.0784,4.0784,1700
2009-06-24,4.0247,4.3199,4.0247,4.2931,3200
2009-06-25,4.2931,4.2931,4.2931,4.2931,0
2009-06-26,3.9979,3.9979,3.9979,3.9979,7700
2009-06-29,4.0247,4.0247,3.7564,3.7565,8200
2009-06-30,4.0248,4.0248,3.998,4.0248,5100
2009-07-01,3.7565,4.1321,3.7565,4.1321,1100
2009-07-02,4.2663,4.2663,3.7296,4.1589,2300
2009-07-03,3.9711,3.9711,3.9711,3.9711,300
2009-07-06,4.0784,4.1053,4.0784,4.1053,500
2009-07-07,4.0785,4.0785,3.8101,3.8906,2600
2009-07-08,3.9979,3.9979,3.7028,3.7028,9200
2009-07-09,3.6223,3.6223,3.5418,3.5418,8700
2009-07-10,3.3539999999999996,3.515,3.3539999999999996,3.515,3400
2009-07-13,3.5418,3.5687,3.5418,3.5418,700
2009-07-14,3.7565,3.7565,3.7565,3.7565,300
2009-07-15,3.7833,3.7833,3.6223,3.6223,3100
2009-07-16,3.8369999999999997,3.8369999999999997,3.3808,3.3808,1500
2009-07-17,3.4881,3.4881,3.3003,3.3003,2200
2009-07-20,3.193,3.193,3.193,3.193,1000
2009-07-21,3.2198,3.3539999999999996,3.2198,3.3539999999999996,1300
2009-07-22,3.3003,3.3003,3.2466,3.2466,2600
2009-07-23,3.4613,3.4613,3.4613,3.4613,100
2009-07-24,3.7028,3.7028,3.676,3.7028,12800
2009-07-27,3.7565,3.7565,3.7565,3.7565,2000
2009-07-28,3.5687,3.5687,3.515,3.515,5700
2009-07-29,3.3808,3.3808,3.3271,3.3271,1500
2009-07-30,3.2198,3.2198,3.1661,3.2198,1500
2009-07-31,3.3539999999999996,3.3808,3.3003,3.3003,1600
2009-08-03,3.2466,3.4881,3.2198,3.2198,2600
2009-08-04,3.4613,3.4613,3.3271,3.3271,600
2009-08-05,3.1661,3.3539999999999996,3.1661,3.3539999999999996,4800
2009-08-06,3.3272,3.3539999999999996,3.2466,3.2466,800
2009-08-07,3.2466,3.2466,3.2198,3.2466,5400
2009-08-10,3.3539,3.3808,3.3271,3.3539999999999996,10900
2009-08-11,3.4077,3.4077,3.4076,3.4076,1000
