Date,Open,High,Low,Close,Volume
2006-10-09,2.6302,2.9410000000000003,2.6302,2.8454,16700
2006-10-10,2.8813,2.9291,2.7498,2.8215,7800
2006-10-11,2.8693,2.8693,2.8095,2.8334,8100
2006-10-12,2.8573,2.8573,2.8334,2.8454,3400
2006-10-13,2.8454,2.8574,2.8334,2.8454,17800
2006-10-16,2.8693,2.8693,2.8574,2.8693,7100
2006-10-17,2.9649,2.9649,2.8454,2.8573,11100
2006-10-18,2.8693,2.8693,2.8214,2.8454,3900
2006-10-19,2.8215,2.8574,2.8215,2.8334,9100
2006-10-20,2.8334,2.8334,2.8095,2.8334,5300
2006-10-23,2.8095,2.8214,2.8095,2.8095,1400
2006-10-24,2.8095,2.8095,2.7975,2.8095,300
2006-10-25,2.7497,2.7736,2.7497,2.7617,1700
2006-10-26,2.7497,2.7497,2.7378,2.7497,600
2006-10-27,2.7497,2.7497,2.7497,2.7497,400
2006-10-30,2.6899,2.6899,2.6301,2.6660000000000004,1000
2006-10-31,2.7497,2.7497,2.654,2.7019,200
2006-11-01,2.6660000000000004,2.7139,2.6660000000000004,2.6899,2200
2006-11-02,2.6301,2.6660000000000004,2.6301,2.6421,2300
2006-11-03,2.6899,2.6899,2.6541,2.6660000000000004,8000
2006-11-06,2.6899,2.6899,2.6660000000000004,2.678,13300
2006-11-07,2.69,2.7497,2.69,2.7378,4600
2006-11-08,2.7737,2.8215,2.7498,2.7975,6600
2006-11-09,2.8095,2.8692,2.8095,2.8454,10800
2006-11-10,2.9889,2.9889,2.8693,2.8812,3400
2006-11-13,2.929,2.929,2.8692,2.8812,6200
2006-11-14,2.7975,2.7975,2.7497,2.7617,7000
2006-11-15,2.7497,2.7617,2.7497,2.7617,3100
2006-11-16,2.7976,2.7976,2.7975,2.7975,2000
2006-11-17,2.7855,2.8095,2.7855,2.7975,2400
2006-11-20,2.8214,2.8692,2.8095,2.8454,7700
2006-11-21,2.8693,2.8932,2.8693,2.8812,6700
2006-11-22,2.8812,2.8812,2.8692,2.8693,6400
2006-11-23,2.8693,2.8932,2.8693,2.8812,4700
2006-11-24,2.929,2.929,2.8932,2.9051,10000
2006-11-27,2.9051,2.9051,2.9051,2.9051,0
2006-11-28,2.929,2.929,2.929,2.929,4000
2006-11-29,2.8692,2.9410000000000003,2.8692,2.929,14400
2006-11-30,2.9529,3.0127,2.9529,2.9888,17000
2006-12-01,3.0486,3.0725,3.0486,3.0725,9000
2006-12-04,3.2757,3.2758,3.2757,3.2758,2000
2006-12-05,3.3236,3.3475,3.228,3.2877,10200
2006-12-06,3.2877,3.2877,3.2039999999999997,3.216,4800
2006-12-07,3.0367,3.1084,3.0367,3.0845,6000
2006-12-08,3.0486,3.1204,3.0486,3.0486,18500
2006-12-11,3.1084,3.1084,2.9888,3.0725,10500
2006-12-12,3.0725,3.0725,3.0486,3.0606,1500
2006-12-13,3.0247,3.0486,3.0247,3.0247,1700
2006-12-14,3.1203,3.1203,3.0247,3.1084,9800
2006-12-15,3.0486,3.0486,2.9888,2.9888,5500
2006-12-18,2.9529,2.9888,2.8692,2.9769,2800
2006-12-19,2.9769,2.9889,2.9649,2.9649,4300
2006-12-20,2.9769,2.9769,2.9769,2.9769,0
2006-12-21,3.1084,3.1084,2.9530000000000003,2.9530000000000003,3000
2006-12-22,3.0128,3.0128,3.0127,3.0127,1000
2006-12-25,3.0127,3.0127,3.0127,3.0127,0
2006-12-26,2.9888,2.9888,2.9888,2.9888,2000
2006-12-27,3.0486,3.0486,2.8573,3.0486,7500
2006-12-28,3.2638,3.2638,2.9888,3.2518,5100
2006-12-29,3.1083,3.1083,3.0486,3.0486,1400
2007-01-02,3.0486,3.0486,3.0486,3.0486,1000
2007-01-03,3.2039999999999997,3.2279,3.0127,3.1921,2200
2007-01-04,3.216,3.216,3.216,3.216,2000
2007-01-05,3.228,3.2399,3.1084,3.216,13600
2007-01-08,3.216,3.216,3.216,3.216,3600
2007-01-09,2.9888,3.0486,2.9888,3.0486,2400
2007-01-10,3.2758,3.2758,3.0486,3.0486,7900
2007-01-11,3.1084,3.1084,3.1084,3.1084,2200
2007-01-12,3.1682,3.228,3.1084,3.1084,19500
2007-01-15,3.1562,3.3475,3.1562,3.3475,13700
2007-01-16,3.4431,3.4431,3.2279,3.3475,8000
2007-01-17,3.3236,3.3714,3.2877,3.3475,13500
2007-01-18,3.5866,3.5866,3.3475,3.3953,3000
2007-01-19,3.5268,3.5388,3.467,3.467,19800
2007-01-22,3.5866,3.5866,3.4789999999999996,3.4789999999999996,10200
2007-01-23,3.5268,3.5268,3.491,3.5149,3500
2007-01-24,3.5149,3.5149,3.4431,3.4431,5300
2007-01-25,3.3537,3.6816,3.3537,3.6615,4600
2007-01-26,3.6466,3.7955,3.6466,3.7955,5700
2007-01-29,3.7955,3.7955,3.7211,3.7211,6400
2007-01-30,3.8699,3.9444,3.7806,3.7806,8300
2007-01-31,3.9443,3.9443,3.7955,3.7955,4600
2007-02-01,4.2718,4.2718,3.7211,3.8699,14600
2007-02-02,4.1974,4.242,3.7955,4.0039,9600
2007-02-05,4.4355,4.4355,4.0039,4.0188,5400
2007-02-06,4.1081,4.1676,4.0188,4.0188,14900
2007-02-07,4.0188,4.3165,3.9741,4.3165,49800
2007-02-08,4.5547,4.5547,4.3909,4.5546,14500
2007-02-09,4.9862,4.9863,4.8374,4.9863,25900
2007-02-12,5.4626,5.4626,5.2096,5.2839,15800
2007-02-13,5.2095,5.2095,4.9416,4.9416,7900
2007-02-14,4.9714,4.9714,4.763,4.763,6800
2007-02-15,4.6142,4.6439,4.4058,4.4058,13800
2007-02-26,4.4356,5.0161,4.4356,5.016,36300
2007-02-27,5.1648,5.1649,5.1648,5.1649,19900
2007-02-28,5.671,5.671,5.6561,5.6709,22600
2007-03-01,6.2365,6.2365,5.6709,5.6709,40900
2007-03-02,6.6086,6.6086,5.7304,5.8793,28000
