Date,Open,High,Low,Close,Volume
2016-06-06,10.0062,12.0074,10.0062,11.874,65660
2016-06-07,11.9407,11.9407,11.2069,11.7406,13030
2016-06-08,11.7406,11.7406,11.7406,11.7406,0
2016-06-09,10.9401,11.0068,10.9401,10.9401,10020
2016-06-10,10.74,11.0068,10.2063,10.2731,15970
2016-06-13,10.2731,10.2731,9.8728,9.8728,7220
2016-06-14,9.7394,10.5399,9.7394,10.5399,6170
2016-06-15,10.9401,10.9401,10.5399,10.5399,13040
2016-06-16,10.6733,10.6733,10.3398,10.3398,11930
2016-06-17,10.2731,10.3398,10.0729,10.0729,1970
2016-06-20,10.273,10.4064,10.273,10.3398,24920
2016-06-21,10.073,10.6066,10.073,10.6066,9860
2016-06-22,10.2731,10.6066,10.2731,10.6066,400
2016-06-23,10.2731,10.3398,10.2731,10.3398,5900
2016-06-24,10.0063,10.1397,10.0063,10.1396,9060
2016-06-27,9.7394,10.1396,9.7394,9.7394,16490
2016-06-28,10.4065,10.4065,10.3398,10.3398,160
2016-06-29,10.3398,10.3398,10.3398,10.3398,0
2016-06-30,10.0063,10.1397,10.0063,10.1396,44600
2016-07-01,10.2063,10.273,10.2063,10.2063,12480
2016-07-04,10.0062,10.3398,10.0062,10.3398,13450
2016-07-05,10.3398,10.3398,10.2063,10.2063,2760
2016-07-06,10.2063,10.2063,10.0729,10.0729,2370
2016-07-07,10.2063,10.3398,10.2063,10.3398,11000
2016-07-08,10.073,10.5399,10.073,10.4732,17310
2016-07-11,10.4732,10.4732,10.4732,10.4732,16880
2016-07-12,10.4732,10.4732,10.4732,10.4732,2590
2016-07-13,10.073,10.4732,10.073,10.4732,10190
2016-07-14,10.4732,10.4732,10.4732,10.4732,12000
2016-07-15,10.1397,10.2064,10.1397,10.2063,2300
2016-07-18,10.1396,10.2731,10.1396,10.2731,3300
2016-07-19,10.3398,10.4065,10.3398,10.4065,1300
2016-07-20,10.4065,10.5399,10.4065,10.5399,3110
2016-07-21,10.3398,10.4732,10.3398,10.4732,28100
2016-07-22,10.4732,10.5399,10.4065,10.5399,5130
2016-07-25,10.5399,10.5399,10.4732,10.4732,4600
2016-07-26,10.4732,11.1403,10.4732,11.1403,15710
2016-07-27,11.8741,11.8741,11.674000000000001,11.874,60980
2016-07-28,11.9407,12.6078,11.9407,12.6078,34290
2016-07-29,12.6078,12.6745,12.341,12.341,33690
2016-08-01,12.2743,12.341,11.6739,12.341,10740
2016-08-02,12.341,12.341,11.6739,12.2743,31180
2016-08-03,11.6739,12.2076,11.6739,12.2076,33590
2016-08-04,12.341,12.341,11.874,11.874,14430
2016-08-05,11.6739,12.5411,11.6739,11.874,17820
2016-08-08,12.0074,12.0074,11.874,11.874,12600
2016-08-09,12.0074,12.2076,11.874,12.2076,10950
2016-08-10,12.341,12.341,12.0075,12.2076,31780
2016-08-11,12.2076,12.6746,12.2076,12.341,5420
2016-08-12,12.341,12.341,12.341,12.341,19650
2016-08-15,12.341,12.341,12.341,12.341,1500
2016-08-16,12.341,12.341,12.1409,12.1409,10030
2016-08-17,11.8741,12.341,11.8741,12.0075,9540
2016-08-18,12.0075,12.0075,11.9408,11.9408,14880
2016-08-19,11.8741,12.3411,11.874,11.874,6910
2016-08-22,12.0741,12.0741,11.874,11.9408,23010
2016-08-23,11.9408,12.0075,11.9408,11.9408,26080
2016-08-24,11.9408,12.0075,11.9408,11.9408,15330
2016-08-25,11.9408,12.1409,11.9408,12.0075,19830
2016-08-26,12.0075,12.0075,12.0075,12.0075,4500
2016-08-29,12.0075,12.2743,12.0075,12.1409,14360
2016-08-30,12.1409,12.1409,12.0075,12.0742,4650
2016-08-31,12.341,12.341,12.1409,12.341,16910
2016-09-01,12.1409,12.341,12.1409,12.341,22420
2016-09-05,12.0742,12.9414,12.0742,12.9414,13210
2016-09-06,12.6746,12.6746,12.4077,12.6078,7000
