Date,Open,High,Low,Close,Volume
2019-05-30,26.7353,26.7353,26.7353,26.7353,30
2019-05-31,28.5919,28.592,28.5919,28.592,30
2019-06-03,30.56,30.56,30.56,30.56,30
2019-06-04,30.56,30.56,30.56,30.56,0
2019-06-05,32.6765,32.6765,32.6765,32.6765,30
2019-06-06,34.9416,34.9416,34.9416,34.9416,30
2019-06-07,35.6471,35.6471,35.6471,35.6471,3000
2019-06-10,38.0978,38.0979,38.0978,38.0979,40
2019-06-11,40.6972,40.6972,39.3604,39.3604,470
2019-06-12,42.1082,42.1082,42.1082,42.1082,380
2019-06-13,45.0045,45.0045,45.0045,45.0045,430
2019-06-14,48.1236,48.1236,43.0736,43.0736,1000
2019-06-17,41.5883,41.5883,40.103,40.103,440
2019-06-18,37.3552,40.4743,37.3552,40.4743,590
2019-06-19,37.6522,40.4743,37.6522,40.4743,1030
2019-06-20,37.6522,37.6523,37.6522,37.6523,1340
2019-06-21,35.053000000000004,40.2516,35.053000000000004,40.2515,1120
2019-06-24,40.103,40.8457,40.103,40.8457,1320
2019-06-25,40.8457,40.8457,40.7714,40.8457,2030
2019-06-26,41.217,41.5883,41.217,41.5883,330
2019-06-27,41.5883,41.5883,39.7317,41.217,570
2019-06-28,41.1427,41.217,41.1427,41.217,680
2019-07-01,38.6177,44.0391,38.3949,40.8457,1630
2019-07-02,40.1031,40.1031,38.0236,40.103,1410
2019-07-03,39.7317,39.7317,39.7317,39.7317,1530
2019-07-04,39.3604,39.3604,37.1324,37.1324,1310
2019-07-05,39.7317,39.7317,34.5331,39.3604,810
2019-07-08,38.6178,41.4398,37.2067,41.4398,1600
2019-07-09,39.5089,41.4398,39.5089,41.4398,1100
2019-07-10,40.8457,41.5883,39.2118,39.2118,920
2019-07-11,40.6971,40.6971,40.103,40.6971,1360
2019-07-12,40.9199,40.9199,40.9199,40.9199,680
2019-07-15,38.692,40.9199,38.692,40.9199,1930
2019-07-16,40.9199,41.217,40.9199,41.217,1680
2019-07-17,41.217,41.5883,41.217,41.5883,1010
2019-07-18,38.692,41.217,38.692,41.217,1250
2019-07-19,41.217,41.5883,41.217,41.5883,670
2019-07-22,41.5883,41.9596,41.5883,41.9596,2000
2019-07-23,39.1375,41.9596,39.1375,41.9596,1500
2019-07-24,39.0633,41.9596,39.0633,41.5883,1130
2019-07-25,42.3309,42.331,42.3309,42.331,750
2019-07-26,42.331,42.331,42.331,42.331,1010
2019-07-29,42.4053,42.4053,42.4052,42.4052,1280
2019-07-30,39.6574,43.0736,39.6574,43.0736,1200
2019-07-31,40.103,41.9596,40.103,41.9596,1350
2019-08-01,41.9596,41.9596,41.9596,41.9596,1090
2019-08-02,40.8456,41.217,40.103,41.217,1730
2019-08-05,41.5141,42.7023,41.5141,41.5883,3410
2019-08-06,41.5883,41.5883,41.5883,41.5883,2330
2019-08-07,43.0736,43.0736,38.692,41.5883,1960
2019-08-08,41.5883,42.331,40.8457,42.331,2220
2019-08-09,42.5538,42.7023,40.4744,42.7023,4250
2019-08-12,44.5589,44.5589,39.806,42.331,1220
2019-08-13,39.6575,41.5884,39.6575,41.5883,2380
2019-08-14,42.3309,42.3309,41.5883,41.5883,1150
2019-08-15,38.8405,43.8162,38.8405,41.5883,2040
2019-08-16,41.5883,41.9596,38.7662,41.9596,1320
2019-08-19,39.3603,41.9596,39.3603,40.8457,2010
2019-08-20,42.7023,42.7023,41.217,41.217,990
2019-08-21,41.217,41.217,40.103,40.103,2300
2019-08-22,39.4346,42.3309,39.4346,41.9596,2170
2019-08-23,42.3309,43.8162,41.9596,41.9596,1500
2019-08-26,39.3603,41.9596,39.3603,41.9596,2610
2019-08-27,41.5883,41.9596,41.5883,41.8854,2830
2019-08-28,41.7369,41.7369,41.7368,41.7368,2310
2019-08-29,40.8456,41.0684,40.8456,40.8457,2010
2019-08-30,38.3207,40.6972,38.3207,40.4743,1290
2019-09-03,38.2464,40.103,38.2464,40.103,2100
2019-09-04,40.103,40.103,40.103,40.103,2220
2019-09-05,39.7317,40.103,39.3604,40.0288,2260
2019-09-06,39.6575,39.7317,37.8751,39.7317,2560
2019-09-09,41.5883,41.5883,41.5883,41.5883,2200
2019-09-10,41.5883,41.5883,41.5883,41.5883,1760
2019-09-11,41.217,41.9596,41.217,41.4398,2280
2019-09-12,41.217,43.0736,41.217,43.0736,2050
2019-09-13,43.0736,45.3016,43.0736,45.3016,2060
2019-09-16,44.559,44.559,44.5589,44.5589,1450
2019-09-17,43.8905,43.8905,43.8905,43.8905,2580
2019-09-18,43.8162,43.8163,43.742,43.8163,2180
2019-09-19,43.8163,43.8163,40.8457,43.8163,2040
2019-09-20,46.7869,46.7869,44.5589,44.5589,2300
2019-09-23,45.3015,45.3016,45.3015,45.3016,2310
2019-09-24,44.559,45.2273,43.2964,45.2273,1910
2019-09-25,45.2273,45.2273,45.2273,45.2273,0
2019-09-26,42.1212,45.3788,42.1212,42.4242,1550
2019-09-27,45.3787,45.3788,45.3787,45.3788,1100
2019-09-30,46.9697,47.6515,46.9697,47.6515,2590
2019-10-01,47.7273,47.7273,47.7273,47.7273,1680
2019-10-02,51.0606,51.0606,50.9091,50.9091,1040
2019-10-03,50.6061,50.6061,50.6061,50.6061,1290
2019-10-04,50.6061,50.6061,50.6061,50.6061,1600
2019-10-07,49.2425,49.2425,49.2424,49.2424,1500
2019-10-08,49.2424,49.2424,49.2424,49.2424,0
2019-10-09,48.8636,48.8636,47.7272,48.8636,1600
2019-10-10,47.6515,47.6515,47.6515,47.6515,1400
2019-10-11,47.6515,47.6515,47.6515,47.6515,0
2019-10-14,47.5757,47.5758,47.5757,47.5758,1050
2019-10-15,47.5758,47.5758,47.5758,47.5758,0
2019-10-16,50.0,50.0,50.0,50.0,2020
2019-10-17,50.0,50.0,50.0,50.0,1670
2019-10-18,50.0,50.0,50.0,50.0,0
2019-10-21,49.2424,49.2424,49.2424,49.2424,1680
2019-10-22,45.8333,48.4848,45.8333,48.4848,1650
2019-10-23,48.4848,48.4848,48.4848,48.4848,0
2019-10-24,47.7272,47.7273,47.7272,47.7273,1100
2019-10-25,47.7273,47.7273,47.7273,47.7273,500
2019-10-28,47.7273,47.7273,47.7273,47.7273,0
2019-10-29,45.4546,46.894,45.4546,46.8939,1000
2019-10-30,45.4545,47.7273,45.4545,47.7273,1390
2019-10-31,46.9697,46.9697,46.9697,46.9697,1500
2019-11-01,46.9697,46.9697,46.9697,46.9697,0
2019-11-04,48.8636,48.8636,48.8636,48.8636,2390
2019-11-05,49.6212,49.6212,49.6212,49.6212,1600
2019-11-06,50.0,50.0,50.0,50.0,1590
2019-11-07,49.6212,49.6212,49.6212,49.6212,1560
2019-11-08,47.7273,47.7273,47.7273,47.7273,1630
2019-11-11,47.7273,48.1818,47.7273,48.1818,1630
2019-11-12,48.4848,48.4848,48.4848,48.4848,900
2019-11-13,47.7272,47.7273,47.7272,47.7273,1500
2019-11-14,47.7273,47.7273,47.7273,47.7273,0
2019-11-15,47.7273,47.7273,47.7273,47.7273,0
2019-11-18,46.2121,46.2121,46.2121,46.2121,2500
2019-11-19,46.2121,46.9697,46.2121,46.9697,1200
2019-11-20,46.9697,47.3485,46.9697,47.3485,2550
2019-11-21,47.3485,47.3485,46.2121,46.2121,3500
2019-11-22,46.2121,46.2121,46.2121,46.2121,1000
2019-11-25,45.4545,45.4545,45.0757,45.0758,2100
2019-11-26,44.696999999999996,45.0758,44.696999999999996,45.0758,1900
2019-11-27,44.696999999999996,44.696999999999996,44.696999999999996,44.696999999999996,110
2019-11-28,44.696999999999996,45.0758,44.696999999999996,45.0758,2550
2019-11-29,45.0758,46.2122,45.0758,46.2121,2320
2019-12-02,44.6969,46.2121,44.6969,46.2121,1500
2019-12-03,45.6818,45.8333,45.6818,45.8333,1000
2019-12-04,45.606,45.6061,45.606,45.6061,850
2019-12-05,45.6061,46.0606,45.6061,46.0606,1100
2019-12-06,46.2121,46.5909,46.2121,46.5909,2750
2019-12-09,46.5909,46.7424,46.5909,46.7424,1500
2019-12-10,46.7424,46.7424,46.5909,46.5909,1530
2019-12-11,46.5909,46.5909,45.8333,45.8333,1100
2019-12-12,45.8333,46.9697,45.8333,46.9697,2310
2019-12-13,46.8939,46.9697,46.8939,46.9697,1100
2019-12-16,46.8939,46.9697,46.8939,46.9697,960
2019-12-17,46.9697,47.3485,46.9697,47.3485,1120
2019-12-18,47.3485,47.5758,47.3485,47.5758,2020
2019-12-19,47.5758,48.1061,47.196999999999996,48.1061,1700
2019-12-20,47.8788,48.4849,47.8788,48.4848,2020
2019-12-23,48.3333,48.4848,47.7272,48.4848,1270
2019-12-24,47.1969,47.1969,46.9697,46.9697,1200
2019-12-25,46.5909,46.9697,46.5909,46.9697,1320
2019-12-26,46.9697,47.196999999999996,46.9697,47.196999999999996,1260
2019-12-27,47.196999999999996,47.196999999999996,46.9697,46.9697,640
2019-12-30,46.9697,47.7273,46.9697,47.7273,1640
2019-12-31,47.3485,48.4849,47.3485,48.4848,1880
2020-01-02,48.4848,48.6364,48.4848,48.6364,1410
2020-01-03,48.3334,49.0909,48.1061,49.0909,1970
2020-01-06,48.7121,48.7121,48.3333,48.3333,1260
2020-01-07,48.3333,48.3333,48.106,48.1061,670
2020-01-08,47.8788,47.8788,47.8788,47.8788,320
2020-01-09,47.8788,48.1818,47.7273,48.1818,1580
2020-01-10,48.1818,48.3333,47.8788,48.3333,1560
2020-01-13,48.3333,49.3939,48.3333,48.3333,1300
2020-01-14,48.106,48.6364,48.106,48.6364,890
2020-01-15,48.3334,48.8637,48.3334,48.8636,1410
2020-01-16,48.4848,48.7121,48.4848,48.7121,1760
2020-01-17,48.4848,48.7121,48.4848,48.7121,1700
2020-01-20,48.7121,49.6212,48.7121,48.9394,1400
2020-01-21,48.9394,49.2424,48.4849,49.2424,2040
2020-01-22,49.2424,49.2424,49.2424,49.2424,870
2020-01-30,49.2424,49.2424,48.8636,48.8636,1070
2020-01-31,48.4848,49.0909,48.4848,49.0909,3640
2020-02-03,49.0909,49.0909,48.6364,49.0909,3240
2020-02-04,48.6364,48.7879,48.6364,48.7879,2100
2020-02-05,48.7121,48.7879,47.3485,48.7879,3940
2020-02-06,47.9546,49.0152,47.9546,49.0152,6030
2020-02-07,48.6364,49.091,48.4849,49.0909,1800
2020-02-10,48.8636,49.0152,48.8636,49.0152,1100
2020-02-11,49.0152,49.2425,48.7879,49.2424,1050
2020-02-12,49.2424,49.2424,49.0909,49.2424,620
2020-02-13,49.9242,49.9242,48.6363,48.6364,1260
2020-02-14,48.6364,48.6364,48.1061,48.1061,2310
2020-02-17,47.7273,48.1061,47.6516,48.1061,3050
2020-02-18,47.7273,48.5606,47.7273,48.1061,4220
2020-02-19,47.8788,48.4849,47.8788,48.4848,3660
2020-02-20,47.7272,48.5606,47.7272,48.4848,5000
2020-02-21,48.106,48.5606,48.106,48.5606,3410
2020-02-24,48.4848,48.4848,48.4091,48.4091,970
2020-02-25,47.803000000000004,48.4091,47.803000000000004,48.4091,1330
2020-02-26,48.1818,48.1818,47.9545,47.9545,730
2020-02-27,47.8787,47.9545,47.8787,47.9545,360
2020-02-28,47.7272,47.9545,47.6515,47.6515,1250
2020-03-02,47.3485,47.3485,46.9697,47.1212,1180
2020-03-03,47.1212,47.1212,46.9697,47.1212,860
2020-03-04,46.8182,46.8182,45.6818,45.6818,5280
2020-03-05,45.4545,46.1364,45.3788,46.1364,4610
2020-03-06,46.1364,46.2122,46.0606,46.0606,3510
2020-03-09,46.0606,46.0606,45.6818,45.6818,590
2020-03-10,45.6818,45.6818,45.0757,45.6818,3300
2020-03-11,45.8333,45.8333,45.6818,45.6818,1210
2020-03-12,45.6818,45.7576,45.6818,45.7576,570
2020-03-13,44.9243,46.2121,44.9243,45.7576,1830
2020-03-16,45.7576,46.2121,45.4545,45.4545,1040
2020-03-17,45.4545,45.4545,45.4545,45.4545,660
2020-03-18,45.3787,45.4545,45.3787,45.4545,770
2020-03-19,45.4545,45.5303,44.6969,45.4545,1610
2020-03-20,45.4545,45.9091,45.4545,45.9091,1650
2020-03-23,45.9091,45.9849,45.9091,45.9091,600
2020-03-24,45.6818,46.2121,45.6818,46.2121,1610
2020-03-25,46.2121,46.4394,46.2121,46.4394,1140
2020-03-26,46.2879,46.4394,46.2879,46.4394,730
2020-03-27,46.2121,46.5909,46.2121,46.5909,1040
2020-03-30,46.5909,46.5909,46.5909,46.5909,650
2020-03-31,46.4394,46.5909,46.4394,46.5909,900
2020-04-01,46.2121,46.5909,46.1364,46.5909,1350
2020-04-03,46.2121,46.5909,46.2121,46.5909,980
2020-04-06,46.4394,47.0455,46.4394,47.0455,1430
2020-04-07,46.9697,47.3485,46.9697,47.3485,710
2020-04-08,47.2727,47.2727,47.0455,47.0455,3130
2020-04-09,47.0455,47.7273,46.6667,47.7273,4670
2020-04-10,47.3485,47.7273,47.3485,47.7273,2330
2020-04-13,47.7273,47.9546,47.7273,47.9545,800
2020-04-14,47.7272,47.8787,47.6515,47.6515,1210
2020-04-15,47.6515,47.9545,47.6515,47.7273,1430
2020-04-16,47.7273,47.8031,47.5758,47.803000000000004,1120
2020-04-17,47.803000000000004,47.803000000000004,47.6515,47.803000000000004,1240
2020-04-20,47.7272,48.106,47.7272,47.803000000000004,1060
2020-04-21,47.7272,47.803000000000004,47.3485,47.803000000000004,1030
2020-04-22,47.4242,47.8788,47.4242,47.803000000000004,1150
2020-04-23,47.4242,48.106,47.4242,47.803000000000004,1090
2020-04-24,47.803000000000004,48.2575,47.5757,47.5758,1470
2020-04-27,47.3485,47.9546,47.3485,47.9545,1300
2020-04-28,47.9545,49.3182,47.9545,49.3182,2710
2020-04-29,48.4849,49.394,48.4849,49.3182,1140
2020-05-04,49.3182,49.3182,49.0152,49.0152,1250
2020-05-05,48.7122,49.0152,48.7122,49.0152,1150
2020-05-06,48.8637,49.0152,48.8637,49.0152,1600
2020-05-07,49.0152,49.0152,48.4849,49.0152,4370
2020-05-08,49.091,49.2425,48.4849,49.2424,3590
2020-05-11,49.2424,49.2424,48.4848,49.2424,1260
2020-05-12,49.2424,49.2424,49.0151,49.2424,1230
2020-05-13,49.3182,49.3182,49.2424,49.3182,1210
2020-05-14,49.2424,49.2424,49.2424,49.2424,1350
2020-05-15,49.1666,49.2424,49.1666,49.2424,1280
2020-05-18,49.2424,49.2424,49.2424,49.2424,1330
2020-05-19,49.2424,49.3182,49.2424,49.3182,1670
2020-05-20,49.2424,49.3182,49.2424,49.3182,3300
2020-05-21,49.3182,49.3182,49.3182,49.3182,1590
2020-05-22,49.3182,49.3182,49.0152,49.0152,1670
2020-05-25,49.0152,49.091,48.8636,48.8636,1370
2020-05-26,48.7121,49.0909,48.6363,48.8636,1400
2020-05-27,48.8636,48.8636,48.8636,48.8636,1550
2020-05-28,48.8636,48.8636,48.5606,48.6364,5350
2020-05-29,48.6364,48.6364,48.5606,48.6364,3980
2020-06-01,48.6364,49.0909,48.6364,49.0909,3040
2020-06-02,49.0909,49.1667,49.0909,49.1667,2360
2020-06-03,49.1667,50.0,49.1667,50.0,3030
2020-06-04,50.0,50.0,49.9242,50.0,1110
2020-06-05,49.8485,50.0,49.7727,50.0,1480
2020-06-08,50.0,50.0,49.8485,50.0,1200
2020-06-09,50.0,50.0,49.7727,50.0,1320
2020-06-10,52.2727,52.2727,50.2273,50.2273,4390
2020-06-11,49.8485,51.7425,49.8485,51.7424,1630
2020-06-12,50.5303,50.5303,48.8636,48.8636,1500
2020-06-15,48.7121,48.7121,48.4848,48.4848,1070
2020-06-16,48.4848,48.4848,48.4848,48.4848,1120
2020-06-17,48.4848,48.4848,48.4848,48.4848,590
2020-06-18,48.4848,48.4848,48.4848,48.4848,620
2020-06-19,48.4848,48.4848,47.8787,47.8788,700
2020-06-22,48.4849,48.4849,47.7273,47.7273,1910
2020-06-23,47.6515,47.6515,47.3485,47.6515,1090
2020-06-24,46.9697,47.6515,46.9697,47.6515,770
2020-06-25,47.5757,47.6515,47.5757,47.6515,810
2020-06-26,47.6515,47.6515,47.5757,47.6515,930
2020-06-29,47.6515,47.6515,46.0606,46.0606,2050
2020-06-30,45.8333,45.8333,45.6061,45.6061,1100
2020-07-01,45.6061,45.6061,44.9243,45.6061,1000
2020-07-02,45.6061,45.9091,45.4545,45.4545,1160
2020-07-03,45.4545,45.4545,45.0757,45.0758,1140
2020-07-06,45.0758,45.4546,45.0758,45.4545,990
2020-07-07,45.4545,45.4545,44.9242,44.9242,1130
2020-07-08,44.6969,45.0,44.6969,44.9242,1220
2020-07-09,44.9242,44.9242,44.6969,44.696999999999996,1190
2020-07-10,44.394,44.4697,44.0909,44.4697,1070
2020-07-13,44.4697,44.696999999999996,44.4697,44.696999999999996,1020
2020-07-14,44.5455,44.696999999999996,44.5455,44.5455,640
2020-07-15,44.696999999999996,47.6516,44.5455,47.6515,4210
2020-07-16,50.0,50.0,45.5303,45.5303,1690
2020-07-17,45.8333,47.6515,45.3788,47.6515,1040
2020-07-20,45.4545,46.2121,45.4545,45.4545,1190
2020-07-21,45.4545,45.4545,43.9393,44.3182,1150
2020-07-22,44.0909,44.0909,43.1818,43.1818,1980
2020-07-23,43.106,43.106,41.6666,41.6667,2780
2020-07-24,41.6667,42.0455,41.6667,41.9697,1620
2020-07-27,41.6667,41.9697,39.3182,39.5455,1870
2020-07-28,39.394,41.6667,39.1667,41.6667,940
2020-07-29,40.0,40.0758,39.0909,39.6212,1450
2020-07-30,39.6212,39.7727,39.6212,39.6212,1150
2020-07-31,39.6212,39.6212,39.3939,39.6212,1100
2020-08-03,39.6212,40.1515,39.6212,39.7727,1250
2020-08-04,39.7727,40.0,39.7727,40.0,1290
2020-08-05,39.8485,39.8485,39.7727,39.7727,500
2020-08-06,39.7727,39.7727,39.3939,39.3939,780
2020-08-07,39.7727,39.8484,39.7727,39.7727,1320
2020-08-10,39.7727,39.8485,39.6969,39.8485,1170
2020-08-11,40.6818,42.5758,40.6818,42.5758,720
2020-08-12,44.1667,44.7728,44.1667,44.7727,370
2020-08-13,45.8333,47.8788,45.8333,47.8788,1490
2020-08-14,46.894,48.4849,44.6212,48.4848,1490
2020-08-17,46.2121,49.2424,45.2272,46.2121,1490
2020-08-18,45.8333,45.8333,45.8333,45.8333,550
2020-08-19,45.8333,47.7273,45.4545,47.7273,700
2020-08-20,48.1061,48.4849,46.0606,46.6667,1310
2020-08-21,46.7,49.9,46.7,49.3,1060
2020-08-24,51.0,51.0,51.0,51.0,130
2020-08-25,50.0,50.9,49.1,49.1,710
2020-08-26,47.0,50.5,46.5,50.5,1520
2020-08-27,53.0,53.0,52.5,52.5,850
2020-08-28,52.6,52.6,49.6,49.6,930
2020-08-31,52.0,52.6,52.0,52.0,830
2020-09-01,51.9,51.9,51.9,51.9,700
