Date,Open,High,Low,Close,Volume
2007-12-17,5.5448,6.7896,4.7527,4.781000000000001,48400
2007-12-18,4.8546,4.8546,4.8545,4.8545,2000
2007-12-19,4.3736,4.979,4.3736,4.8093,40900
2007-12-20,4.8659,4.8659,4.7527,4.8093,4000
2007-12-21,4.8376,4.8376,4.5717,4.583,6300
2007-12-24,4.7527,4.7527,4.3623,4.4415,7800
2007-12-25,4.5264,4.5264,4.4698,4.4981,21600
2007-12-26,4.5264,4.5264,4.4698,4.4698,20300
2007-12-27,4.5264,4.5264,4.368,4.368,12900
2007-12-28,4.3906,4.4698,4.385,4.4132,9800
2008-01-02,4.4698,4.4981,4.4698,4.4981,1300
2008-01-03,4.3001,4.3001,4.2435,4.2718,9800
2008-01-04,4.0851,4.1417,3.8418,3.8418,16400
2008-01-07,3.6325,3.6325,3.5928,3.6211,24400
2008-01-08,3.6777,3.9832,3.6211,3.9323,19600
2008-01-09,4.0341,4.0455,3.6268,3.6268,17300
2008-01-10,3.955,3.955,3.6494,3.7343,13100
2008-01-11,3.7909,3.8475,3.74,3.7908,22900
2008-01-14,3.8078,3.8191,3.5475,3.6777,26700
2008-01-15,3.5645,3.5645,3.3382,3.3948,8800
2008-01-16,3.6211,3.7739,3.6211,3.7739,33300
2008-01-17,3.9606,3.9606,3.6777,3.8191,19200
2008-01-18,3.6777,3.8474,3.6777,3.7343,3800
2008-01-21,3.7060000000000004,3.7343,3.5419,3.7060000000000004,12400
2008-01-22,3.508,3.5645,3.4514,3.5645,15500
2008-01-23,3.5079,3.5079,3.3948,3.4514,14700
2008-01-24,3.5646,3.5929,3.4005,3.4231,11600
2008-01-25,3.508,3.5928,3.508,3.5872,16900
2008-01-28,3.6721,3.6777,3.4797,3.5645,15000
2008-01-29,3.6211,3.7286,3.5928,3.7286,40000
2008-01-30,4.0454,4.0455,3.9493,4.0455,72000
2008-01-31,4.4133,4.4133,3.904,4.0172,10000
2008-02-01,4.0172,4.2492,4.0002,4.2152,41500
2008-02-12,4.1869,4.1869,3.9606,3.9606,26100
2008-02-13,4.0172,4.0172,3.7343,3.7343,35500
2008-02-14,3.8475,3.8475,3.6777,3.7060000000000004,25500
2008-02-15,3.7343,3.7343,3.5645,3.6041,29900
2008-02-18,3.5079,3.5079,3.2816,3.4514,19900
2008-02-19,3.3948,3.508,3.3382,3.4514,23200
2008-02-20,3.3665,3.3948,3.0949,3.0949,16000
2008-02-21,2.9478,2.9478,2.9195,2.9195,18400
2008-02-22,2.6875,2.9421,2.6423,2.8912,23000
2008-02-25,2.9421,2.9535,2.9421,2.9535,2200
2008-02-26,3.1119,3.1685,2.8289999999999997,2.8856,17000
2008-02-27,2.7724,3.0271,2.7724,2.9422,13300
2008-02-28,2.9309,2.9422,2.8289999999999997,2.9422,8400
2008-02-29,2.8007,2.8969,2.8007,2.8289999999999997,8000
2008-03-03,2.7158,2.7158,2.5518,2.5574,10900
2008-03-04,2.3763,2.3763,2.3198,2.3198,11400
2008-03-05,2.1501,2.3198,2.0935,2.2349,17400
2008-03-06,2.3537,2.3537,2.3537,2.3537,1100
2008-03-07,2.5857,2.5857,2.5857,2.5857,2700
2008-03-10,2.84,2.84,2.8158,2.8286,39800
2008-03-11,2.7256,3.0285,2.6408,2.7195,29500
2008-03-12,2.6044,2.986,2.6044,2.9558,10100
2008-03-13,3.0224,3.0285,2.8468,2.9558,18800
2008-03-14,2.9376,2.9679,2.9376,2.9376,7600
2008-03-17,2.7862,2.7862,2.6529,2.6529,17800
2008-03-18,2.4167,2.5439,2.4167,2.4227,21500
2008-03-19,2.4833,2.5741,2.4227,2.4227,18200
2008-03-20,2.3016,2.3682,2.2895,2.2895,17700
2008-03-21,2.2713,2.3016,2.1805,2.1805,15800
2008-03-24,2.0594,2.0594,2.023,2.0593,11600
2008-03-25,1.8776,1.9382,1.8291,1.8595,39300
2008-03-26,1.9382,2.0594,1.8958,2.0593,12100
2008-03-27,2.0169,2.0169,2.0169,2.0169,100
2008-03-28,2.0532,2.0533,2.0532,2.0533,3500
2008-03-31,2.0896,2.0896,2.0896,2.0896,100
2008-04-01,2.1259,2.126,2.1259,2.126,100
2008-04-02,2.1684,2.1684,2.1684,2.1684,400
2008-04-03,2.2108,2.2108,2.2108,2.2108,200
2008-04-04,2.2532,2.2532,2.2532,2.2532,1000
2008-04-07,2.3198,2.3198,2.3198,2.3198,100
2008-04-08,2.3864,2.3864,2.3743,2.3864,22100
2008-04-09,2.4539,2.454,2.3925,2.454,31400
2008-04-10,2.3927,2.3927,2.3742,2.3742,10800
2008-04-11,2.3129,2.3129,2.3129,2.3129,13500
2008-04-16,2.2454,2.2454,2.2454,2.2454,12300
2008-04-17,2.1841,2.3068,2.1841,2.3068,10300
2008-04-18,2.27,2.3068,2.1841,2.1841,12500
2008-04-21,2.2086,2.2086,2.2086,2.2086,2000
2008-04-22,2.2454,2.2454,2.1595,2.1595,4500
2008-04-23,2.1227,2.135,2.1227,2.1227,9300
2008-04-24,2.0614,2.0982,2.0614,2.0982,8300
2008-04-25,2.0859,2.1166,2.0859,2.1166,2700
2008-04-28,2.1595,2.1595,2.1595,2.1595,2100
2008-04-29,2.2208,2.2208,2.1043,2.1043,51300
2008-05-05,2.1288,2.135,2.1227,2.1227,11100
2008-05-06,2.0614,2.1841,2.0614,2.1841,13200
2008-05-07,2.0614,2.0614,2.0614,2.0614,9900
2008-05-08,2.0,2.0,2.0,2.0,14700
2008-05-09,1.9448,1.9448,1.9448,1.9448,5200
2008-05-12,1.9448,1.9448,1.9448,1.9448,0
2008-05-13,1.8896,1.8896,1.8896,1.8896,100
2008-05-14,1.8344,1.8344,1.8344,1.8344,200
2008-05-15,1.7853,1.7853,1.7853,1.7853,200
2008-05-16,1.7362,1.7792,1.7362,1.7362,13800
2008-05-19,1.6933,1.6933,1.6933,1.6933,8700
2008-05-20,1.6442,1.6442,1.6442,1.6442,500
2008-05-21,1.5951,1.5951,1.5951,1.5951,100
2008-05-22,1.5522,1.5522,1.5522,1.5522,100
2008-05-23,1.5093,1.5093,1.5092,1.5092,400
2008-05-26,1.4663,1.4663,1.4663,1.4663,100
2008-05-27,1.4234,1.4234,1.4233,1.4233,100
2008-05-28,1.3865,1.4233,1.3865,1.4233,29700
2008-05-29,1.3865,1.411,1.3497,1.3926,26500
2008-05-30,1.3435,1.4049,1.3313,1.3313,57400
2008-06-02,1.3374,1.3374,1.3252,1.3313,5500
2008-06-03,1.2945,1.2945,1.2945,1.2945,500
2008-06-04,1.2577,1.2577,1.2577,1.2577,1200
2008-06-05,1.2209,1.2209,1.2209,1.2209,2000
2008-06-06,1.1902,1.1902,1.1902,1.1902,500
2008-06-09,1.1595,1.1595,1.1595,1.1595,600
2008-06-10,1.1288,1.1902,1.1288,1.1902,12000
2008-06-11,1.1657,1.1657,1.1657,1.1657,3900
2008-06-12,1.1964,1.1964,1.1963,1.1963,2000
2008-06-13,1.227,1.227,1.227,1.227,100
2008-06-16,1.2638,1.2638,1.2638,1.2638,300
2008-06-17,1.3006,1.3006,1.3006,1.3006,300
2008-06-18,1.3374,1.3374,1.2638,1.2638,36600
2008-06-19,1.2515,1.2515,1.2515,1.2515,12600
2008-06-20,1.2024,1.2883,1.2024,1.2515,7700
2008-06-23,1.2392,1.2577,1.2392,1.2577,5300
2008-06-24,1.3068,1.3068,1.3068,1.3068,600
2008-06-25,1.3559,1.3559,1.3558,1.3558,100
2008-06-26,1.4049,1.4049,1.3558,1.4049,107900
2008-06-27,1.454,1.454,1.4478,1.454,35000
2008-06-30,1.5092,1.5092,1.5092,1.5092,300
2008-07-01,1.5644,1.5644,1.5644,1.5644,200
2008-07-02,1.6257,1.6258,1.6257,1.6258,18100
2008-07-03,1.6872,1.6872,1.6871,1.6871,200
2008-07-04,1.7546,1.7546,1.7546,1.7546,1900
2008-07-07,1.8221,1.8221,1.6871,1.8221,100200
2008-07-08,1.8712,1.8712,1.8712,1.8712,56200
2008-07-09,1.9448,1.9448,1.9448,1.9448,300
2008-07-10,2.0184,2.0184,2.0184,2.0184,200
2008-07-11,2.0982,2.0982,2.0982,2.0982,200
2008-07-14,2.178,2.178,2.1779,2.1779,100
2008-07-15,2.2638,2.2638,2.2638,2.2638,500
2008-07-16,2.3497,2.3497,2.3497,2.3497,11700
2008-07-17,2.4417,2.4417,2.4417,2.4417,200
2008-07-18,2.5337,2.5338,2.5337,2.5338,109700
2008-07-21,2.6319999999999997,2.6319999999999997,2.4356,2.4356,119100
2008-07-22,2.4663,2.4663,2.4663,2.4663,700
2008-07-23,2.3681,2.5645,2.3681,2.5583,217800
2008-07-24,2.5031,2.5031,2.4172,2.5031,141500
2008-07-25,2.5829,2.5951,2.454,2.5644,83400
2008-07-28,2.6442,2.6442,2.5767,2.6442,67900
2008-07-29,2.7485,2.7485,2.6503,2.7485,120200
2008-07-30,2.8467,2.8467,2.6381,2.6381,151200
2008-07-31,2.5461,2.5461,2.546,2.546,9600
2008-08-01,2.4478,2.6442,2.4478,2.6012,117900
