Date,Open,High,Low,Close,Volume
2017-01-09,13.4891,13.4891,9.635,10.4852,346000
2017-01-10,10.8253,10.8253,10.4852,10.5986,234947
2017-01-11,10.5986,10.5986,10.3719,10.4852,173442
2017-01-12,10.2018,10.2018,9.5217,9.5217,52349
2017-01-13,9.2383,9.2383,8.5582,8.6149,70740
2017-01-16,8.7283,8.7283,8.4449,8.6716,134435
2017-01-17,8.5016,8.8983,8.5016,8.8983,40175
2017-01-18,8.8983,8.955,8.7849,8.955,20408
2017-01-19,8.8983,9.0684,8.8416,9.0683,73089
2017-01-20,8.9549,9.3517,8.9549,9.0116,52135
2017-01-23,9.3517,9.5784,9.1816,9.1817,42247
2017-01-24,9.4651,9.6351,9.4651,9.6351,63225
2017-01-25,9.5784,9.5784,9.5784,9.5784,1610
2017-02-02,9.5784,9.5784,9.125,9.2383,9810
2017-02-03,9.1249,9.5784,9.1249,9.4651,7890
2017-02-06,9.4084,9.4084,9.3517,9.3517,75013
2017-02-07,9.3517,9.3517,9.3517,9.3517,23900
2017-02-08,9.3517,9.3517,9.2383,9.2383,11454
2017-02-09,9.3517,9.5217,9.295,9.295,27845
2017-02-10,9.3517,9.5784,9.3517,9.5784,12638
2017-02-13,9.295,9.5217,9.295,9.5217,24240
2017-02-14,9.4083,9.465,9.4083,9.4084,17715
2017-02-15,9.3517,9.6351,9.3517,9.4651,53610
2017-02-16,9.5785,9.7485,9.5785,9.6351,62280
2017-02-17,9.5217,9.5217,9.5217,9.5217,1540
2017-02-20,9.5217,9.7484,9.5217,9.5784,20599
2017-02-21,9.5784,9.6351,9.5217,9.6351,12750
2017-02-22,9.6351,9.6918,9.5784,9.5784,41019
2017-02-23,9.6351,9.6351,9.5217,9.5217,60220
2017-02-24,9.6351,9.6351,9.5784,9.6351,30064
2017-02-27,9.6351,9.6351,9.5784,9.6351,16720
2017-02-28,9.5784,9.7485,9.5784,9.6918,13447
2017-03-01,9.6918,9.9185,9.6918,9.8051,8158
2017-03-02,9.9751,10.3719,9.8618,9.9185,17246
2017-03-03,9.9752,10.0319,9.9752,10.0318,13301
2017-03-06,10.0318,10.0318,9.9184,9.9185,20752
2017-03-07,9.7485,10.0319,9.7485,9.9751,15280
2017-03-08,9.8051,9.8051,9.8051,9.8051,4000
2017-03-09,9.8051,9.8051,9.7484,9.8051,6619
2017-03-10,9.8051,9.9185,9.8051,9.9185,1400
2017-03-13,9.9185,9.9752,9.9185,9.9185,3515
2017-03-14,9.9185,10.0319,9.9185,9.9751,12650
2017-03-15,9.8617,9.9185,9.8051,9.9185,42200
