Date,Open,High,Low,Close,Volume
2018-06-05,9.1562,9.1562,9.1562,9.1562,1500
2018-06-06,9.1562,9.1562,9.1562,9.1562,0
2018-06-07,9.1562,9.1562,9.1562,9.1562,0
2018-06-08,9.1562,9.1562,9.1562,9.1562,0
2018-06-11,9.1562,9.1562,9.1562,9.1562,0
2018-06-12,9.1562,9.1562,9.1562,9.1562,0
2018-06-13,7.8122,7.8122,7.8122,7.8122,100
2018-06-14,7.8122,7.8122,7.8122,7.8122,0
2018-06-15,7.8122,7.8122,7.8122,7.8122,0
2018-06-18,7.8122,7.8122,7.8122,7.8122,0
2018-06-19,6.7202,6.7202,6.7201,6.7201,100
2018-06-20,5.7121,5.7121,5.7121,5.7121,100
2018-06-21,4.8721,4.8721,4.8721,4.8721,500
2018-06-22,4.2001,4.2001,4.2001,4.2001,100
2018-06-25,3.6121,3.6121,3.6121,3.6121,1000
2018-06-26,3.1081,3.1081,3.1081,3.1081,3000
2018-06-27,2.9401,3.2761,2.7721,3.2761,2600
2018-06-28,3.2761,3.2761,2.5201,3.0241,1300
2018-06-29,2.6041,2.6041,2.6041,2.6041,700
2018-07-02,2.3521,2.3521,2.2680000000000002,2.2680000000000002,3700
2018-07-03,2.1,2.1,2.016,2.016,400
2018-07-04,2.016,2.016,2.016,2.016,0
2018-07-05,1.848,1.848,1.848,1.848,1800
2018-07-06,2.1,2.1,1.68,2.016,2100
2018-07-09,1.932,1.932,1.932,1.932,0
2018-07-10,1.932,1.932,1.932,1.932,0
2018-07-11,2.184,2.184,2.016,2.016,300
2018-07-12,2.1,2.1,2.1,2.1,0
2018-07-13,2.1,2.1,2.1,2.1,0
2018-07-16,2.184,2.2680000000000002,2.184,2.2680000000000002,600
2018-07-17,2.2680000000000002,2.2680000000000002,2.2680000000000002,2.2680000000000002,100
2018-07-18,1.932,1.932,1.932,1.932,100
2018-07-19,1.932,1.932,1.932,1.932,0
2018-07-20,2.184,2.184,2.184,2.184,500
2018-07-23,2.184,2.184,2.184,2.184,0
2018-07-24,2.2680000000000002,2.2680000000000002,2.2680000000000002,2.2680000000000002,500
2018-07-25,2.016,2.184,2.016,2.016,28600
2018-07-26,2.1,2.1,2.1,2.1,0
2018-07-27,2.1,2.1,2.1,2.1,0
2018-07-30,2.1,2.1,2.1,2.1,0
2018-07-31,2.1,2.1,2.1,2.1,1400
2018-08-01,2.1,2.1,2.1,2.1,20
2018-08-02,2.1,2.1,2.1,2.1,0
2018-08-03,2.1,2.1,2.1,2.1,0
2018-08-06,2.1,2.1,2.1,2.1,0
2018-08-07,2.1,2.1,2.1,2.1,0
2018-08-08,2.1,2.1,2.1,2.1,0
2018-08-09,2.352,2.3521,2.352,2.3521,900
2018-08-10,2.3521,2.3521,2.3521,2.3521,0
2018-08-13,2.3521,2.3521,2.3521,2.3521,0
2018-08-14,2.3521,2.3521,2.3521,2.3521,2
2018-08-15,2.3521,2.3521,2.3521,2.3521,0
2018-08-16,2.3521,2.3521,2.3521,2.3521,2
2018-08-17,2.3521,2.3521,2.3521,2.3521,0
2018-08-20,2.3521,2.3521,2.3521,2.3521,0
2018-08-21,2.3521,2.3521,2.3521,2.3521,0
2018-08-22,2.3521,2.3521,2.3521,2.3521,0
2018-08-23,2.3521,2.3521,2.3521,2.3521,0
2018-08-24,2.6041,2.6041,2.6041,2.6041,100
2018-08-27,2.9401,2.9401,2.9401,2.9401,100
2018-08-28,3.2761,3.2761,3.2761,3.2761,100
2018-08-29,3.2761,3.2761,3.2761,3.2761,0
2018-08-30,3.2761,3.2761,3.2761,3.2761,0
2018-08-31,3.2761,3.2761,3.2761,3.2761,0
2018-09-04,3.6121,3.6121,3.6121,3.6121,100
2018-09-05,3.6121,3.6121,3.6121,3.6121,0
2018-09-06,3.6121,3.6121,3.6121,3.6121,0
2018-09-07,4.0321,4.0321,4.0321,4.0321,100
2018-09-10,4.5361,4.5361,4.5361,4.5361,100
2018-09-11,4.5361,4.5361,4.5361,4.5361,0
2018-09-12,4.5361,4.5361,4.5361,4.5361,0
